,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio mayo 2022,Descuento,Precio referencial con convenio mayo 2022
215,CANDESARTAN,BLOX (B) 16mg COMP.X30,SAVAL S.A.,$ 37.399,30%,$ 26.179
216,CANDESARTAN,BLOX 8mg X30COM.,SAVAL S.A.,$ 34.799,38%,$ 21.575
217,CANDESARTAN + HIDROCLOROTIAZIDA,"BLOX-D 8/12,5 COMP.X30",SAVAL S.A.,$ 26.099,17%,$ 21.662
218,CANDESARTAN + HIDROCLOROTIAZIDA,BILATEN-D 16/12.5 X30COM.,MEDIPHARM,$ 19.999,27%,$ 14.599
219,CANDESARTAN + HIDROCLOROTIAZIDA,"BLOX-D 32/12,5 COMP.X30",SAVAL S.A.,$ 43.699,28%,$ 31.463
220,CAPTOPRIL,CAPTOPRIL (B) 25mg X30COM.,HOSPIFARMA,$ 4.599,77%,$ 1.058
221,CARBAMAZEPINA,(R) TEGRETAL 400mg COMP.X20,AXON PHARMA,$ 36.699,17%,$ 30.460
222,CARBAMAZEPINA,TEGRETAL (R) 200mg X20COM.,AXON PHARMA,$ 32.599,44%,$ 18.255
223,CARBAMAZEPINA,CARBAMAZEPINA (B) 200mg X20COM.,LABORATORIO CHILE,$ 2.699,60%,$ 1.080
224,CARBOMER 974,SICCAFLUID GEL OF.X10g,THEA PHARMA SPA,$ 22.299,28%,$ 16.055
225,CARBOMER 974,"ACRYLARM 0,2% GEL OF. 10g",PHARMA INVESTI,$ 13.999,34%,$ 9.239
226,CARBOXIMETILCELULOSA,OPTIVE OFT.15ml,ALLERGAN LTDA.,$ 27.699,28%,$ 19.943
227,CARBOXIMETILCELULOSA,REFRESH TEARS SOL.OFT.10ml,ALLERGAN LTDA.,$ 20.199,34%,$ 13.331
228,CARBOXIMETILCELULOSA+GLICEROL+POLISORBAT,OPTIVE ADVANCED EM.10ml,ALLERGAN LTDA.,$ 26.099,19%,$ 21.140
229,CARMELOSA SODICA,CARMELOSA 0.5% SOF.X15ml,HOSPIFARMA,$ 3.499,52%,$ 1.680
230,CARVEDILOL,"DILATREND (R) 12,5mg X28COM.",ROCHE,$ 20.499,15%,$ 17.424
231,CARVEDILOL,BETAPLEX (B) 12.5mg X30COM.,RECALCINE,$ 16.999,25%,$ 12.749
232,CARVEDILOL,BETAPLEX (B) 25mg X30COM.,RECALCINE,$ 22.999,25%,$ 17.249
233,CARVEDILOL,DUALTEN (B) 6.25mg X30COM.,SAVAL S.A.,$ 8.699,33%,$ 5.828
234,CARVEDILOL,"BETAPLEX (B) 6,25mg X30COM.",RECALCINE,$ 9.499,40%,$ 5.699
235,CARVEDILOL,"DUALTEN (B) 12,5mg X30COM.",SAVAL S.A.,$ 19.999,45%,$ 10.999
236,CARVEDILOL,CARVEDILOL (B) 25mg X30COM.,LABORATORIO CHILE,$ 5.099,70%,$ 1.530
237,CARVEDILOL,CARVEDILOL (B) 6.25mg X30COM.,LABORATORIO CHILE,$ 5.499,76%,$ 1.320
238,CARVEDILOL,CARVEDILOL (B) 12.5mg X30COM.,LABORATORIO CHILE,$ 5.099,79%,$ 1.071
239,CASTAÑO INDIAS+HAMMAMELIS+BURSA+MILLEFOL,VARIPLEX COMP.X60,KNOP,$ 14.799,49%,$ 7.547
240,CEFADROXIL0,ADROXEF 250mg/5ml S.O.X100ml,LABORATORIO CHILE,$ 26.499,14%,$ 22.789
241,CEFADROXIL0,CEFADROXILO (B) 500mg X8CAP.,ANDROMACO FARMA,$ 2.099,36%,$ 1.343
242,CEFADROXIL0,CEFADROXILO 250mg/5ml JBE.X60ml,ANDROMACO FARMA,$ 3.199,56%,$ 1.408
243,CEFUROXIMA AXETIL,CUROCEF 250mg/5ml S.O.X100ml,GLAXO,$ 38.499,15%,$ 32.724
244,CEFUROXIMA AXETIL,CEFUROXIMA (B) 500mg X14COM.REC,ASCEND LABORATORIES SPA,$ 36.499,21%,$ 28.834
245,CEFUROXIMA AXETIL,CUROCEF (R) 500mg X14COM.REC.,GLAXO,$ 58.499,23%,$ 45.044
246,CELECOXIB,CELEBRA (R) 200mg X30COM.,PFIZER,$ 51.699,13%,$ 44.978
247,CELECOXIB,ARGIUM (B) 200mg X30CAP.,LABORATORIO CHILE,$ 25.299,30%,$ 17.709
248,CELECOXIB,ARGIUM (B) 200mg X10CAP.,LABORATORIO CHILE,$ 10.799,33%,$ 7.235
249,CELECOXIB,CAPSURE (B) 200mg X10CAP.,PFIZER,$ 17.199,56%,$ 7.568
250,CELECOXIB,CAPSURE (B) 200mg X30CAP.,PFIZER,$ 36.099,60%,$ 14.440
251,CELECOXIB,CELECOXIB (B) 200mg X10CAP,LABORATORIO CHILE,$ 7.599,75%,$ 1.900
252,CETIRIZINA,FINDALER (B) 10mg X30COM.REC.,MEDIPHARM,$ 6.899,40%,$ 4.139
253,CETIRIZINA,ZYRTEC 1mg/ml S.O.X60ml,GLAXO,$ 23.599,45%,$ 12.979
254,CETIRIZINA,RIGOTAX 10mg X30COM.,PRATER,$ 8.399,46%,$ 4.535
255,CETIRIZINA,FINDALER 5mg/5ml JBE.X100ml,MEDIPHARM,$ 9.799,53%,$ 4.606
256,CICLOBENZAPRINA,TENSODOX XR 10mg X20COM.PROL.,RECALCINE,$ 7.999,18%,$ 6.559
257,CICLOBENZAPRINA,TENSIOMAX (B) 10mg X20COM.REC.,BAGO,$ 6.299,21%,$ 4.976
258,CICLOBENZAPRINA,TENSODOX (B) 10mg X20COM.REC.,RECALCINE,$ 14.999,25%,$ 11.249
259,CICLOBENZAPRINA,TENSODOX (B) 5mg X20COM.REC.,RECALCINE,$ 10.499,25%,$ 7.874
260,CICLOBENZAPRINA,TENSIOMAX (B) 5mg X20COM.REC.,BAGO,$ 6.299,25%,$ 4.724
261,CICLOBENZAPRINA,TENSODOX (B) 10mg X10COM.REC.,ABBOTT ETICO,$ 13.999,54%,$ 6.440
262,CICLOBENZAPRINA,CICLOBENZAPRINA (B) 10mg X20COM.REC.,LABORATORIO CHILE,$ 2.399,76%,$ 576
263,CICLOPIROX-OLAMINA,MICOPIROX 8% LAC.UNAS 5ml,D&M PHARMA S.A.,$ 23.399,32%,$ 15.911
264,CICLOSPORINA,(B) EQUORAL 25mg CAPS.X50,LABORATORIO CHILE,$ 38.999,15%,$ 33.149
265,CICLOSPORINA,(B) EQUORAL 50mg CAPS.X50,LABORATORIO CHILE,$ 60.899,15%,$ 51.764
266,CILOSTAZOL,CLAUTER 50mg X30COM.,TECNOFARMA LTDA.,$ 13.499,28%,$ 9.719
267,CILOSTAZOL,CILOSVITAE (B) 100mg X28COM.,GALENICUM HEALTH CHILE SPA,$ 23.099,45%,$ 12.704
268,CINACALCET,GESER 30mg X30COM.REC.,RECALCINE,$ 78.499,40%,$ 47.099
269,CINTAS PARA GLUCOSURIA,GMATE TIRAS DE GLUCOSA 2 X25TIRAS,PHARMASAN S.A.,$ 39.999,56%,$ 17.600
270,CINTAS REACTIVAS PARA GLICEMIA,FREESTYLE OPT GLUCOSA X50,ABBOTT DIAGNOSTICA,$ 33.599,27%,$ 24.527
271,CINTAS REACTIVAS PARA GLICEMIA,ACCU CHEK INSTANT X25CINTAS,ROCHE DIAGNOSTICA,$ 20.999,28%,$ 15.119
272,CINTAS REACTIVAS PARA GLICEMIA,ACCU CHEK INSTANT X50CINTAS,ROCHE DIAGNOSTICA,$ 40.199,29%,$ 28.541
273,CINTAS REACTIVAS PARA GLICEMIA,ONE TOUCH ULT.X50CINT.,MEDCORP. S.A,$ 39.899,32%,$ 27.131
274,CIPROFIBRATO,GIABRI 100mg X30COM.,MERCK SA CHILE,$ 26.299,31%,$ 18.146
275,CIPROFIBRATO,CIPROFIBRATO 100mg X30CAP.,ALPES CHEMIE S.A.,$ 11.099,40%,$ 6.659
276,CIPROFLOXACINO,BAYCIP (R) 500mg X20COM.REC.,BAYER ETICO,$ 39.099,24%,$ 29.715
277,CIPROFLOXACINO,CIPROFLOXACINO (B) 500mg X6COM.,LABORATORIO CHILE,$ 1.299,59%,$ 533
278,CIPROFLOXACINO + DEXAMETASONA OFTALMICO,CIPRODEX SOF.X5ml,SAVAL S.A.,$ 26.799,39%,$ 16.347
279,CIPROFLOXACINO OFTALMICO COLIRIO,SOPHIXIN OFTENO (B) 0.3% SOF.X5ml,SOPHIA,$ 21.599,32%,$ 14.687
280,CIPROFLOXACINO OFTALMICO COLIRIO,CIPROVAL 0.3% SOF.X5ml,SAVAL S.A.,$ 24.399,36%,$ 15.615
281,CIPROHEPTADINA + VIT.B1-B2-B6 + VIT.C +,APETROL JBE.X120ml,MEDIPHARM,$ 11.599,65%,$ 4.060
282,CIPROTERONA + ETINILESTRADIOL,"SOP 2,0/0,035 COMP.X21",EUROFARMA CHILE S.A.,$ 12.199,23%,$ 9.393
283,CITALOPRAM,CITALOPRAM (B) 20mg X30COM.REC,LABORATORIO CHILE,$ 3.999,43%,$ 2.279
284,CLARITROMICINA,INFEX 125mg/5ml S.O.SACHET X80ml,RECALCINE,$ 9.999,20%,$ 7.999
285,CLARITROMICINA,PRECLAR 250mg/5ml S.O.X80ml,LABORATORIO CHILE,$ 17.699,22%,$ 13.805
286,CLARITROMICINA,INFEX (B) 500mg X14COM.REC.,ABBOTT ETICO,$ 23.199,37%,$ 14.615
287,CLARITROMICINA,CLARITROMICINA (B) 500mg X14COM.,ANDROMACO FARMA,$ 5.699,40%,$ 3.419
288,CLARITROMICINA,CLATIC 250mg/5ml S.O.X80ml,PASTEUR,$ 19.199,42%,$ 11.135
289,CLARITROMICINA,CLATIC 125mg/5ml S.O.X80ml,PASTEUR,$ 13.799,54%,$ 6.348
290,CLIDINIO BROMURO + CLORDIAZEPOXIDO,TENSOLIV X30COM.,LABORATORIO CHILE,$ 13.599,15%,$ 11.559
291,CLIDINIO BROMURO + CLORDIAZEPOXIDO,LEROGIN X30GRA.,RECALCINE,$ 22.599,40%,$ 13.559
292,CLIDINIO BROMURO + CLORDIAZEPOXIDO,LIBRAXIN X30COM.,DEUTSCHE PHARMA S.A.,$ 18.899,51%,$ 9.261
293,CLIDINIO BROMURO + CLORDIAZEPOXIDO,GASTROLEN X30COM.REC.,CHEMOPHARMA S.A.,$ 12.299,52%,$ 5.904
294,CLINDAMICINA,DALACIN C 300mg X16CAP.,PFIZER,$ 45.899,30%,$ 32.129
295,CLINDAMICINA USO LOCAL,CLUVAX 100mg X3CAP.VAG.,RECALCINE,$ 13.999,15%,$ 11.899
296,CLINDAMICINA USO LOCAL,DIVANON 100mg X7OV.,TECNOFARMA LTDA.,$ 24.199,15%,$ 20.569
297,CLINDAMICINA USO LOCAL,CLUVAX 100mg X7CAP.VAG.,RECALCINE,$ 23.499,20%,$ 18.799
298,CLINDAMICINA USO LOCAL,DIVANON 100mg X3OV.,TECNOFARMA LTDA.,$ 15.499,20%,$ 12.399
299,CLOBAZAM,GRIFOCLOBAM 10mg X20COM.,LABORATORIO CHILE,$ 22.599,35%,$ 14.689
300,CLOBETASOL,CLODAVAN 0.05% SOL.TOPICA X30ml,MEDIPHARM,$ 9.299,25%,$ 6.974
301,CLOBETASOL,CLODAVAN 0.05% CR.X30g,MEDIPHARM,$ 8.299,43%,$ 4.730
302,CLOBUTINOL,CLOVAL 40mg X20COM.,SAVAL S.A.,$ 12.999,15%,$ 11.049
303,CLOBUTINOL,CLOVAL FTE.JBE.120ml,SAVAL S.A.,$ 26.399,15%,$ 22.439
304,CLOFEDIANOL + BROMHEXINA,PLUTOS JBE.X100ml,MEDIPHARM,$ 4.599,32%,$ 3.127
305,CLOFEDIANOL + BROMHEXINA,BRONTAL (B) AD.JBE.X100ml,SANITAS S.A.,$ 9.999,32%,$ 6.799
306,CLOMIPRAMINA,ANAFRANIL (R) 25mg X20GRA.,NOVARTIS CHILE S.A.,$ 26.499,40%,$ 15.899
307,CLOMIPRAMINA,ANAFRANIL 75mg X20GRA.,NOVARTIS CHILE S.A.,$ 57.499,50%,$ 28.750
308,CLONAZEPAM,"ACEPRAN 2,5mg/ml GTAS.X10ml",ANDROMACO FARMA,$ 13.699,15%,$ 11.644
309,CLONAZEPAM,RAVOTRIL (R) 2mg X30COM.,ROCHE,$ 15.499,15%,$ 13.174
310,CLONAZEPAM,RAVOTRIL 2.5mg/ml GTAS.X20ml,ROCHE,$ 27.699,39%,$ 16.896
311,CLONAZEPAM,ROPSIL (B) 0.5mg X30COM.,MEDIPHARM,$ 3.399,43%,$ 1.937
312,CLONAZEPAM,ROPSIL (B) 2mg X30COM.,MEDIPHARM,$ 5.999,53%,$ 2.820
313,CLONAZEPAM,"VALPAX (B) 0,5mg X30COM.",ABBOTT ETICO,$ 7.999,54%,$ 3.680
314,CLONAZEPAM,VALPAX (B) 2mg X30COM.,RECALCINE,$ 15.499,60%,$ 6.200
315,CLONAZEPAM,CLONAZEPAM (B) 2mg X30COM.,LABORATORIO CHILE,$ 5.699,76%,$ 1.368
316,CLONAZEPAM,CLONAZEPAM (B) 0.5mg X30COM.,LABORATORIO CHILE,$ 3.999,77%,$ 920
317,CLONIXINATO DE LISINA,COLMAX 125mg X10COM.REC.,ANDROMACO FARMA,$ 3.999,40%,$ 2.399
318,CLONIXINATO DE LISINA,NEFERSIL FAST 125mg X10CAP.,PHARMA INVESTI,$ 6.399,51%,$ 3.136
319,CLONIXINATO DE LISINA + VITAMINAS B1-B6-B12,NEFERSIL B X10COM.,PHARMA INVESTI,$ 11.099,25%,$ 8.324
320,CLONIXINATO DE LISINA TOPICO,NEFERSIL 5% GEL 50g,PHARMA INVESTI,$ 10.699,29%,$ 7.596
321,CLOPIDROGEL,CLOPIDOGREL (B) 75mg X30COM.REC.,LABORATORIO CHILE,$ 11.599,25%,$ 8.699
322,CLOPIDROGEL,PICLOKARE (B) 75mg X28COM.REC.,DR. REDDYS LABORATORIES CHILE SpA,$ 11.999,66%,$ 4.080
323,CLORANFENICOL OFTALMICO COLIRIO,CLORANFENICOL (B) 0.5% SOF.X10ml,OPKO,$ 2.499,67%,$ 825
324,CLORANFENICOL OFTALMICO UNGUENTO,CLORANFENICOL 1% UNG.OFT X5g,BPH S.A,$ 3.599,75%,$ 900
325,CLORFENAMINA,"SCADAN 2,5mg/5ml JBE.X120ml",MEDIPHARM,$ 3.299,24%,$ 2.507
326,CLORFENAMINA,PRODEL 2mg/5ml JBE.X120ml,PASTEUR,$ 5.799,50%,$ 2.900
327,CLORFENAMINA,CLORFENAMINA (B) 4mg X20COM.,LABORATORIO CHILE,$ 899,74%,$ 234
328,CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL (B) JBE.X120ml,BAGO,$ 14.799,52%,$ 7.104
329,CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL (B) GTAS.X15ml,BAGO,$ 16.799,52%,$ 8.064
330,CLORHEXIDINA DIGLUCONATO + CETILPIRIDINO,PERIO AID TRATAMIENTO COLU.X500ml,DENTAID S.A.,$ 10.499,38%,$ 6.509
331,CLORHEXIDINA USO DENTAL,PERIO AID (B) TRATAMIENTO COLU.X150ml,DENTAID S.A.,$ 6.599,36%,$ 4.223
332,CLORHEXIDINA USO DENTAL,CLORHEXIDINA 0.12% SOL.X150ml,RECETARIO,$ 4.799,51%,$ 2.352
333,CLORTALIDONA,DIUPROL (B) 50mg X30COM,RAFFO S.A.,$ 10.999,43%,$ 6.269
334,CLOTIAZEPAM,PLANIDEN ODT 5mg X30COM.,RECALCINE,$ 7.999,26%,$ 5.919
335,CLOTIAZEPAM,PLANIDEN ODT 10mg X30COM.,RECALCINE,$ 14.999,30%,$ 10.499
336,CLOTIAZEPAM,RIZE (R) 10mg X30COM.REC.,SILESIA,$ 23.999,30%,$ 16.799
337,CLOTIAZEPAM,RIZE (R) 5mg X30COM.REC.,SILESIA,$ 15.999,40%,$ 9.599
338,CLOTIAZEPAM,NEUROVAL CD 5mg X30COM.,SAVAL S.A.,$ 9.799,44%,$ 5.487
339,CLOTIAZEPAM,NEUROVAL CD 10mg X30COM.,SAVAL S.A.,$ 20.099,47%,$ 10.652
340,CLOTRIMAZOL,CLOTRIMAZOL 1% CR.X20g,LABORATORIO CHILE,$ 1.599,57%,$ 688
341,CLOTRIMAZOL,CLOTRIMIN 1% CR.X20g,MEDIPHARM,$ 5.699,59%,$ 2.337
342,CLOTRIMAZOL,CLOTRIMAZOL 1% SOL.X20ml,PASTEUR,$ 1.799,61%,$ 702
343,CLOTRIMAZOL + BETAMETASONA,CLOTRIMAZOL/BETAMETASONA CR.X15g,LABORATORIO CHILE,$ 2.099,62%,$ 798
344,CLOTRIMAZOL + BETAMETASONA,CLOTRIMIN B CR.X15g,MEDIPHARM,$ 10.299,68%,$ 3.296
345,CLOTRIMAZOL + DEXAMETASONA,TRIBESONA CR.20g,ITF (EX LABOMED),$ 16.799,23%,$ 12.935
346,CLOTRIMAZOL OVULOS,CLOTRIMAZOL 100mg X6OVULO,LABORATORIO CHILE,$ 2.899,41%,$ 1.710
347,CLOTRIMAZOL OVULOS,FUNGOS 100mg X6OV.,PASTEUR,$ 10.399,53%,$ 4.888
348,CLOTRIMAZOL OVULOS,FUNGOS 500mg X1OV.,PASTEUR,$ 7.199,54%,$ 3.312
349,CLOTRIMAZOL OVULOS,CLOTRIMIN 500mg X1CAP.VAG.,MEDIPHARM,$ 6.499,56%,$ 2.860
350,CLOXACILINA,CLOXACILINA 500mg X12CAP.,OPKO,$ 1.699,32%,$ 1.155
351,CMP + UTP + HIDROXOCOBALAMINA,CITONEURON X30CAP.,FERRER,$ 23.399,44%,$ 13.103
352,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,FLEMEX J.A.T.FTE. (B) JBE.X120ml,RECALCINE,$ 15.099,25%,$ 11.324
353,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,FLEMEX JAT JBE.X120ml,RECALCINE,$ 14.099,25%,$ 10.574
354,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,TUSIGEN (B) JBE.X120ml,BAGO,$ 18.099,30%,$ 12.669
355,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,EXTOSEN (B) JBE.X100ml,SANITAS S.A.,$ 6.999,50%,$ 3.500
356,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,DEUCOTOS JBE.X120ml,MEDIPHARM,$ 11.599,66%,$ 3.944
357,COLAGENO HIDRATADO,GENACOL ANTIOX X90CAP.,NEW SCIENCE,$ 25.099,32%,$ 17.067
358,COLAGENO HIDRATADO,GENACOL 400mg X90CAP.,NEW SCIENCE,$ 25.999,38%,$ 16.119
359,COLECALCIFEROL,VITDE 800UI X30COM.,PASTEUR,$ 11.399,20%,$ 9.119
360,COLECALCIFEROL,VITDE GTAS.X10ml,PASTEUR,$ 14.999,20%,$ 11.999
361,COLECALCIFEROL,DVIDA MAX 50.000UI PVO.X1VIAL,ANDROMACO FARMA,$ 13.399,20%,$ 10.719
362,COLECALCIFEROL,ACUODE 50.000UI PVO.SOL.X2SOB.,RECALCINE,$ 16.099,22%,$ 12.557
363,COLECALCIFEROL,DVIDA GTAS.X10ml,ANDROMACO FARMA,$ 18.499,22%,$ 14.429
364,COLECALCIFEROL,DVIDA MAX 100.000UI PVO.ORAL 1g X1VIAL,ANDROMACO FARMA,$ 22.699,34%,$ 14.981
365,COLECALCIFEROL,VITDE-500 COMP.X30,PASTEUR,$ 10.099,38%,$ 6.261
366,COLECALCIFEROL,DELTIUS 100.000U.I S.O X4AMP,ITF (EX LABOMED),$ 49.999,42%,$ 28.999
367,COLECALCIFEROL,VITAMIN D3 800UI CAPS.X90,VITAMIN LIFE,$ 14.499,42%,$ 8.409
368,COLECALCIFEROL,BONAVID 300.000UI SOL.X2ml,PASTEUR,$ 18.499,46%,$ 9.989
369,COLECALCIFEROL,COLEKAL 50000 UI X2SOB.,RECETARIO,$ 11.399,67%,$ 3.762
370,COLECALCIFEROL,INFORVIT D3 800UI X30ML,PRATER,$ 16.499,73%,$ 4.455
371,COLESTIRAMINA,RESINCOLESTIRAMINA P.ORAL X50SOB,BPH S.A,$ 57.599,15%,$ 48.959
372,COMPLEJO DE HIERRO POLIMALTOSADO,MALTOFER 100mg X10AMP.BEB.,ANDROMACO FARMA,$ 21.799,15%,$ 18.529
373,COMPLEJO DE HIERRO POLIMALTOSADO,MALTOFER 50mg/ml GTAS.X30ml,ANDROMACO FARMA,$ 20.499,40%,$ 12.299
374,COMPLEJO DE HIERRO POLIMALTOSADO,ERITROFER SOL.GOTAS X20ml,DEUTSCHE PHARMA S.A.,$ 15.299,55%,$ 6.885
375,COTRIMOXAZOL,COTRIMOXAZOL FTE.X10COM.,ANDROMACO FARMA,$ 1.399,47%,$ 741
376,COTRIMOXAZOL,COTRIMOXAZOL X20COM.,HOSPIFARMA,$ 4.599,75%,$ 1.150
377,CRANBERRY,CRANBERRY CONCENTRATE NEW FORM.X90SOFTGE,VITAMIN LIFE,$ 13.099,30%,$ 9.169
378,D HIPOGLOS,D HIPOGLOS PDA.X100g,ANDROMACO FARMA,$ 7.499,20%,$ 5.999
379,D HIPOGLOS,D HIPOGLOS PDA.X60g,ANDROMACO FARMA,$ 6.199,20%,$ 4.959
380,D HIPOGLOS,D HIPOGLOS EXTREME PDA.X60g,ANDROMACO FARMA,$ 7.499,20%,$ 5.999
381,DABIGATRAN ETEXILATO,PRADAXA 150mg X30CAP.,BOEHRINGER INGELHEIM,$ 58.199,16%,$ 48.887
382,DABIGATRAN ETEXILATO,PRADAXA 150mg X60CAP.,BOEHRINGER INGELHEIM,$ 85.899,20%,$ 68.719
383,DABIGATRAN ETEXILATO,PRADAXA 110mg CAPS.X60,BOEHRINGER INGELHEIM,$ 88.099,22%,$ 68.717
384,DAPAGLIFLOZIN,FORXIGA 10mg X28COM.,ASTRA ZENECA DE CHILE LTDA.,$ 41.699,36%,$ 26.687
385,DAPAGLIFLOZINA +METFORMINA,XIGDUO XR 5mg/1000mg COM.X56,ASTRA ZENECA DE CHILE LTDA.,$ 43.399,19%,$ 35.153
386,DAPAGLIFLOZINA +METFORMINA,XIGDUO XR 10mg/1000mg COM.X28,ASTRA ZENECA DE CHILE LTDA.,$ 40.399,20%,$ 32.319
387,DEFLAZACORT,DEZARTAL (B) 30mg X20COM.,ANDROMACO FARMA,$ 62.099,15%,$ 52.784
388,DEFLAZACORT,DISFLAX (B) 30mg X10COM.,FAES FARMA CHILE,$ 24.699,25%,$ 18.524
389,DEFLAZACORT,DISFLAX (B) 6mg X20COMP.,FAES FARMA CHILE,$ 21.199,36%,$ 13.567
390,DELTAMETRINA + PIPERONILO BUTOXIDO,LAUNOL SH.X120ml,LABORATORIO CHILE,$ 8.099,41%,$ 4.778
391,DELTAMETRINA + PIPERONILO BUTOXIDO,LAUNOL SH.X60ml,LABORATORIO CHILE,$ 6.399,51%,$ 3.136
392,DENOSUMAB,XGEVA 120mg AMP.X1,TECNOFARMA LTDA.,$ 344.599,15%,$ 292.909
393,DENOSUMAB,PROLIA 60mg JP.X1,TECNOFARMA LTDA.,$ 201.799,15%,$ 171.529
394,DESLORATADINA,DESPEX (B) 5mg X30COM.REC.,LABORATORIO CHILE,$ 10.799,30%,$ 7.559
395,DESLORATADINA,DESPEX (B) 2.5mg/5ml JBE.X120ml,LABORATORIO CHILE,$ 13.099,46%,$ 7.073
396,DESLORATADINA,NEO ALLEDRYL (B) 5mg X30COM.REC.,PRATER,$ 7.599,74%,$ 1.976
397,DESOGESTREL,ARLETTE 28 X28COM.REC.,RECALCINE,$ 14.799,15%,$ 12.579
398,DESOGESTREL,LACTAFEM 75mcg X28COM.REC.,ANDROMACO FARMA,$ 17.599,30%,$ 12.319
399,DESOGESTREL,AMINTA (B) 75mcg X28COM.REC,SAVAL S.A.,$ 12.999,36%,$ 8.319
400,DESOGESTREL + ETINILESTRADIOL,CICLIDON 20 CD COMP.X28,ABBOTT ETICO,$ 15.299,26%,$ 11.321
401,DESVENLAFAXINA,PRISTIQ 100mg COMP.X28,PFIZER,$ 74.199,25%,$ 55.649
402,DESVENLAFAXINA,DESLAFAX 50mg X30COM.PROL.,GADORPHARMA SPA,$ 19.699,27%,$ 14.380
403,DESVENLAFAXINA,PRISTIQ 50mg X28COM.PROL.,PFIZER,$ 59.999,28%,$ 43.199
404,DESVENLAFAXINA,DESLAFAX 100mg 30COM.PROL.,GADORPHARMA SPA,$ 23.799,30%,$ 16.659
405,DEXAMETASONA ORAL,CORTYK 4mg COMP.X10,PASTEUR,$ 5.999,15%,$ 5.099
406,DEXCLORFENIRAMINA + BETAMETASONA,DEUCOALER X30COM.,MEDIPHARM,$ 6.699,25%,$ 5.024
407,DEXCLORFENIRAMINA + BETAMETASONA,PLEXUS (B) JBE.X120ml,RECALCINE,$ 12.599,25%,$ 9.449
408,DEXCLORFENIRAMINA + BETAMETASONA,PLEXUS X30COM.,RECALCINE,$ 11.999,25%,$ 8.999
409,DEXCLORFENIRAMINA + BETAMETASONA,CLOFEXAN X30COM.,BAGO,$ 17.499,25%,$ 13.124
410,DEXMETILFENIDATO,NEOARADIX 10mg COMP.X30,RECALCINE,$ 31.999,15%,$ 27.199
411,DIAZEPAM,DIAZEPAM (B) 10mg X20COM.,LABORATORIO CHILE,$ 1.099,37%,$ 692
412,DIAZEPAM + CLORMEZANONA,CALMOSEDAN X30COM.,RECALCINE,$ 15.999,30%,$ 11.199
413,DICLOFENACO,DICLOFENACO 75mg X5AMP.,BIOSANO,$ 2.799,55%,$ 1.260
414,DICLOFENACO,LERTUS 50mg X10COM.,TECNOFARMA LTDA.,$ 14.499,57%,$ 6.235
415,DICLOFENACO,DICLOFENACO 50mg X10COM.,ANDROMACO FARMA,$ 899,60%,$ 360
416,DICLOFENACO,DICLOFENACO PED.12.5mg X5SUP.,LABORATORIO CHILE,$ 1.499,63%,$ 555
417,DICLOFENACO,DICLOFENACO RET.100mg X8CAP.,LABORATORIO CHILE,$ 2.299,74%,$ 598
418,DICLOFENACO + TRAMADOL,ADORLAN COM X 10,GRUNENTHAL,$ 8.399,30%,$ 5.879
419,DICLOFENACO TOPICO,PIROFLAM GEL X30g,MEDIPHARM,$ 5.799,25%,$ 4.349
420,DICLOFENACO TOPICO,DICLOFENACO 1% GEL X30g,OPKO,$ 2.699,77%,$ 621
421,DIENOGEST,PIETRA ED (B) 30COMP.,EUROFARMA CHILE S.A.,$ 18.799,20%,$ 15.039
422,DIENOGEST,DISVEN COMP.X28,ABBOTT ETICO,$ 22.799,20%,$ 18.239
423,DIFENIDOL,VERTIUM 25mg X40COM.,SAVAL S.A.,$ 20.699,44%,$ 11.591
424,DIFENIDOL,VERTIUM 25mg X10COM.,SAVAL S.A.,$ 9.499,55%,$ 4.275
425,DIGOXINA,DIGOXINA (R) 0.25mg X30COM.,LABORATORIO CHILE,$ 2.699,53%,$ 1.269
426,DIHEXAZIN,VITERNUM VITAM.JBE.X125ml,ITF (EX LABOMED),$ 22.599,44%,$ 12.655
427,DILTIAZEM,GRIFODILZEM 60mg X60COM.,LABORATORIO CHILE,$ 19.999,35%,$ 12.999
428,DIMENHIDRINATO,MAREAMIN 100mg X20COM.,EUROFARMA CHILE S.A.,$ 11.099,30%,$ 7.769
429,DIOSMINA (FLAVONOIDES RUTACEAS),VENARTEL 500mg X60COM.REC.,ANDROMACO FARMA,$ 55.799,30%,$ 39.059
430,DIOSMINA (FLAVONOIDES RUTACEAS),DIPEMINA 450mg/50mg COMP.X30,RAFFO S.A.,$ 22.599,33%,$ 15.141
431,DIOSMINA (FLAVONOIDES RUTACEAS),VESNIDAN X60COM.REC.,MEDIPHARM,$ 30.099,35%,$ 19.564
432,DIPIRONA,DIPIRONA 1g/2ml X 5 AMP.,BIOSANO,$ 1.999,15%,$ 1.699
433,DIPIRONA,DIPIRONA 300mg X20COM.,ByB FARMACEUTICA,$ 1.399,66%,$ 476
