,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio abril 2022,Descuento,Precio referencial con convenio abril 2022
229,CARVEDILOL,"DILATREND (R) 12,5mg X28COM.",ROCHE,$20.499,15%,$17.424
230,CARVEDILOL,BETAPLEX (B) 12.5mg X30COM.,RECALCINE,$16.999,25%,$12.749
231,CARVEDILOL,BETAPLEX (B) 25mg X30COM.,RECALCINE,$22.999,25%,$17.249
232,CARVEDILOL,DUALTEN (B) 6.25mg X30COM.,SAVAL S.A.,$8.299,33%,$5.560
233,CARVEDILOL,"BETAPLEX (B) 6,25mg X30COM.",RECALCINE,$9.499,40%,$5.699
234,CARVEDILOL,"DUALTEN (B) 12,5mg X30COM.",SAVAL S.A.,$19.199,45%,$10.559
235,CARVEDILOL,CARVEDILOL (B) 25mg X30COM.,LABORATORIO CHILE,$5.099,70%,$1.530
236,CARVEDILOL,CARVEDILOL (B) 6.25mg X30COM.,LABORATORIO CHILE,$5.499,76%,$1.320
237,CARVEDILOL,CARVEDILOL (B) 12.5mg X30COM.,LABORATORIO CHILE,$5.099,79%,$1.071
238,CASTAÑO INDIAS+HAMMAMELIS+BURSA+MILLEFOL,VARIPLEX COMP.X60,KNOP,$14.799,49%,$7.547
239,CEFADROXIL0,ADROXEF 250mg/5ml S.O.X100ml,LABORATORIO CHILE,$26.499,14%,$22.789
240,CEFADROXIL0,CEFADROXILO (B) 500mg X8CAP.,ANDROMACO FARMA,$2.099,36%,$1.343
241,CEFADROXIL0,CEFADROXILO 250mg/5ml JBE.X60ml,ANDROMACO FARMA,$3.199,56%,$1.408
242,CEFUROXIMA AXETIL,CUROCEF 250mg/5ml S.O.X100ml,GLAXO,$36.499,15%,$31.024
243,CEFUROXIMA AXETIL,CEFUROXIMA (B) 500mg X14COM.REC,ASCEND LABORATORIES SPA,$36.499,21%,$28.834
244,CEFUROXIMA AXETIL,CUROCEF (R) 500mg X14COM.REC.,GLAXO,$55.499,23%,$42.734
245,CELECOXIB,CELEBRA (R) 200mg X30COM.,PFIZER,$51.699,13%,$44.978
246,CELECOXIB,ARGIUM (B) 200mg X30CAP.,LABORATORIO CHILE,$25.299,30%,$17.709
247,CELECOXIB,ARGIUM (B) 200mg X10CAP.,LABORATORIO CHILE,$10.799,33%,$7.235
248,CELECOXIB,CAPSURE (B) 200mg X10CAP.,PFIZER,$17.199,56%,$7.568
249,CELECOXIB,CAPSURE (B) 200mg X30CAP.,PFIZER,$36.099,60%,$14.440
250,CELECOXIB,CELECOXIB (B) 200mg X10CAP,LABORATORIO CHILE,$7.599,75%,$1.900
251,CETIRIZINA,FINDALER (B) 10mg X30COM.REC.,MEDIPHARM,$6.899,40%,$4.139
252,CETIRIZINA,ZYRTEC 1mg/ml S.O.X60ml,GLAXO,$23.299,45%,$12.814
253,CETIRIZINA,RIGOTAX 10mg X30COM.,PRATER,$8.399,46%,$4.535
254,CETIRIZINA,FINDALER 5mg/5ml JBE.X100ml,MEDIPHARM,$9.799,53%,$4.606
255,CICLOBENZAPRINA,TENSODOX XR 10mg X20COM.PROL.,RECALCINE,$7.999,18%,$6.559
256,CICLOBENZAPRINA,TENSIOMAX (B) 10mg X20COM.REC.,BAGO,$6.299,21%,$4.976
257,CICLOBENZAPRINA,TENSODOX (B) 10mg X20COM.REC.,RECALCINE,$14.999,25%,$11.249
258,CICLOBENZAPRINA,TENSODOX (B) 5mg X20COM.REC.,RECALCINE,$10.499,25%,$7.874
259,CICLOBENZAPRINA,TENSIOMAX (B) 5mg X20COM.REC.,BAGO,$6.299,25%,$4.724
260,CICLOBENZAPRINA,TENSODOX (B) 10mg X10COM.REC.,ABBOTT ETICO,$13.999,54%,$6.440
261,CICLOBENZAPRINA,CICLOBENZAPRINA (B) 10mg X20COM.REC.,LABORATORIO CHILE,$2.399,76%,$576
262,CICLOPIROX-OLAMINA,MICOPIROX 8% LAC.UNAS 5ml,D&M PHARMA S.A.,$23.399,32%,$15.911
263,CICLOSPORINA,(B) EQUORAL 25mg CAPS.X50,LABORATORIO CHILE,$38.999,15%,$33.149
264,CICLOSPORINA,(B) EQUORAL 50mg CAPS.X50,LABORATORIO CHILE,$57.799,15%,$49.129
265,CILOSTAZOL,CLAUTER 50mg X30COM.,TECNOFARMA LTDA.,$12.799,28%,$9.215
266,CILOSTAZOL,CILOSVITAE (B) 100mg X28COM.,GALENICUM HEALTH CHILE SPA,$23.099,45%,$12.704
267,CINACALCET,GESER 30mg X30COM.REC.,RECALCINE,$78.499,40%,$47.099
268,CINTAS PARA GLUCOSURIA,GMATE TIRAS DE GLUCOSA 2 X25TIRAS,PHARMASAN S.A.,$39.999,56%,$17.600
269,CINTAS REACTIVAS PARA GLICEMIA,FREESTYLE OPT GLUCOSA X50,ABBOTT DIAGNOSTICA,$33.599,27%,$24.527
270,CINTAS REACTIVAS PARA GLICEMIA,ACCU CHEK INSTANT X25CINTAS,ROCHE DIAGNOSTICA,$20.999,28%,$15.119
271,CINTAS REACTIVAS PARA GLICEMIA,ACCU CHEK INSTANT X50CINTAS,ROCHE DIAGNOSTICA,$40.199,29%,$28.541
272,CINTAS REACTIVAS PARA GLICEMIA,ONE TOUCH ULT.X50CINT.,MEDCORP. S.A,$39.899,32%,$27.131
273,CIPROFIBRATO,GIABRI 100mg X30COM.,MERCK SA CHILE,$26.299,31%,$18.146
274,CIPROFIBRATO,CIPROFIBRATO 100mg X30CAP.,ALPES CHEMIE S.A.,$11.099,40%,$6.659
275,CIPROFLOXACINO,BAYCIP (R) 500mg X20COM.REC.,BAYER ETICO,$39.099,24%,$29.715
276,CIPROFLOXACINO,CIPROFLOXACINO (B) 500mg X6COM.,LABORATORIO CHILE,$1.299,59%,$533
277,CIPROFLOXACINO + DEXAMETASONA OFTALMICO,CIPRODEX SOF.X5ml,SAVAL S.A.,$26.199,39%,$15.981
278,CIPROFLOXACINO OFTALMICO COLIRIO,SOPHIXIN OFTENO (B) 0.3% SOF.X5ml,SOPHIA,$21.599,32%,$14.687
279,CIPROFLOXACINO OFTALMICO COLIRIO,CIPROVAL 0.3% SOF.X5ml,SAVAL S.A.,$23.299,36%,$14.911
280,CIPROHEPTADINA + VIT.B1-B2-B6 + VIT.C +,APETROL JBE.X120ml,MEDIPHARM,$11.599,65%,$4.060
281,CIPROTERONA + ETINILESTRADIOL,"SOP 2,0/0,035 COMP.X21",EUROFARMA CHILE S.A.,$12.199,23%,$9.393
282,CITALOPRAM,CITALOPRAM (B) 20mg X30COM.REC,LABORATORIO CHILE,$3.999,43%,$2.279
283,CLARITROMICINA,INFEX 125mg/5ml S.O.SACHET X80ml,RECALCINE,$9.999,20%,$7.999
284,CLARITROMICINA,PRECLAR 250mg/5ml S.O.X80ml,LABORATORIO CHILE,$17.699,22%,$13.805
285,CLARITROMICINA,INFEX (B) 500mg X14COM.REC.,ABBOTT ETICO,$21.999,37%,$13.859
286,CLARITROMICINA,CLARITROMICINA (B) 500mg X14COM.,ANDROMACO FARMA,$5.699,40%,$3.419
287,CLARITROMICINA,CLATIC 250mg/5ml S.O.X80ml,PASTEUR,$19.199,42%,$11.135
288,CLARITROMICINA,CLATIC 125mg/5ml S.O.X80ml,PASTEUR,$13.799,54%,$6.348
289,CLIDINIO BROMURO + CLORDIAZEPOXIDO,TENSOLIV X30COM.,LABORATORIO CHILE,$13.599,15%,$11.559
290,CLIDINIO BROMURO + CLORDIAZEPOXIDO,LEROGIN X30GRA.,RECALCINE,$22.599,40%,$13.559
291,CLIDINIO BROMURO + CLORDIAZEPOXIDO,LIBRAXIN X30COM.,DEUTSCHE PHARMA S.A.,$17.599,51%,$8.624
292,CLIDINIO BROMURO + CLORDIAZEPOXIDO,GASTROLEN X30COM.REC.,CHEMOPHARMA S.A.,$11.699,52%,$5.616
293,CLINDAMICINA,DALACIN C 300mg X16CAP.,PFIZER,$45.899,30%,$32.129
294,CLINDAMICINA USO LOCAL,CLUVAX 100mg X3CAP.VAG.,RECALCINE,$13.999,15%,$11.899
295,CLINDAMICINA USO LOCAL,DIVANON 100mg X7OV.,TECNOFARMA LTDA.,$22.599,15%,$19.209
296,CLINDAMICINA USO LOCAL,CLUVAX 100mg X7CAP.VAG.,RECALCINE,$23.499,20%,$18.799
297,CLINDAMICINA USO LOCAL,DIVANON 100mg X3OV.,TECNOFARMA LTDA.,$14.699,20%,$11.759
298,CLOBAZAM,GRIFOCLOBAM 10mg X20COM.,LABORATORIO CHILE,$22.599,35%,$14.689
299,CLOBETASOL,CLODAVAN 0.05% SOL.TOPICA X30ml,MEDIPHARM,$9.299,25%,$6.974
300,CLOBETASOL,CLODAVAN 0.05% CR.X30g,MEDIPHARM,$8.299,43%,$4.730
301,CLOBUTINOL,CLOVAL 40mg X20COM.,SAVAL S.A.,$12.999,15%,$11.049
302,CLOBUTINOL,CLOVAL FTE.JBE.120ml,SAVAL S.A.,$26.299,15%,$22.354
303,CLOFEDIANOL + BROMHEXINA,PLUTOS JBE.X100ml,MEDIPHARM,$4.599,32%,$3.127
304,CLOFEDIANOL + BROMHEXINA,BRONTAL (B) AD.JBE.X100ml,SANITAS S.A.,$9.499,32%,$6.459
305,CLOMIPRAMINA,ANAFRANIL (R) 25mg X20GRA.,NOVARTIS CHILE S.A.,$26.499,40%,$15.899
306,CLOMIPRAMINA,ANAFRANIL 75mg X20GRA.,NOVARTIS CHILE S.A.,$57.499,50%,$28.750
307,CLONAZEPAM,"ACEPRAN 2,5mg/ml GTAS.X10ml",ANDROMACO FARMA,$13.699,15%,$11.644
308,CLONAZEPAM,RAVOTRIL (R) 2mg X30COM.,ROCHE,$15.499,15%,$13.174
309,CLONAZEPAM,RAVOTRIL 2.5mg/ml GTAS.X20ml,ROCHE,$27.699,39%,$16.896
310,CLONAZEPAM,ROPSIL (B) 0.5mg X30COM.,MEDIPHARM,$3.399,43%,$1.937
311,CLONAZEPAM,ROPSIL (B) 2mg X30COM.,MEDIPHARM,$5.999,53%,$2.820
312,CLONAZEPAM,"VALPAX (B) 0,5mg X30COM.",ABBOTT ETICO,$7.899,54%,$3.634
313,CLONAZEPAM,VALPAX (B) 2mg X30COM.,RECALCINE,$15.399,60%,$6.160
314,CLONAZEPAM,CLONAZEPAM (B) 2mg X30COM.,LABORATORIO CHILE,$5.699,76%,$1.368
315,CLONAZEPAM,CLONAZEPAM (B) 0.5mg X30COM.,LABORATORIO CHILE,$3.799,77%,$874
316,CLONIXINATO DE LISINA,COLMAX 125mg X10COM.REC.,ANDROMACO FARMA,$3.799,40%,$2.279
317,CLONIXINATO DE LISINA,NEFERSIL FAST 125mg X10CAP.,PHARMA INVESTI,$5.999,51%,$2.940
318,CLONIXINATO DE LISINA + VITAMINAS B1-B6-B12,NEFERSIL B X10COM.,PHARMA INVESTI,$10.499,25%,$7.874
319,CLONIXINATO DE LISINA TOPICO,NEFERSIL 5% GEL 50g,PHARMA INVESTI,$10.099,29%,$7.170
320,CLOPIDROGEL,CLOPIDOGREL (B) 75mg X30COM.REC.,LABORATORIO CHILE,$11.599,25%,$8.699
321,CLOPIDROGEL,PICLOKARE (B) 75mg X28COM.REC.,DR. REDDYS LABORATORIES CHILE SpA,$11.999,66%,$4.080
322,CLORANFENICOL OFTALMICO COLIRIO,CLORANFENICOL (B) 0.5% SOF.X10ml,OPKO,$2.299,67%,$759
323,CLORANFENICOL OFTALMICO UNGUENTO,CLORANFENICOL 1% UNG.OFT X5g,BPH S.A,$3.599,75%,$900
324,CLORFENAMINA,"SCADAN 2,5mg/5ml JBE.X120ml",MEDIPHARM,$3.299,24%,$2.507
325,CLORFENAMINA,PRODEL 2mg/5ml JBE.X120ml,PASTEUR,$5.799,50%,$2.900
326,CLORFENAMINA,CLORFENAMINA (B) 4mg X20COM.,LABORATORIO CHILE,$899,74%,$234
327,CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL (B) JBE.X120ml,BAGO,$14.799,52%,$7.104
328,CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL (B) GTAS.X15ml,BAGO,$16.799,52%,$8.064
329,CLORHEXIDINA DIGLUCONATO + CETILPIRIDINO,PERIO AID TRATAMIENTO COLU.X500ml,DENTAID S.A.,$10.499,38%,$6.509
330,CLORHEXIDINA USO DENTAL,PERIO AID (B) TRATAMIENTO COLU.X150ml,DENTAID S.A.,$6.599,36%,$4.223
331,CLORHEXIDINA USO DENTAL,CLORHEXIDINA 0.12% SOL.X150ml,RECETARIO,$4.799,51%,$2.352
332,CLORTALIDONA,DIUPROL (B) 50mg X30COM,RAFFO S.A.,$10.999,43%,$6.269
333,CLOTIAZEPAM,PLANIDEN ODT 5mg X30COM.,RECALCINE,$7.999,26%,$5.919
334,CLOTIAZEPAM,PLANIDEN ODT 10mg X30COM.,RECALCINE,$14.999,30%,$10.499
335,CLOTIAZEPAM,RIZE (R) 10mg X30COM.REC.,SILESIA,$23.999,30%,$16.799
336,CLOTIAZEPAM,RIZE (R) 5mg X30COM.REC.,SILESIA,$15.999,40%,$9.599
337,CLOTIAZEPAM,NEUROVAL CD 5mg X30COM.,SAVAL S.A.,$9.299,44%,$5.207
338,CLOTIAZEPAM,NEUROVAL CD 10mg X30COM.,SAVAL S.A.,$19.199,47%,$10.175
339,CLOTRIMAZOL,CLOTRIMAZOL 1% CR.X20g,LABORATORIO CHILE,$1.599,57%,$688
340,CLOTRIMAZOL,CLOTRIMIN 1% CR.X20g,MEDIPHARM,$5.699,59%,$2.337
341,CLOTRIMAZOL,CLOTRIMAZOL 1% SOL.X20ml,PASTEUR,$1.799,61%,$702
342,CLOTRIMAZOL + BETAMETASONA,CLOTRIMAZOL/BETAMETASONA CR.X15g,LABORATORIO CHILE,$2.099,62%,$798
343,CLOTRIMAZOL + BETAMETASONA,CLOTRIMIN B CR.X15g,MEDIPHARM,$10.299,68%,$3.296
344,CLOTRIMAZOL + DEXAMETASONA,TRIBESONA CR.20g,ITF (EX LABOMED),$16.799,23%,$12.935
345,CLOTRIMAZOL OVULOS,CLOTRIMAZOL 100mg X6OVULO,LABORATORIO CHILE,$2.899,41%,$1.710
346,CLOTRIMAZOL OVULOS,FUNGOS 100mg X6OV.,PASTEUR,$10.399,53%,$4.888
347,CLOTRIMAZOL OVULOS,FUNGOS 500mg X1OV.,PASTEUR,$7.199,54%,$3.312
348,CLOTRIMAZOL OVULOS,CLOTRIMIN 500mg X1CAP.VAG.,MEDIPHARM,$6.499,56%,$2.860
349,CLOXACILINA,CLOXACILINA 500mg X12CAP.,OPKO,$1.599,32%,$1.087
350,CMP + UTP + HIDROXOCOBALAMINA,CITONEURON X30CAP.,FERRER,$23.399,44%,$13.103
351,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,FLEMEX J.A.T.FTE. (B) JBE.X120ml,RECALCINE,$14.499,25%,$10.874
352,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,FLEMEX JAT JBE.X120ml,RECALCINE,$13.499,25%,$10.124
353,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,TUSIGEN (B) JBE.X120ml,BAGO,$18.099,30%,$12.669
354,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,EXTOSEN (B) JBE.X100ml,SANITAS S.A.,$6.999,50%,$3.500
355,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,DEUCOTOS JBE.X120ml,MEDIPHARM,$11.599,66%,$3.944
356,COLAGENO HIDRATADO,GENACOL ANTIOX X90CAP.,NEW SCIENCE,$25.099,32%,$17.067
357,COLAGENO HIDRATADO,GENACOL 400mg X90CAP.,NEW SCIENCE,$25.999,38%,$16.119
358,COLECALCIFEROL,VITDE 800UI X30COM.,PASTEUR,$13.599,20%,$10.879
359,COLECALCIFEROL,VITDE GTAS.X10ml,PASTEUR,$15.799,20%,$12.639
360,COLECALCIFEROL,DVIDA MAX 50.000UI PVO.X1VIAL,ANDROMACO FARMA,$12.899,20%,$10.319
361,COLECALCIFEROL,ACUODE 50.000UI PVO.SOL.X2SOB.,RECALCINE,$15.599,22%,$12.167
362,COLECALCIFEROL,DVIDA GTAS.X10ml,ANDROMACO FARMA,$18.499,22%,$14.429
363,COLECALCIFEROL,DVIDA MAX 100.000UI PVO.ORAL 1g X1VIAL,ANDROMACO FARMA,$21.999,34%,$14.519
364,COLECALCIFEROL,VITDE-500 COMP.X30,PASTEUR,$10.099,38%,$6.261
365,COLECALCIFEROL,DELTIUS 100.000U.I S.O X4AMP,ITF (EX LABOMED),$49.999,42%,$28.999
366,COLECALCIFEROL,VITAMIN D3 800UI CAPS.X90,VITAMIN LIFE,$13.999,42%,$8.119
367,COLECALCIFEROL,BONAVID 300.000UI SOL.X2ml,PASTEUR,$18.499,46%,$9.989
368,COLECALCIFEROL,COLEKAL 50000 UI X2SOB.,RECETARIO,$11.399,67%,$3.762
369,COLECALCIFEROL,INFORVIT D3 800UI X30ML,PRATER,$16.499,73%,$4.455
370,COLESTIRAMINA,RESINCOLESTIRAMINA P.ORAL X50SOB,BPH S.A,$51.499,15%,$43.774
371,COMPLEJO DE HIERRO POLIMALTOSADO,MALTOFER 100mg X10AMP.BEB.,ANDROMACO FARMA,$21.099,15%,$17.934
372,COMPLEJO DE HIERRO POLIMALTOSADO,MALTOFER 50mg/ml GTAS.X30ml,ANDROMACO FARMA,$19.899,40%,$11.939
373,COMPLEJO DE HIERRO POLIMALTOSADO,ERITROFER SOL.GOTAS X20ml,DEUTSCHE PHARMA S.A.,$14.299,55%,$6.435
374,COTRIMOXAZOL,COTRIMOXAZOL FTE.X10COM.,ANDROMACO FARMA,$1.299,47%,$688
375,COTRIMOXAZOL,COTRIMOXAZOL X20COM.,HOSPIFARMA,$4.599,75%,$1.150
376,CRANBERRY,CRANBERRY CONCENTRATE NEW FORM.X90SOFTGE,VITAMIN LIFE,$11.999,30%,$8.399
377,D HIPOGLOS,D HIPOGLOS PDA.X100g,ANDROMACO FARMA,$7.499,20%,$5.999
378,D HIPOGLOS,D HIPOGLOS PDA.X60g,ANDROMACO FARMA,$5.899,20%,$4.719
379,D HIPOGLOS,D HIPOGLOS EXTREME PDA.X60g,ANDROMACO FARMA,$7.199,20%,$5.759
380,DABIGATRAN ETEXILATO,PRADAXA 150mg X30CAP.,BOEHRINGER INGELHEIM,$54.199,16%,$45.527
381,DABIGATRAN ETEXILATO,PRADAXA 150mg X60CAP.,BOEHRINGER INGELHEIM,$80.099,20%,$64.079
382,DABIGATRAN ETEXILATO,PRADAXA 110mg CAPS.X60,BOEHRINGER INGELHEIM,$82.099,22%,$64.037
383,DAPAGLIFLOZIN,FORXIGA 10mg X28COM.,ASTRA ZENECA DE CHILE LTDA.,$39.599,36%,$25.343
384,DAPAGLIFLOZINA +METFORMINA,XIGDUO XR 5mg/1000mg COM.X56,ASTRA ZENECA DE CHILE LTDA.,$43.399,19%,$35.153
385,DAPAGLIFLOZINA +METFORMINA,XIGDUO XR 10mg/1000mg COM.X28,ASTRA ZENECA DE CHILE LTDA.,$40.399,20%,$32.319
386,DEFLAZACORT,DEZARTAL (B) 30mg X20COM.,ANDROMACO FARMA,$59.999,15%,$50.999
387,DEFLAZACORT,DISFLAX (B) 30mg X10COM.,FAES FARMA CHILE,$24.699,25%,$18.524
388,DEFLAZACORT,DISFLAX (B) 6mg X20COMP.,FAES FARMA CHILE,$21.199,36%,$13.567
389,DELTAMETRINA + PIPERONILO BUTOXIDO,LAUNOL SH.X120ml,LABORATORIO CHILE,$8.099,41%,$4.778
390,DELTAMETRINA + PIPERONILO BUTOXIDO,LAUNOL SH.X60ml,LABORATORIO CHILE,$6.399,51%,$3.136
391,DENOSUMAB,XGEVA 120mg AMP.X1,TECNOFARMA LTDA.,$321.999,15%,$273.699
392,DENOSUMAB,PROLIA 60mg JP.X1,TECNOFARMA LTDA.,$192.099,15%,$163.284
393,DESLORATADINA,DESPEX (B) 5mg X30COM.REC.,LABORATORIO CHILE,$10.799,30%,$7.559
394,DESLORATADINA,DESPEX (B) 2.5mg/5ml JBE.X120ml,LABORATORIO CHILE,$13.099,46%,$7.073
395,DESLORATADINA,NEO ALLEDRYL (B) 5mg X30COM.REC.,PRATER,$7.599,74%,$1.976
396,DESOGESTREL,ARLETTE 28 X28COM.REC.,RECALCINE,$14.299,15%,$12.154
397,DESOGESTREL,LACTAFEM 75mcg X28COM.REC.,ANDROMACO FARMA,$16.999,30%,$11.899
398,DESOGESTREL,AMINTA (B) 75mcg X28COM.REC,SAVAL S.A.,$12.999,36%,$8.319
399,DESOGESTREL + ETINILESTRADIOL,CICLIDON 20 CD COMP.X28,ABBOTT ETICO,$14.999,26%,$11.099
400,DESVENLAFAXINA,PRISTIQ 100mg COMP.X28,PFIZER,$74.199,25%,$55.649
401,DESVENLAFAXINA,DESLAFAX 50mg X30COM.PROL.,GADORPHARMA SPA,$19.699,27%,$14.380
402,DESVENLAFAXINA,PRISTIQ 50mg X28COM.PROL.,PFIZER,$59.999,28%,$43.199
403,DESVENLAFAXINA,DESLAFAX 100mg 30COM.PROL.,GADORPHARMA SPA,$23.799,30%,$16.659
404,DEXAMETASONA ORAL,CORTYK 4mg COMP.X10,PASTEUR,$5.999,15%,$5.099
405,DEXCLORFENIRAMINA + BETAMETASONA,DEUCOALER X30COM.,MEDIPHARM,$6.699,25%,$5.024
406,DEXCLORFENIRAMINA + BETAMETASONA,PLEXUS (B) JBE.X120ml,RECALCINE,$12.599,25%,$9.449
407,DEXCLORFENIRAMINA + BETAMETASONA,PLEXUS X30COM.,RECALCINE,$11.999,25%,$8.999
408,DEXCLORFENIRAMINA + BETAMETASONA,CLOFEXAN X30COM.,BAGO,$17.499,25%,$13.124
409,DEXMETILFENIDATO,NEOARADIX 10mg COMP.X30,RECALCINE,$30.999,15%,$26.349
410,DIAZEPAM,DIAZEPAM (B) 10mg X20COM.,LABORATORIO CHILE,$1.099,37%,$692
411,DIAZEPAM + CLORMEZANONA,CALMOSEDAN X30COM.,RECALCINE,$15.499,30%,$10.849
412,DICLOFENACO,DICLOFENACO 75mg X5AMP.,BIOSANO,$2.799,55%,$1.260
413,DICLOFENACO,LERTUS 50mg X10COM.,TECNOFARMA LTDA.,$13.399,57%,$5.762
414,DICLOFENACO,DICLOFENACO 50mg X10COM.,ANDROMACO FARMA,$899,60%,$360
415,DICLOFENACO,DICLOFENACO PED.12.5mg X5SUP.,LABORATORIO CHILE,$1.499,63%,$555
416,DICLOFENACO,DICLOFENACO RET.100mg X8CAP.,LABORATORIO CHILE,$2.299,74%,$598
417,DICLOFENACO + TRAMADOL,ADORLAN COM X 10,GRUNENTHAL,$7.999,30%,$5.599
418,DICLOFENACO TOPICO,PIROFLAM GEL X30g,MEDIPHARM,$5.799,25%,$4.349
419,DICLOFENACO TOPICO,DICLOFENACO 1% GEL X30g,OPKO,$2.499,77%,$575
420,DIENOGEST,PIETRA ED (B) 30COMP.,EUROFARMA CHILE S.A.,$18.799,20%,$15.039
421,DIENOGEST,DISVEN COMP.X28,EUROFARMA CHILE S.A.,$22.799,20%,$18.239
422,DIFENIDOL,VERTIUM 25mg X40COM.,EUROFARMA CHILE S.A.,$19.499,44%,$10.919
423,DIFENIDOL,VERTIUM 25mg X10COM.,EUROFARMA CHILE S.A.,$8.899,55%,$4.005
424,DIGOXINA,DIGOXINA (R) 0.25mg X30COM.,EUROFARMA CHILE S.A.,$2.699,53%,$1.269
425,DIHEXAZIN,VITERNUM VITAM.JBE.X125ml,EUROFARMA CHILE S.A.,$22.599,44%,$12.655
426,DILTIAZEM,GRIFODILZEM 60mg X60COM.,EUROFARMA CHILE S.A.,$19.999,35%,$12.999
427,DIMENHIDRINATO,MAREAMIN 100mg X20COM.,EUROFARMA CHILE S.A.,$11.099,30%,$7.769
428,DIOSMINA (FLAVONOIDES RUTACEAS),VENARTEL 500mg X60COM.REC.,EUROFARMA CHILE S.A.,$54.099,30%,$37.869
429,DIOSMINA (FLAVONOIDES RUTACEAS),DIPEMINA 450mg/50mg COMP.X30,EUROFARMA CHILE S.A.,$21.499,33%,$14.404
430,DIOSMINA (FLAVONOIDES RUTACEAS),VESNIDAN X60COM.REC.,EUROFARMA CHILE S.A.,$30.099,35%,$19.564
431,DIPIRONA,DIPIRONA 1g/2ml X 5 AMP.,BIOSANO,$1.999,15%,$1.699
432,DIPIRONA,DIPIRONA 300mg X20COM.,BYB FARMACEUTICA,$1.399,66%,$476
433,DISULFIRAM,ANTABUS 500mg X24COM.,FARMOQUIMICA DEL PACIFICO,$32.599,37%,$20.537
434,DOMPERIDONA,IDON (B) 10mg X30CAP.,SAVAL S.A.,$12.899,37%,$8.126
435,DOMPERIDONA,DOMPERIDONA (B) 10mg X20COM.,LABORATORIO CHILE,$1.399,42%,$811
436,DOMPERIDONA,RESTOL 10mg/ml GTAS.X20ml,LABORATORIO CHILE,$3.499,58%,$1.470
437,DONEPECILO,EVIMAL (B) 10mg X30COM.REC.,ANDROMACO FARMA,$81.999,15%,$69.699
438,DONEPECILO,DOPABEN (B) 10mg X30COM.REC.,LABORATORIO CHILE,$46.399,23%,$35.727
439,DONEPECILO,DAZOLIN ODT 10mg X30COM.DISP.,RECALCINE,$81.999,30%,$57.399
440,DONEPECILO,EVOCAZ CD 10mg X30COM.DISP.,SAVAL S.A.,$47.499,36%,$30.399
441,DONEPECILO,EVOCAZ CD 5mg X30COM.DISP.,SAVAL S.A.,$42.799,38%,$26.535
442,DONEPECILO,DAZOLIN ODT 5mg X30COM.DISP.,RECALCINE,$79.599,40%,$47.759
443,DORZOLAMIDA,GLAUCOTENSIL (B) 2% SOL.OFT.5ml,PHARMA INVESTI,$22.099,30%,$15.469
444,DOXAZOSINA,CARDURA XL 4mg X30COM.,PFIZER,$53.599,38%,$33.231
445,DOXAZOSINA,ALFADOXIN (B) 4mg X30COM.,LABORATORIO CHILE,$13.299,40%,$7.979
446,DOXICICLINA,DOXITHAL SR 40mg CAPS.X28,PHARMA INVESTI,$22.099,19%,$17.900
447,DOXILAMINA + PIRIDOXINA,PLURIAMIN X30COM.PROL.,RECALCINE,$19.999,41%,$11.799
448,DULOXETINA CLORHIDRATO,NITEXOL 30mg X30CAP.,ANDROMACO FARMA,$15.399,15%,$13.089
449,DULOXETINA CLORHIDRATO,DUCETEN 60mg X30CAP.,RECALCINE,$23.499,24%,$17.859
450,DULOXETINA CLORHIDRATO,BINAX (B) 60mg X28CAP.,LABORATORIO CHILE,$18.599,25%,$13.949
451,DULOXETINA CLORHIDRATO,NITEXOL 60mg X30CAP.,ANDROMACO FARMA,$20.999,28%,$15.119
452,DULOXETINA CLORHIDRATO,DUCETEN 30mg X30CAP.,RECALCINE,$20.499,30%,$14.349
453,DULOXETINA CLORHIDRATO,REALTA (B) 60mg X30COM.,SAVAL S.A.,$21.399,37%,$13.481
454,DULOXETINA CLORHIDRATO,BINAX (B) 30mg X28CAP.,LABORATORIO CHILE,$14.099,37%,$8.882
455,DULOXETINA CLORHIDRATO,CYMBALTA 30mg X7CAP.,TECNOFARMA LTDA.,$16.599,38%,$10.291
456,DUTASTERIDA,DUTASVITAE (B) X30CAP.BLANDAS,GALENICUM HEALTH CHILE SPA,$38.499,35%,$25.024
457,DUTASTERIDA,AVODART 0.5mg X30CAP.BLANDAS,GLAXO,$59.599,40%,$35.759
458,DUTASTERIDA + TAMSULOSINA,DUODART 0.5mg X30CAP.,GLAXO,$47.299,30%,$33.109
459,DUTASTERIDA + TAMSULOSINA,GOTELY DUO (B) CAPS.X30,TECNOFARMA LTDA.,$30.099,35%,$19.564
460,DUTASTERIDA + TAMSULOSINA,PROSTOP-D (B) 0.5/0.4 X30CAP.LS,SAVAL S.A.,$20.999,41%,$12.389
461,ELETRIPTAN,RELPAX 40mg X2COM.REC.,PFIZER,$18.299,50%,$9.150
