,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio julio 2020,Descuento,Precio referencial con Descuento julio 2020
235,CLORANFENICOL OFTALMICO COLIRIO,CLORANFENICOL 0.5% SOF.X10ml,OPKO,$2.299,67%,$759
236,CLORANFENICOL OFTALMICO UNGUENTO,CLORANFENICOL 1% UNG.OFT.X3.5g,HOSPIFARMA,$3.799,89%,$418
237,CLORFENAMINA,CLORFENAMINA (B) 4mg X20COM.,LABORATORIO CHILE,$799,83%,$136
238,CLORFENAMINA,PRODEL 2mg/5ml JBE.X120ml,PASTEUR,$5.399,83%,$918
239,CLORFENAMINA + PSEUDOEFEDRINA,NASTIFRIN GTAS.X15ml,LABORATORIO CHILE,$8.499,54%,$3.910
240,CLORFENAMINA + PSEUDOEFEDRINA,RINOVEN GOTAS X 15 ML,MEDIPHARM,$3.099,30%,$2.169
241,CLORHEXIDINA USO DENTAL,CLORHEXIDINA 0.12% SOL.X150ml,RECETARIO,$4.499,51%,$2.205
242,CLORHEXIDINA USO DENTAL,PERIO AID TRATAMIENTO COLU.X150ml,DENTAID S.A.,$6.199,65%,$2.170
243,CLORPROMAZINA,LARGACTIL 100mg X20COM.REC.,AVENTIS,$11.399,74%,$2.964
244,CLOTIAZEPAM,PLANIDEN ODT 10mg X30COM.,RECALCINE,$14.999,54%,$6.900
245,CLOTIAZEPAM,PLANIDEN ODT 5mg X30COM.,RECALCINE,$7.999,39%,$4.879
246,CLOTIAZEPAM,RIZE.10MG.30CP.,SILESIA,$23.699,40%,$14.219
247,CLOTIAZEPAM,RIZE.5MG.30CP.,SILESIA,$16.299,40%,$9.779
248,CLOTRIMAZOL,CLOTRIMAZOL 1% CR.X20g,LABORATORIO CHILE,$1.599,86%,$224
249,CLOTRIMAZOL,CLOTRIMAZOL 1% CR.X20g,EUROFARMA CHILE S.A.,$1.399,86%,$196
250,CLOTRIMAZOL,CLOTRIMIN CREMA X 20 G,MEDIPHARM,$5.699,54%,$2.622
251,CLOTRIMAZOL,CLOTRIMIN SOLUCION TOPICA 20 ml.,MEDIPHARM,$4.799,52%,$2.304
252,CLOTRIMAZOL + BETAMETASONA,CLOTRIMIN-B CREMA x 15 grs.,MEDIPHARM,$9.999,72%,$2.800
253,CLOTRIMAZOL OVULOS,ARNELA 500mg OVUL.X2,ANDROMACO FARMA,$20.999,30%,$14.699
254,CLOTRIMAZOL OVULOS,CLOTRIMAZOL 100mg X6OVULO,LABORATORIO CHILE,$2.499,60%,$1.000
255,CLOTRIMAZOL OVULOS,CLOTRIMIN OVULOS VAGINALES X 1 OVULO,MEDIPHARM,$6.499,81%,$1.235
256,CLOXACILINA,CLOXACILINA 500mg X12CAP.,ANDROMACO FARMA,$1.799,55%,$810
257,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,ELITOS ET FTE.JBE.120ml,ANDROMACO FARMA,$16.999,30%,$11.899
258,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,ELITOS ET JBE.120ml,ANDROMACO FARMA,$16.999,30%,$11.899
259,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,EXTOSEN JBE.X100ml,SANITAS S.A.,$6.299,86%,$882
260,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,FLEMEX J.A.T.FTE.JBE.X120ml,RECALCINE,$14.499,25%,$10.874
261,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,FLEMEX JAT JBE.X120ml,RECALCINE,$13.499,25%,$10.124
262,COLECALCIFEROL,ACUODE 50.000UI PVO.SOL.X2SOB.,RECALCINE,$15.599,25%,$11.699
263,COLECALCIFEROL,DVIDA GTAS.10ml,ANDROMACO FARMA,$17.999,35%,$11.699
264,COLECALCIFEROL,DVIDA MAX PVO.1g,ANDROMACO FARMA,$22.499,39%,$13.724
265,COLECALCIFEROL,VITDE 800 X30COM.,PASTEUR,$12.395,20%,$9.916
266,COLECALCIFEROL,VITDE GTAS.X10ml,PASTEUR,$14.999,20%,$11.999
267,COMPLEJO DE HIERRO POLIMALTOSADO,MALTOFER 100mg BEB.X10,ANDROMACO FARMA,$20.499,30%,$14.349
268,COMPLEJO DE HIERRO POLIMALTOSADO,MALTOFER 50mg GTAS.30ml,ANDROMACO FARMA,$19.499,55%,$8.775
269,COTRIMOXAZOL,COTRIMOXAZOL FTE.X10COM.,ANDROMACO FARMA,$1.299,55%,$585
270,D HIPOGLOS,D HIPOGLOS 100g,ANDROMACO FARMA,$6.899,20%,$5.519
271,D HIPOGLOS,D HIPOGLOS 60g,ANDROMACO FARMA,$5.499,20%,$4.399
272,D HIPOGLOS,D HIPOGLOS EXTREME 60g,ANDROMACO FARMA,$6.299,20%,$5.039
273,DABIGATRAN ETEXILATO,PRADAXA 150mg X30CAP.,BOEHRINGER INGELHEIM,$50.999,27%,$37.229
274,DAPAGLIFLOZIN,FORXIGA 10mg X28COM.,ASTRA ZENECA DE CHILE LTDA.,$42.999,46%,$23.219
275,DEFLAZACORT,(B) DEZARTAL 6mg COMP.X30,ANDROMACO FARMA,$31.499,30%,$22.049
276,DEFLAZACORT,DEZARTAL (B) 30mg X20COM.,ANDROMACO FARMA,$59.999,50%,$30.000
277,DELTAMETRINA + PIPERONILO BUTOXIDO,LAUNOL SH.X120ml,LABORATORIO CHILE,$7.399,51%,$3.626
278,DESLORATADINA,DESLORATADINA 2.5mg/5ml JBE.X60ml,ByB FARMACEUTICA,$4.499,57%,$1.935
279,DESLORATADINA,DESPEX (B) 5mg X30COM.REC.,LABORATORIO CHILE,$9.999,46%,$5.399
280,DESLORATADINA,NEOLARMAX 2.5mg JBE.75ml,ANDROMACO FARMA,$10.599,30%,$7.419
281,DESMOPRESINA,DDAVP 0.1mg X30COM.,FERRING,$39.099,9%,$35.580
282,DESOGESTREL,ARLETTE 28 X28COM.REC.,RECALCINE,$14.499,25%,$10.874
283,DESOGESTREL,LACTAFEM 75mcg X28COM.REC.,ANDROMACO FARMA,$16.999,50%,$8.500
284,DESOGESTREL,SOLUNA (B) X28COM.,MINTLAB,$9.099,30%,$6.369
285,DESOGESTREL + ETINILESTRADIOL,CICLIDON 20 CD X28COM.REC.,RECALCINE,$14.999,47%,$7.949
286,DESOGESTREL + ETINILESTRADIOL,CICLIDON X21COM.REC.,RECALCINE,$22.499,25%,$16.874
287,DESOGESTREL + ETINILESTRADIOL,DAL X28COM.REC.,RECALCINE,$14.499,25%,$10.874
288,DESOGESTREL + ETINILESTRADIOL,SOLUNA E (B) X21COM.,MINTLAB,$9.999,30%,$6.999
289,DESOGESTREL + ETINILESTRADIOL,SOLUNA E-20 (B) X21COM.,MINTLAB,$8.799,30%,$6.159
290,DESVENLAFAXINA,PRISTIQ 50mg X28COM.PROL.,PFIZER,$62.399,40%,$37.439
291,DEXCLORFENIRAMINA + BETAMETASONA,DEUCOALER 30 comprimidos,MEDIPHARM,$6.499,25%,$4.874
292,DEXCLORFENIRAMINA + BETAMETASONA,PLEXUS JBE.X120ml,RECALCINE,$12.599,25%,$9.449
293,DEXCLORFENIRAMINA + BETAMETASONA,PLEXUS X30COM.,RECALCINE,$11.999,25%,$8.999
294,DIACEREINA,ARTRIZONA 50mg CAPS.X30,ANDROMACO FARMA,$42.299,30%,$29.609
295,DIAZEPAM,DIAZEPAM (B) 10mg X20COM.,LABORATORIO CHILE,$999,46%,$539
296,DIAZEPAM + CLORMEZANONA,CALMOSEDAN X30COM.,RECALCINE,$15.499,41%,$9.144
297,DICLOFENACO,DICLOFENACO 50mg X10COM.,ANDROMACO FARMA,$799,93%,$56
298,DICLOFENACO,DICLOFENACO 75mg AMP.X5,BIOSANO,$2.799,55%,$1.260
299,DICLOFENACO,DICLOFENACO PED.12.5mg X5SUP.,LABORATORIO CHILE,$1.399,63%,$518
300,DICLOFENACO TOPICO,DEFLAMAT 1% GEL 60g,ANDROMACO FARMA,$9.599,30%,$6.719
301,DICLOFENACO TOPICO,PIROFLAM GEL x 30 grs.,MEDIPHARM,$5.799,25%,$4.349
302,DIENOGEST,DALGIET (B) X28COM.,EXELTIS CHILE,$20.199,20%,$16.159
303,DIENOGEST,VALERIX COMP.X30,SILESIA,$18.999,20%,$15.199
304,DIGOXINA,DIGOXINA (B) 0.25mg X30COM.,LABORATORIO CHILE,$2.499,64%,$900
305,DIHEXAZIN,VITERNUM VITAM.JBE.X125ml,ITF (EX LABOMED),$20.499,50%,$10.250
306,DILTIAZEM,GRIFODILZEM 60mg COMP.X60,LABORATORIO CHILE,$18.999,35%,$12.349
307,DIMENHIDRINATO,MAREAMIN 100mg COMP.X20,EUROFARMA CHILE S.A.,$10.499,30%,$7.349
308,DIOSMINA (FLAVONOIDES RUTACEAS),VENARTEL 500mg COMP.X60,ANDROMACO FARMA,$50.899,30%,$35.629
309,DIOSMINA (FLAVONOIDES RUTACEAS),VESNIDAN x 30 comprimidos,MEDIPHARM,$15.499,65%,$5.425
310,DIOSMINA (FLAVONOIDES RUTACEAS),VESNIDAN x 60 comprimidos,MEDIPHARM,$28.599,25%,$21.449
311,DIPIRONA,DIPIRONA 1g/2ml X5AMP.,BIOSANO,$2.199,39%,$1.341
312,DIPIRONA,DIPIRONA 300mg X20COM.,ByB FARMACEUTICA,$1.399,72%,$392
313,DISULFIRAM,ANTABUS 500mg X24COM.,FARMOQUIMICA DEL PACIFICO,$30.499,50%,$15.250
314,DOMPERIDONA,DOMPERIDONA (B) 10mg X20COM.,ABORATORIO CHILE,$1.299,70%,$390
315,DOMPERIDONA,RESTOL 10mg/ml GTAS.X20ml,LABORATORIO CHILE,$2.899,63%,$1.073
316,DONEPECILO,DAZOLIN ODT 10mg X30COM.DISP.,RECALCINE,$81.999,48%,$42.639
317,DONEPECILO,DAZOLIN ODT 5mg X30COM.DISP.,RECALCINE,$74.999,76%,$18.000
318,DONEPECILO,DOPABEN (B) 10mg X30COM.REC.,LABORATORIO CHILE,$64.599,35%,$41.989
319,DONEPECILO,EVIMAL 10 MG x 30 COMP,ANDROMACO FARMA,$77.199,40%,$46.319
320,DOXAZOSINA,ALFADOXIN 4MG 30C,LABORATORIO CHILE,$11.999,65%,$4.200
321,DOXILAMINA + PIRIDOXINA,PLURIAMIN X30COM.PROL.,RECALCINE,$19.999,50%,$10.000
322,DULOXETINA CLORHIDRATO,DUCETEN 30mg X30CAP.,RECALCINE,$20.499,35%,$13.324
323,DULOXETINA CLORHIDRATO,DUCETEN 60mg X30CAP.,RECALCINE,$23.499,35%,$15.274
324,DULOXETINA CLORHIDRATO,NITEXOL 30mg CAPS.X30,ANDROMACO FARMA,$14.999,40%,$8.999
325,DULOXETINA CLORHIDRATO,NITEXOL 60mg CAPS.X30,ANDROMACO FARMA,$20.499,40%,$12.299
326,DUTASTERIDA,AVODART 0.5mg X30CAP.BLANDAS,1GLAXO,$54.999,67%,$18.150
327,DUTASTERIDA + TAMSULOSINA,DUODART 0.5mg X30CAP.,1GLAXO,$44.499,53%,$20.915
328,EFAVIRENZ (EFV),(B) RIBOTEX 600mg COMP.X30,ANDROMACO FARMA,$113.199,20%,$90.559
329,ELETRIPTAN,ELEMIGROL 40MG. CAJA 4COMP. REC.,ANDROMACO FARMA,$16.999,40%,$10.199
330,EMPAGLIFLOZINA,JARDIANCE 10mg X30COM.REC,BOEHRINGER INGELHEIM,$39.699,33%,$26.598
331,ENALAPRIL,ENALAPRIL 10mg X20COM.,ANDROMACO FARMA,$899,86%,$126
332,ENALAPRIL,ENALAPRIL 5mg X20COM.,HOSPIFARMA,$1.399,30%,$979
333,ENALAPRIL + HIDROCLOROTIAZIDA,ENALTEN-D 10/25 COMP.X30,SAVAL S.A.,$24.399,25%,$18.299
334,ERGOTAMINA + CAFEINA + CLORFENAMINA + DIPIRONA,CINABEL COMP.X10,ANDROMACO FARMA,$4.799,20%,$3.839
335,ESCITALOPRAM,ESC (BE) 10mg COM.X30,EUROFARMA CHILE S.A.,$13.899,51%,$6.811
336,ESCITALOPRAM,ESC(BE) 20mg COM.X30,EUROFARMA CHILE S.A.,$18.999,43%,$10.829
337,ESCITALOPRAM,(B) ESCITALOPRAM 10mg COMP.X30,LABORATORIO CHILE,$10.299,30%,$7.209
338,ESCITALOPRAM,ECITALEX FT 10mg COMP.X30,ANDROMACO FARMA,$11.999,30%,$8.399
339,ESCITALOPRAM,ECTIBAN 10MG 30CR,LABORATORIO CHILE,$15.999,35%,$10.399
340,ESCITALOPRAM,(B) ECTIBAN 20mg COMP.X30,LABORATORIO CHILE,$39.999,35%,$25.999
341,ESCITALOPRAM,IPRAN (B) 10mg X30COM.REC.,RECALCINE,$27.499,35%,$17.874
342,ESCITALOPRAM,IPRAN (B) 20mg X30COM.REC.,RECALCINE,$48.999,35%,$31.849
343,ESCITALOPRAM,LEXAPRO (R) 10mg X28COM.REC.,LUNDBECK,$41.099,20%,$32.879
344,ESCITALOPRAM,LEXAPRO (R) 15mg X28COM.REC.,LUNDBECK,$65.399,20%,$52.319
345,ESCITALOPRAM,LEXAPRO (R) 20mg X28COM.REC.,LUNDBECK,$62.199,20%,$49.759
346,ESCITALOPRAM,REPOSIL 10mg. 30 Comprimidos Rec.,MEDIPHARM,$15.999,58%,$6.720
347,ESOMEPRAZOL,(R) NEXIUM 20mg COMP.X28,ASTRA ZENECA DE CHILE LTDA.,$27.399,20%,$21.919
348,ESOMEPRAZOL,EMEZOL 40mg CAPS.X30,ANDROMACO FARMA,$25.299,30%,$17.709
349,ESOMEPRAZOL,ESOMEPRAZOL (B) 20mg 30COM.REC,OPKO,$5.399,30%,$3.779
350,ESOMEPRAZOL,ESOMEPRAZOL (B) 40mg CAP.X30,OPKO,$4.699,30%,$3.289
351,ESPIRONOLACTONA,ESPIRONOLACTONA 25mg X20COM.,ANDROMACO FARMA,$2.099,75%,$525
352,ESTRADIOL,CYCLOBIOL 1mg COMP.X30,SILESIA,$10.299,20%,$8.239
353,ESTRADIOL,GINODERM 0.06% GEL X80g,RECALCINE,$25.799,68%,$8.256
354,ESTRADIOL,HORMOGEL PUMP 0.1% GEL TRANS. 35g,SILESIA,$15.599,30%,$10.919
355,ESTRADIOL,PRIMAQUIN 1mg X30COM.REC.,RECALCINE,$15.999,25%,$11.999
356,ESTRADIOL,PRIMAQUIN 2mg X30COM.REC.,RECALCINE,$17.999,51%,$8.820
357,ESTRADIOL,VAGIFEM 10mcg COMP.VAG.X18,SILESIA,$39.999,20%,$31.999
358,ESTRADIOL + DROSPIRENONA,CLINOMAT X30COM.REC.,RECALCINE,$22.499,25%,$16.874
359,ESTRADIOL + NORETISTERONA,ACTIVELLE COMP.X28,SILESIA,$30.999,20%,$24.799
360,ESTRADIOL+NOMEGESTROL,NATUREL CAJA 28 COMP.REC,ANDROMACO FARMA,$21.199,30%,$14.839
361,ESTRIOL,VACIDOX 0.5mg X15OV.,RECALCINE,$27.299,25%,$20.474
362,ESZOPICLONA,ESZOP 3 MG 30 COMP. REC,SILESIA,$19.799,40%,$11.879
363,ESZOPICLONA,NOPTIC 2MGx30COMPR.,ANDROMACO FARMA,$10.299,40%,$6.179
364,ESZOPICLONA,NOPTIC 3MGx30COMPR.,ANDROMACO FARMA,$12.999,40%,$7.799
365,ESZOPICLONA,PLESSIR 3mg. 30 Comprimidos Rec.,MEDIPHARM,$8.999,25%,$6.749
366,ESZOPICLONA,VALNOC 2mg X30COM.REC.,RECALCINE,$9.499,25%,$7.124
367,ESZOPICLONA,VALNOC 3mg X30COM.REC.,RECALCINE,$11.999,25%,$8.999
368,ESZOPICLONA,ZOPINOM 3 MG 30 CR,LABORATORIO CHILE,$6.399,35%,$4.159
369,ETINILESTRADIOL + CLORMADINONA,GYNORELLE X28COM.REC.,RECALCINE,$23.699,50%,$11.850
370,ETINILESTRADIOL + CLORMADINONA,SERENATA 20 X28COM.REC,SILESIA,$20.499,50%,$10.250
371,ETINILESTRADIOL + CLORMADINONA,VIORA (B) X21COM.REC.,EXELTIS CHILE,$15.999,20%,$12.799
372,ETINILESTRADIOL + CLORMADINONA,VIORA 20 X28COM.REC.,EXELTIS CHILE,$16.399,20%,$13.119
373,ETINILESTRADIOL + CLORMADINONA,VIORA CD (B) X28COM.REC.,EXELTIS CHILE,$16.499,20%,$13.199
374,ETINILESTRADIOL + DIENOGEST,ACOTOL X28COM.REC.,RECALCINE,$15.599,25%,$11.699
375,ETINILESTRADIOL + DIENOGEST,DANIELE (B) X28COM.REC,EXELTIS CHILE,$12.499,20%,$9.999
376,ETINILESTRADIOL + DIENOGEST,TINELLE X28COM.REC.,SILESIA,$16.699,50%,$8.350
377,ETINILESTRADIOL + DROSPIRENONA,FEMELLE 20 X28COM.REC.,RECALCINE,$16.099,25%,$12.074
378,ETINILESTRADIOL + DROSPIRENONA,FEMELLE X28COM.REC.,RECALCINE,$17.999,78%,$3.960
379,ETINILESTRADIOL + DROSPIRENONA,FEMIPLUS 20 CD COMP.X28,EUROFARMA CHILE S.A.,$15.999,38%,$9.919
380,ETINILESTRADIOL + DROSPIRENONA,FEMIPLUS CD COMP.X28,EUROFARMA CHILE S.A.,$16.999,30%,$11.899
381,ETINILESTRADIOL + DROSPIRENONA,LADEE (B) X28COM.REC.,EXELTIS CHILE,$15.299,20%,$12.239
382,ETINILESTRADIOL + DROSPIRENONA,LADEE 20 (B) X28COM.REC.,EXELTIS CHILE,$14.999,20%,$11.999
383,ETINILESTRADIOL + DROSPIRENONA,LADYGEX (B) X28COM.,MINTLAB,$11.999,30%,$8.399
384,ETINILESTRADIOL + DROSPIRENONA,LADYGEX 20 (B) COM.X28,MINTLAB,$11.999,30%,$8.399
385,ETINILESTRADIOL + DROSPIRENONA + MEFOLAT,FEMELLE 20 FOL X28COM.REC.,RECALCINE,$20.899,25%,$15.674
386,ETINILESTRADIOL + DROSPIRENONA + MEFOLAT,FEMELLE FOL X28COM.REC.,RECALCINE,$20.499,25%,$15.374
387,ETINILESTRADIOL + GESTODENO,CAREZA X28COM.REC.,SILESIA,$17.999,50%,$9.000
388,ETINILESTRADIOL + GESTODENO,CICLOMEX 15 X28COM.REC.,RECALCINE,$13.999,25%,$10.499
389,ETINILESTRADIOL + GESTODENO,CICLOMEX 20 CD X28COM.REC.,RECALCINE,$13.499,25%,$10.124
390,ETINILESTRADIOL + GESTODENO,CICLOMEX 20 X21COM.REC.,RECALCINE,$14.499,20%,$11.599
391,ETINILESTRADIOL + GESTODENO,CICLOMEX CD X28COM.REC.,RECALCINE,$15.499,25%,$11.624
392,ETINILESTRADIOL + GESTODENO,CICLOMEX X21COM.REC.,RECALCINE,$18.499,20%,$14.799
393,ETINILESTRADIOL + GESTODENO,MICROGEN 20 CD X28 COM.REC.,SILESIA,$12.599,50%,$6.300
394,ETINILESTRADIOL + GESTODENO,MICROGEN X21COM.REC.,SILESIA,$17.699,50%,$8.850
395,ETINILESTRADIOL + GESTODENO,TAMISA 30/75 GRA.X21,EUROFARMA CHILE S.A.,$7.799,30%,$5.459
396,EXEMESTANO,NODUTAX (B) 25mg X30COM.REC.,SYNTHON,$82.499,66%,$28.050
397,FAMOTIDINA,FAMOTIDINA 40mg X10COM.,LABORATORIO CHILE,$999,76%,$240
398,FENITOINA,FENITOINA (B) 100mg X30COM.,LABORATORIO CHILE,$1.699,54%,$782
399,FENOBARBITAL,FENOBARBITAL 100mg X10COM.,BPH S.A,$7.999,30%,$5.599
400,FENOFIBRATO DE COLINA,TRILIPIX 135mg X30CAP.PROL.,ABBOTT FARMA,$22.499,17%,$18.674
401,FENOTEROL + IPRATROPIO BROMURO,BERODUAL SOL.NEBULIZAR X20ml,BOEHRINGER INGELHEIM,$25.799,48%,$13.415
402,FIERRO (HIDROXIDO FERRICO - SACAROSA),VENOFER 100mg X5AMP.,ANDROMACO FARMA,$129.999,16%,$109.199
403,FIERRO PIROFOSFATO + ACIDO FOLICO,HEMOFOLIC 30CAP.,EXELTIS CHILE,$16.999,20%,$13.599
404,FIERRO POLIMALTOS + AC. FOLICO + VIT B12,MALTOFER FOL PLUS COMP.X30,ANDROMACO FARMA,$23.099,30%,$16.169
405,FIERRO SULFATO,FERRIGOT 25mg/ml GTAS.X30ml,PASTEUR,$6.199,88%,$744
406,FIERRO SULFATO,SULFATO FERROSO 200mg X20COM.,LABORATORIO CHILE,$1.799,67%,$594
407,FINASTERIDE BAJAS DOSIS,APEPLUS (B) 1mg X30COM.,RECALCINE,$26.499,35%,$17.224
408,FINASTERIDE BAJAS DOSIS,APEPLUS (B) 1mg X90COM.,RECALCINE,$78.999,35%,$51.349
409,FLUCLOXACILINA,FLUCLOXACILINA 250mg/5ml S.O.X60ml,ANDROMACO FARMA,$4.899,66%,$1.666
410,FLUCONAZOL,FLUCONAZOL 150mg X4CAP.,LABORATORIO CHILE,$7.099,62%,$2.698
411,FLUCONAZOL,FLUCTIN (B) 150mg X4CAP.,RECALCINE,$22.899,91%,$2.061
412,FLUOXETINA,FLUOXETINA (B) 20mg X20COM.,LABORATORIO CHILE,$1.499,79%,$315
413,FLUOXETINA,SOSTAC 20MG 30C,LABORATORIO CHILE,$15.999,35%,$10.399
414,FLUOXETINA,SOSTAC 20MG 60C,LABORATORIO CHILE,$17.999,35%,$11.699
415,FLUTAMIDA,FLUTAMIDA 250mg X100COM.,BPH S.A,$22.099,30%,$15.469
416,FLUTICASONA,BREXOVENT LF 125mcg INH.X120DS.,ETEX FARMACEUTICA LTDA.,$27.499,70%,$8.250
417,FLUTICASONA,FLIXOTIDE LF 125mcg INH.X120DS.,GLAXO,$50.499,63%,$18.685
418,FLUTICASONA,FLUSONA 125mcg INH.X120DS.,RECALCINE,$29.999,83%,$5.100
419,FLUTICASONA NASAL,"ALENYS 27,5mcg SUSP.NAS.X120DS.",ETEX FARMACEUTICA LTDA.,$18.499,63%,$6.845
420,FLUTICASONA NASAL,FLIXONASE 50mcg INH.X120DS.,GLAXO,$40.799,92%,$3.264
421,FLUTICASONA NASAL,NEBULEX 50mcg SOL.NAS.X120DS.,LABORATORIO CHILE,$17.899,41%,$10.560
422,FLUVOXAMINA,LUVOX 100mg X30COM.,ABBOTT FARMA,$43.999,51%,$21.560
423,FROVATRIPTAN,DOLIPRAN 2.5mg X6COM.,RECALCINE,$11.999,25%,$8.999
424,FUROSEMIDA,FUROSEMIDA (B) 40mg X12COM.,LABORATORIO CHILE,$1.299,80%,$260
425,GABA + GABOB + ACETILGUTAMINA + VIT.B6,MEMOREX X60CAP.,RECALCINE,$32.999,65%,$11.550
426,GABA + GABOB + BGM + VIT.B6,GAMALATE B6 30GRAG,ANDROMACO FARMA,$22.699,40%,$13.619
427,GABA + GABOB + BGM + VIT.B6,GAMALATE B6 60GRAG.,ANDROMACO FARMA,$34.599,40%,$20.759
428,GABA + GABOB + BGM + VIT.B6,GAMALATE B6 JBE.80ML.,ANDROMACO FARMA,$27.699,45%,$15.234
429,GEMFIBROZILO,GEMFIBROZILO (B) 300mg X30COM.REC.,LABORATORIO CHILE,$4.199,50%,$2.100
430,GEMFIBROZILO,GEMFIBROZILO 600mg X20COM.,LABORATORIO CHILE,$4.599,64%,$1.656
431,GENTAMICINA OFTALMICA COLIRIO,GENTAMICINA 0.3% SOF.X5ml,OPKO,$2.699,71%,$783
432,GENTAMICINA OFTALMICA UNGUENTO,GENTAMICINA 0.3% UNG.OF.X3.5g,ETHON PHARMACEUTICALS SPA,$6.699,49%,$3.416
433,GENTAMICINA SISTEMICA,GENTAMICINA 80mg X5AMP.,BIOSANO,$3.499,38%,$2.169
434,GINKGO BILOBA,GINKGO MAX 80mg X120CAP.,GARDEN HOUSE,$15.399,25%,$11.549
435,GINKGO BILOBA,GINKGO MAX 80mg X30CAP.,GARDEN HOUSE,$5.999,25%,$4.499
436,GINSENG + GINKGO,MENTANIA X30CAP.BLANDAS,SAVAL S.A.,$13.699,11%,$12.192
437,GLIBENCLAMIDA,GLIBENCLAMIDA (B) 5mg X60COM.,LABORATORIO CHILE,$1.199,83%,$204
438,GLIPIZIDA,MINIDIAB 5mg X30CAP.,PFIZER,$19.699,37%,$12.410
439,GLIPIZIDA,MINIDIAB 5mg X90COM.,PFIZER,$44.499,67%,$14.685
440,GLUCOSA + SODIO + POTASIO + CLORURO + CI,SALES DE REHIDRATACION 60 X8SOB.,OPKO,$7.299,65%,$2.555
441,GLUCOSA + SODIO + POTASIO + CLORURO + CI,SALES DE REHIDRATACION 90 X4SOB.,OPKO,$7.699,67%,$2.541
442,GLUCOSA + SODIO CLORURO,GLUCOSALINO ISOTONICO X500ml,HOSPIFARMA,$1.999,81%,$380
443,GLUCOSA INYECTABLE,GLUCOSA 5% X500ml,HOSPIFARMA,$1.699,53%,$799
444,GLUCOSAMINA + CONDROITINA,ARTRIDOL DUO FTE.SOB.X30,LABORATORIO CHILE,$35.499,42%,$20.589
445,GLUCOSAMINA + CONDROITINA,ARTRIDOL DUO X60CAP.BLANDAS,LABORATORIO CHILE,$19.299,35%,$12.544
446,GLUCOSAMINA + CONDROITINA,HIPERFLEX UD 4.7g X35SOB.,RECALCINE,$42.699,53%,$20.069
447,GLUCOSAMINA KCL + CONDROITINA SULFATO,HIPERFLEX K FTE.X60COM.,RECALCINE,$32.499,25%,$24.374
448,GONADOTROFINA CORIONICA,OVIDREL 250mcg X1F-A,MERCK SA CHILE,$60.599,15%,$51.509
449,GOSERELINA,ZOLADEX 10.8mg X1IMPLANTE,ASTRA ZENECA DE CHILE LTDA.,$272.299,52%,$130.704
450,HALOPERIDOL,HALOPERIDOL 1mg X30COM.,SYNTHON,$4.999,52%,$2.400
451,HALOPERIDOL,HALOPERIDOL 5mg X20COM.,SYNTHON,$6.999,49%,$3.569
452,HEDERA HELIX,ABRILAR 35mg/5ml JBE.X100ml,PHARMA INVESTI,$4.499,81%,$855
453,HEDERA HELIX,AEROMED JARABE 100 ml.,MEDIPHARM,$4.099,25%,$3.074
454,HEDERA HELIX,HIEDRIX 35mg/5ml JBE.X100ml,LABORATORIO CHILE,$3.899,79%,$819
455,HEPARINA,FRAGMIN 10000UI/4ml X1JP.,PFIZER,$12.499,60%,$5.000
456,HEPARINA,FRAGMIN 2500UI/0.2ml XJP.,PFIZER,$8.599,83%,$1.462
457,HIDROCLOROTIAZIDA,HIDROCLOROTIAZIDA (B) 50mg X20COM.,LABORATORIO CHILE,$1.699,68%,$544
458,HIDROCLOROTIAZIDA + TRIAMTERENO,UREN 24C,LABORATORIO CHILE,$4.699,35%,$3.054
459,HIDROCORTISONA,HIDROCORTISONA 20mg X20COM.,LABORATORIO CHILE,$6.099,51%,$2.989
460,HIDROCORTISONA DERMICA,PROCTORAN CR.30g,FAES FARMA CHILE,$12.799,27%,$9.343
461,HIDROCORTISONA DERMICA,PANDEL CR.15g,ANDROMACO FARMA,$22.799,30%,$15.959
462,HIDROCORTISONA SUCCINATO SODICO,SOLU CORTEF 100mg X1F-A,PFIZER,$11.899,55%,$5.355
463,HIDROXICARBAMIDA,HIDROXICARBAMIDA 500mg X100COM.,BPH S.A,$70.899,57%,$30.487
464,HIDROXICLOROQUINA,"PLAQUINOL (R) 200mg X30TAB,",AVENTIS,$48.899,76%,$11.736
465,HORMONA FOLICULO ESTIMULANTE,GONAL F INYECTOR 300UI/0.75ml X1F-A,MERCK SA CHILE,$169.199,28%,$121.823
466,IBANDRONATO + CALCIO + VIT D,IBAMES CD CAPS.X30,ANDROMACO FARMA,$28.499,30%,$19.949
467,IBANDRONATO SODICO MONOH,IBAMES 150mg COMP.X1,ANDROMACO FARMA,$33.999,30%,$23.799
468,IBANDRONATO SODICO MONOH,IBANOX (B) 150mg X1COM.REC.,PASTEUR,$21.999,20%,$17.599
469,IBUPROFENO,DEUCODOL FTE.200mg/5ml S.O.X120ml,MEDIPHARM,$5.799,91%,$522
470,IBUPROFENO,DEUCODOL SUSPENSION x 120 ml,MEDIPHARM,$3.999,40%,$2.399
