,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio enero 2021,Descuento,Precio referencial con convenio enero 2021
233,CLOFEDIANOL + BROMHEXINA,BRONTAL (B) AD.JBE.X100ml,SANITAS S.A.,$8.499,32%,$5.779
234,CLOMIPRAMINA,ANAFRANIL (R) 25mg X20GRA.,NOVARTIS CHILE S.A.,$26.499,73%,$7.155
235,CLOMIPRAMINA,ANAFRANIL 75mg X20GRA.,NOVARTIS CHILE S.A.,$57.499,81%,$10.925
236,CLONAZEPAM,(R) RAVOTRIL 2mg COMP.X30,ROCHE,$15.499,15%,$13.174
237,CLONAZEPAM,ACEPRAN 2.5mg GTAS.10ml,ANDROMACO FARMA,$13.699,23%,$10.548
238,CLONAZEPAM,CLONAZEPAM (B) 0.5mg X30COM.,LABORATORIO CHILE,$3.599,85%,$540
239,CLONAZEPAM,CLONAZEPAM (B) 2mg X30COM.,LABORATORIO CHILE,$5.599,85%,$840
240,CLONAZEPAM,ROPSIL 0.5 MG X 30 COMPRIMIDOS,MEDIPHARM,$3.399,45%,$1.869
241,CLONAZEPAM,ROPSIL 2 MG X 30 COMPRIMIDOS,MEDIPHARM,$5.999,61%,$2.340
242,CLONAZEPAM,VALPAX (B) 2mg X30COM.,RECALCINE,$15.399,94%,$924
243,CLONAZEPAM,RAVOTRIL 2.5mg GTAS.20ml,ROCHE,$27.699,30%,$19.389
244,CLONIXINATO DE LISINA,COLMAX 125mg COMP.X10,ANDROMACO FARMA,$3.599,58%,$1.512
245,CLONIXINATO DE LISINA + VITAMINAS B1-B6-B12,NEFERSIL-B COMP.X10,PHARMA INVESTI,$9.999,25%,$7.499
246,CLOPIDROGEL,FLUYET (B) 75mg X30COM.,EXELTIS CHILE,$19.999,79%,$4.200
247,CLOPIDROGEL,(B) CLOPIDOGREL 75mg COMP.X30,LABORATORIO CHILE,$12.999,25%,$9.749
248,CLORANFENICOL OFTALMICO COLIRIO,CLORANFENICOL 0.5% SOF.X10ml,OPKO,$2.299,67%,$759
249,CLORANFENICOL OFTALMICO UNGUENTO,CLORANFENICOL 1% UNG.OFT X5g,BPH S.A,$3.599,75%,$900
250,CLORFENAMINA,CLORFENAMINA (B) 4mg X20COM.,LABORATORIO CHILE,$799,83%,$136
251,CLORFENAMINA,PRODEL 2mg/5ml JBE.X120ml,PASTEUR,$5.399,83%,$918
252,CLORFENAMINA + PSEUDOEFEDRINA,NASTIFRIN GTAS.X15ml,LABORATORIO CHILE,$8.499,49%,$4.334
253,CLORFENAMINA + PSEUDOEFEDRINA,RINOVEN GOTAS X 15 ML,MEDIPHARM,$3.099,30%,$2.169
254,CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL (B) GTAS.X15ml,BAGO,$16.299,30%,$11.409
255,CLORHEXIDINA USO DENTAL,CLORHEXIDINA 0.12% SOL.X150ml,RECETARIO,$4.499,51%,$2.205
256,CLORHEXIDINA USO DENTAL,PERIO AID TRATAMIENTO COLU.X150ml,DENTAID S.A.,$6.199,65%,$2.170
257,CLORPROMAZINA,LARGACTIL 100mg X20COM.REC.,AVENTIS,$11.399,74%,$2.964
258,CLOTIAZEPAM,PLANIDEN ODT 10mg X30COM.,RECALCINE,$14.999,54%,$6.900
259,CLOTIAZEPAM,PLANIDEN ODT 5mg X30COM.,RECALCINE,$7.999,39%,$4.879
260,CLOTIAZEPAM,RIZE.10MG.30CP.,SILESIA,$24.499,40%,$14.699
261,CLOTIAZEPAM,RIZE.5MG.30CP.,SILESIA,$16.799,40%,$10.079
262,CLOTRIMAZOL,CLOTRIMAZOL 1% CR.X20g,LABORATORIO CHILE,$1.599,86%,$224
263,CLOTRIMAZOL,CLOTRIMIN CREMA X 20 G,MEDIPHARM,$5.699,54%,$2.622
264,CLOTRIMAZOL,CLOTRIMIN SOLUCION TOPICA 20 ml.,MEDIPHARM,$4.799,52%,$2.304
265,CLOTRIMAZOL,CLOTRIMAZOL 1% SOL.X20ml,PASTEUR,$1.699,50%,$850
266,CLOTRIMAZOL + BETAMETASONA,CLOTRIMIN-B CREMA x 15 grs.,MEDIPHARM,$9.999,70%,$3.000
267,CLOTRIMAZOL OVULOS,ARNELA 500mg OVUL.X2,ANDROMACO FARMA,$21.499,30%,$15.049
268,CLOTRIMAZOL OVULOS,CLOTRIMAZOL 100mg X6OVULO,LABORATORIO CHILE,$2.499,60%,$1.000
269,CLOTRIMAZOL OVULOS,CLOTRIMIN OVULOS VAGINALES X 1 OVULO,MEDIPHARM,$6.499,81%,$1.235
270,CLOXACILINA,CLOXACILINA 500mg X12CAP.,ANDROMACO FARMA,$1.799,55%,$810
271,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,EXTOSEN JBE.X100ml,SANITAS S.A.,$6.299,86%,$882
272,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,FLEMEX J.A.T.FTE.JBE.X120ml,RECALCINE,$14.499,25%,$10.874
273,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,FLEMEX JAT JBE.X120ml,RECALCINE,$13.499,25%,$10.124
274,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,DEUCOTOS JBE.X120ml,MEDIPHARM,$10.999,25%,$8.249
275,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,TUSIGEN (B) JBE.X120ml,BAGO,$17.499,30%,$12.249
276,COLECALCIFEROL,ACUODE 50.000UI PVO.SOL.X2SOB.,RECALCINE,$15.599,33%,$10.451
277,COLECALCIFEROL,DVIDA GTAS.10ml,ANDROMACO FARMA,$17.999,35%,$11.699
278,COLECALCIFEROL,DVIDA MAX PVO.1g,ANDROMACO FARMA,$22.499,42%,$13.049
279,COLECALCIFEROL,VITDE 800 X30COM.,PASTEUR,$12.395,20%,$9.916
280,COLECALCIFEROL,VITDE GTAS.X10ml,PASTEUR,$14.999,20%,$11.999
281,COLECALCIFEROL,INFORVIT D3 800UI X30ML,PRATER,$15.799,35%,$10.269
282,COMPLEJO DE HIERRO POLIMALTOSADO,MALTOFER 100mg BEB.X10,ANDROMACO FARMA,$20.799,25%,$15.599
283,COMPLEJO DE HIERRO POLIMALTOSADO,MALTOFER 50mg GTAS.30ml,ANDROMACO FARMA,$19.699,51%,$9.653
284,COMPLEJO DE HIERRO POLIMALTOSADO,ERITROFER SOL.GOTAS 20ml,DEUTSCHE PHARMA S.A.,$14.299,47%,$7.578
285,COTRIMOXAZOL,COTRIMOXAZOL FTE.X10COM.,ANDROMACO FARMA,$1.299,47%,$688
286,D HIPOGLOS,D HIPOGLOS 100g,ANDROMACO FARMA,$7.199,20%,$5.759
287,D HIPOGLOS,D HIPOGLOS 60g,ANDROMACO FARMA,$5.899,20%,$4.719
288,D HIPOGLOS,D HIPOGLOS EXTREME 60g,ANDROMACO FARMA,$6.599,20%,$5.279
289,DABIGATRAN ETEXILATO,PRADAXA 150mg X30CAP.,BOEHRINGER INGELHEIM,$52.599,27%,$38.397
290,DAPAGLIFLOZIN,FORXIGA 10mg X28COM.,ASTRA ZENECA DE CHILE LTDA.,$42.999,36%,$27.519
291,DEFLAZACORT,(B) DEZARTAL 6mg COMP.X30,ANDROMACO FARMA,$31.499,29%,$22.364
292,DEFLAZACORT,DEZARTAL (B) 30mg X20COM.,ANDROMACO FARMA,$59.999,50%,$30.000
293,DEFLAZACORT,DISFLAX (B) 6mg X20COMP.,FAES FARMA CHILE,$20.099,30%,$14.069
294,DELTAMETRINA + PIPERONILO BUTOXIDO,LAUNOL SH.X120ml,LABORATORIO CHILE,$7.399,41%,$4.365
295,DELTAMETRINA + PIPERONILO BUTOXIDO,LAUNOL SH.X60ml,LABORATORIO CHILE,$6.399,51%,$3.136
296,DESLORATADINA,DESPEX (B) 5mg X30COM.REC.,LABORATORIO CHILE,$9.999,46%,$5.399
297,DESLORATADINA,NEO ALLEDRYL (B) 5mg X30COM.REC.,PRATER,$7.299,46%,$3.941
298,DESLORATADINA,DESPEX (B) 2.5mg/5ml JBE.X120ml,LABORATORIO CHILE,$11.699,46%,$6.317
299,DESMOPRESINA,DDAVP 0.1mg X30COM.,FERRING,$39.099,7%,$36.362
300,DESOGESTREL,ARLETTE 28 X28COM.REC.,RECALCINE,$14.399,25%,$10.799
301,DESOGESTREL,LACTAFEM 75mcg X28COM.REC.,ANDROMACO FARMA,$16.999,50%,$8.500
302,DESOGESTREL + ETINILESTRADIOL,CICLIDON 20 CD X28COM.REC.,RECALCINE,$14.999,47%,$7.949
303,DESOGESTREL + ETINILESTRADIOL,SOLUNA E-20 (B) X21COM.,MINTLAB,$9.299,30%,$6.509
304,DESVENLAFAXINA,PRISTIQ 50mg X28COM.PROL.,PFIZER,$62.399,33%,$41.807
305,DEXCLORFENIRAMINA + BETAMETASONA,DEUCOALER 30 comprimidos,MEDIPHARM,$6.499,25%,$4.874
306,DEXCLORFENIRAMINA + BETAMETASONA,PLEXUS JBE.X120ml,RECALCINE,$12.599,25%,$9.449
307,DEXCLORFENIRAMINA + BETAMETASONA,PLEXUS X30COM.,RECALCINE,$11.999,25%,$8.999
308,DEXCLORFENIRAMINA + BETAMETASONA,CLOFEXAN X30COM.,BAGO,$16.799,25%,$12.599
309,DIACEREINA,ARTRIZONA 50mg CAPS.X30,ANDROMACO FARMA,$43.599,30%,$30.519
310,DIAZEPAM,DIAZEPAM (B) 10mg X20COM.,LABORATORIO CHILE,$999,46%,$539
311,DIAZEPAM + CLORMEZANONA,CALMOSEDAN X30COM.,RECALCINE,$15.499,41%,$9.144
312,DICLOFENACO,DICLOFENACO 50mg X10COM.,ANDROMACO FARMA,$799,93%,$56
313,DICLOFENACO,DICLOFENACO 75mg AMP.X5,BIOSANO,$2.799,55%,$1.260
314,DICLOFENACO,DICLOFENACO PED.12.5mg X5SUP.,LABORATORIO CHILE,$1.399,63%,$518
315,DICLOFENACO TOPICO,PIROFLAM GEL x 30 grs.,MEDIPHARM,$5.799,25%,$4.349
316,DICLOFENACO TOPICO,DICLOFENACO 1% GEL X30g,OPKO,$2.399,77%,$552
317,DIENOGEST,DALGIET (B) X28COM.,EXELTIS CHILE,$20.199,20%,$16.159
318,DIENOGEST,VALERIX COMP.X30,SILESIA,$18.999,20%,$15.199
319,DIFENIDOL,VERTIUM 25mg COMP.X40,SAVAL S.A.,$18.299,44%,$10.247
320,DIGOXINA,DIGOXINA (B) 0.25mg X30COM.,LABORATORIO CHILE,$2.499,57%,$1.075
321,DIHEXAZIN,VITERNUM VITAM.JBE.X125ml,ITF (EX LABOMED),$21.199,46%,$11.447
322,DILTIAZEM,GRIFODILZEM 60mg COMP.X60,LABORATORIO CHILE,$18.999,35%,$12.349
323,DIMENHIDRINATO,MAREAMIN 100mg COMP.X20,EUROFARMA CHILE S.A.,$10.499,30%,$7.349
324,DIOSMINA (FLAVONOIDES RUTACEAS),VENARTEL 500mg COMP.X60,ANDROMACO FARMA,$52.499,30%,$36.749
325,DIOSMINA (FLAVONOIDES RUTACEAS),VESNIDAN x 30 comprimidos,MEDIPHARM,$15.499,65%,$5.425
326,DIOSMINA (FLAVONOIDES RUTACEAS),VESNIDAN x 60 comprimidos,MEDIPHARM,$28.599,25%,$21.449
327,DIOSMINA + HESPERIDINA,VEDIPAL X30COM.,TECNOFARMA LTDA.,$26.799,25%,$20.099
328,DIPIRONA,DIPIRONA 1g/2ml X5AMP.,BIOSANO,$2.199,39%,$1.341
329,DIPIRONA,DIPIRONA 300mg X20COM.,ByB FARMACEUTICA,$1.399,70%,$420
330,DISULFIRAM,ANTABUS 500mg X24COM.,FARMOQUIMICA DEL PACIFICO,$30.499,50%,$15.250
331,DOMPERIDONA,DOMPERIDONA (B) 10mg X20COM.,LABORATORIO CHILE,$1.299,70%,$390
332,DOMPERIDONA,RESTOL 10mg/ml GTAS.X20ml,LABORATORIO CHILE,$2.899,58%,$1.218
333,DONEPECILO,DAZOLIN ODT 10mg X30COM.DISP.,RECALCINE,$81.999,48%,$42.639
334,DONEPECILO,DAZOLIN ODT 5mg X30COM.DISP.,RECALCINE,$79.199,76%,$19.008
335,DONEPECILO,DOPABEN (B) 10mg X30COM.REC.,LABORATORIO CHILE,$46.399,35%,$30.159
336,DONEPECILO,EVIMAL 10 MG x 30 COMP,ANDROMACO FARMA,$79.599,30%,$55.719
337,DONEPECILO,EVOCAZ CD 10mg X30COM.DISP.,SAVAL S.A.,$45.799,35%,$29.769
338,DOXAZOSINA,ALFADOXIN 4MG 30C,LABORATORIO CHILE,$11.999,65%,$4.200
339,DOXILAMINA + PIRIDOXINA,PLURIAMIN X30COM.PROL.,RECALCINE,$19.999,41%,$11.799
340,DULOXETINA CLORHIDRATO,DUCETEN 30mg X30CAP.,RECALCINE,$20.499,35%,$13.324
341,DULOXETINA CLORHIDRATO,DUCETEN 60mg X30CAP.,RECALCINE,$23.499,35%,$15.274
342,DULOXETINA CLORHIDRATO,NITEXOL 30mg CAPS.X30,ANDROMACO FARMA,$14.999,30%,$10.499
343,DULOXETINA CLORHIDRATO,NITEXOL 60mg CAPS.X30,ANDROMACO FARMA,$20.499,40%,$12.299
344,DULOXETINA CLORHIDRATO,CYMBALTA 30mg X7CAP.,ELI LILLY,$15.599,35%,$10.139
345,DULOXETINA CLORHIDRATO,REALTA 60mg COMP.X30,SAVAL S.A.,$20.699,31%,$14.282
346,DUTASTERIDA,AVODART 0.5mg X30CAP.BLANDAS,GLAXO,$54.999,67%,$18.150
347,DUTASTERIDA + TAMSULOSINA,DUODART 0.5mg X30CAP.,GLAXO,$44.499,53%,$20.915
348,ELETRIPTAN,RELPAX 40mg X2COM.REC.,PFIZER,$16.699,40%,$10.019
349,ELETRIPTAN,ABETAL ODT 40mg X6COM.DISP.,RECALCINE,$21.999,29%,$15.619
350,EMPAGLIFLOZINA,JARDIANCE 10mg X30COM.REC,BOEHRINGER INGELHEIM,$40.899,24%,$31.083
351,ENALAPRIL,ENALAPRIL 10mg X20COM.,ANDROMACO FARMA,$899,86%,$126
352,ENALAPRIL,ENALAPRIL 5mg X20COM.,HOSPIFARMA,$1.399,30%,$979
353,ENALAPRIL + HIDROCLOROTIAZIDA,ENALTEN-D 10/25 COMP.X30,SAVAL S.A.,$24.399,25%,$18.299
354,ERGOTAMINA + CAFEINA + CLORFENAMINA + DIPIRONA,CINABEL COMP.X10,ANDROMACO FARMA,$4.999,20%,$3.999
355,ERGOTAMINA + CAFEINA + CLORFENAMINA + DIPIRONA,CEFALMIN COMP.X10,SANITAS S.A.,$2.199,20%,$1.759
356,ESCITALOPRAM,ESC (BE) 10mg COM.X30,EUROFARMA CHILE S.A.,$13.899,51%,$6.811
357,ESCITALOPRAM,ESC(BE) 20mg COM.X30,EUROFARMA CHILE S.A.,$18.999,43%,$10.829
358,ESCITALOPRAM,(B) ESCITALOPRAM 10mg COMP.X30,LABORATORIO CHILE,$10.299,30%,$7.209
359,ESCITALOPRAM,ECITALEX FT 10mg COMP.X30,ANDROMACO FARMA,$11.999,30%,$8.399
360,ESCITALOPRAM,ECTIBAN 10MG 30CR,LABORATORIO CHILE,$15.999,33%,$10.719
361,ESCITALOPRAM,(B) ECTIBAN 20mg COMP.X30,LABORATORIO CHILE,$39.999,35%,$25.999
362,ESCITALOPRAM,IPRAN (B) 10mg X30COM.REC.,RECALCINE,$27.499,35%,$17.874
363,ESCITALOPRAM,IPRAN (B) 20mg X30COM.REC.,RECALCINE,$48.999,35%,$31.849
364,ESCITALOPRAM,LEXAPRO (R) 10mg X28COM.REC.,LUNDBECK,$41.099,13%,$35.756
365,ESCITALOPRAM,LEXAPRO (R) 15mg X28COM.REC.,LUNDBECK,$65.399,20%,$52.319
366,ESCITALOPRAM,LEXAPRO (R) 20mg X28COM.REC.,LUNDBECK,$62.199,17%,$51.625
367,ESCITALOPRAM,REPOSIL 10mg. 30 Comprimidos Rec.,MEDIPHARM,$15.999,58%,$6.720
368,ESOMEPRAZOL,(R) NEXIUM 20mg COMP.X28,ASTRA ZENECA DE CHILE LTDA.,$27.399,20%,$21.919
369,ESOMEPRAZOL,EMEZOL 40mg CAPS.X30,ANDROMACO FARMA,$26.099,30%,$18.269
370,ESOMEPRAZOL,ESOMEPRAZOL (B) 20mg 30COM.REC,OPKO,$5.399,30%,$3.779
371,ESOMEPRAZOL,ESOMEPRAZOL (B) 40mg CAP.X30,OPKO,$4.999,30%,$3.499
372,ESPIRONOLACTONA,ESPIRONOLACTONA 25mg X20COM.,ANDROMACO FARMA,$2.099,75%,$525
373,ESTRADIOL,CYCLOBIOL 1mg COMP.X30,SILESIA,$10.699,20%,$8.559
374,ESTRADIOL,GINODERM 0.06% GEL X80g,RECALCINE,$25.799,68%,$8.256
375,ESTRADIOL,HORMOGEL PUMP 0.1% GEL TRANS. 35g,SILESIA,$16.299,22%,$12.713
376,ESTRADIOL,PRIMAQUIN 1mg X30COM.REC.,RECALCINE,$15.999,25%,$11.999
377,ESTRADIOL,PRIMAQUIN 2mg X30COM.REC.,RECALCINE,$17.999,51%,$8.820
378,ESTRADIOL + DROSPIRENONA,CLINOMAT X30COM.REC.,RECALCINE,$22.499,25%,$16.874
379,ESTRIOL,VACIDOX 0.5mg X15OV.,RECALCINE,$27.299,25%,$20.474
380,ESZOPICLONA,ESZOP 3 MG 30 COMP. REC,SILESIA,$20.599,40%,$12.359
381,ESZOPICLONA,NOPTIC 2MGx30COMPR.,ANDROMACO FARMA,$10.699,40%,$6.419
382,ESZOPICLONA,NOPTIC 3MGx30COMPR.,ANDROMACO FARMA,$13.399,32%,$9.111
383,ESZOPICLONA,PLESSIR 3mg. 30 Comprimidos Rec.,MEDIPHARM,$8.999,25%,$6.749
384,ESZOPICLONA,VALNOC 2mg X30COM.REC.,RECALCINE,$9.499,17%,$7.884
385,ESZOPICLONA,VALNOC 3mg X30COM.REC.,RECALCINE,$11.999,25%,$8.999
386,ESZOPICLONA,ZOPINOM 3 MG 30 CR,LABORATORIO CHILE,$6.399,33%,$4.287
387,ESZOPICLONA,NOVO INSOMNIUM 2mg X30COM.REC.,GADORPHARMA SPA,$10.999,25%,$8.249
388,ESZOPICLONA,NOVO INSOMNIUM 3mg X30COM.REC.,GADORPHARMA SPA,$11.799,25%,$8.849
389,ETINILESTRADIOL + CLORMADINONA,SERENATA 20 X28COM.REC,SILESIA,$20.499,50%,$10.250
390,ETINILESTRADIOL + CLORMADINONA,VIORA CD (B) X28COM.REC.,EXELTIS CHILE,$16.499,20%,$13.199
391,ETINILESTRADIOL + DIENOGEST,ACOTOL X28COM.REC.,RECALCINE,$15.399,25%,$11.549
392,ETINILESTRADIOL + DIENOGEST,DANIELE (B) X28COM.REC,EXELTIS CHILE,$12.499,20%,$9.999
393,ETINILESTRADIOL + DIENOGEST,TINELLE X28COM.REC.,SILESIA,$16.499,50%,$8.250
394,ETINILESTRADIOL + DROSPIRENONA,FEMELLE 20 X28COM.REC.,RECALCINE,$16.099,25%,$12.074
395,ETINILESTRADIOL + DROSPIRENONA,FEMELLE X28COM.REC.,RECALCINE,$17.799,78%,$3.916
396,ETINILESTRADIOL + DROSPIRENONA,LADEE (B) X28COM.REC.,EXELTIS CHILE,$15.299,20%,$12.239
397,ETINILESTRADIOL + GESTODENO,CICLOMEX 15 X28COM.REC.,RECALCINE,$13.999,25%,$10.499
398,ETINILESTRADIOL + GESTODENO,CICLOMEX 20 CD X28COM.REC.,RECALCINE,$13.399,25%,$10.049
399,ETINILESTRADIOL + GESTODENO,CICLOMEX 20 X21COM.REC.,RECALCINE,$14.499,20%,$11.599
400,ETINILESTRADIOL + GESTODENO,CICLOMEX CD X28COM.REC.,RECALCINE,$15.499,25%,$11.624
401,ETINILESTRADIOL + GESTODENO,MICROGEN 20 CD X28 COM.REC.,SILESIA,$12.599,50%,$6.300
402,FAMOTIDINA,FAMOTIDINA 40mg X10COM.,LABORATORIO CHILE,$999,70%,$300
403,FENOBARBITAL,FENOBARBITAL 100mg X10COM.,BPH S.A,$7.999,21%,$6.319
404,FENOFIBRATO DE COLINA,TRILIPIX 135mg X30CAP.PROL.,ABBOTT FARMA,$22.499,17%,$18.674
405,FENOTEROL + IPRATROPIO BROMURO,BERODUAL SOL.NEBULIZAR X20ml,BOEHRINGER INGELHEIM,$26.599,38%,$16.491
406,FIERRO (HIDROXIDO FERRICO - SACAROSA),CHELTIN 100mg/5ml X1AMP.,PHARMA INVESTI,$22.099,16%,$18.563
407,FIERRO GLUCONATO SODICO + AC. FOLICO,CHELTIN FC X30COM.REC.,PHARMA INVESTI,$16.299,20%,$13.039
408,FIERRO PIROFOSFATO + ACIDO FOLICO,HEMOFOLIC 30CAP.,EXELTIS CHILE,$16.999,20%,$13.599
409,FIERRO POLIMALTOS + AC. FOLICO + VIT B12,MALTOFER FOL PLUS COMP.X30,ANDROMACO FARMA,$23.399,30%,$16.379
410,FIERRO SULFATO,FERRIGOT 25mg/ml GTAS.X30ml,PASTEUR,$6.199,88%,$744
411,FIERRO SULFATO,SULFATO FERROSO 200mg X20COM.,LABORATORIO CHILE,$1.799,67%,$594
412,FINASTERIDE BAJAS DOSIS,APEPLUS (B) 1mg X30COM.,RECALCINE,$26.499,35%,$17.224
413,FINASTERIDE BAJAS DOSIS,APEPLUS (B) 1mg X90COM.,RECALCINE,$78.999,25%,$59.249
414,FINASTERIDE BAJAS DOSIS,FOLIPIL (B) 1mg X30COM.REC.,PHARMA INVESTI,$20.499,35%,$13.324
415,FLUCLOXACILINA,FLUCLOXACILINA 250mg/5ml S.O.X60ml,ANDROMACO FARMA,$4.899,56%,$2.156
416,FLUCONAZOL,FLUCONAZOL 150mg X4CAP.,LABORATORIO CHILE,$7.099,62%,$2.698
417,FLUCONAZOL,FLUCTIN (B) 150mg X4CAP.,RECALCINE,$22.899,91%,$2.061
418,FLUOXETINA,FLUOXETINA (B) 20mg X20COM.,LABORATORIO CHILE,$1.499,70%,$450
419,FLUOXETINA,SOSTAC 20MG 30C,LABORATORIO CHILE,$15.999,35%,$10.399
420,FLUOXETINA,SOSTAC 20MG 60C,LABORATORIO CHILE,$17.999,29%,$12.779
421,FLUTICASONA,BREXOVENT LF 125mcg INH.X120DS.,ETEX FARMACEUTICA LTDA.,$27.499,70%,$8.250
422,FLUTICASONA,FLIXOTIDE LF 125mcg INH.X120DS.,GLAXO,$50.499,63%,$18.685
423,FLUTICASONA,FLUSONA 125mcg INH.X120DS.,RECALCINE,$29.999,83%,$5.100
424,FLUTICASONA NASAL,"ALENYS 27,5mcg SUSP.NAS.X120DS.",ETEX FARMACEUTICA LTDA.,$18.499,63%,$6.845
425,FLUTICASONA NASAL,FLIXONASE 50mcg INH.X120DS.,GLAXO,$40.799,92%,$3.264
426,FLUTICASONA NASAL,NEBULEX 50mcg SOL.NAS.X120DS.,LABORATORIO CHILE,$17.899,41%,$10.560
427,FLUVOXAMINA,LUVOX 100mg X30COM.,ABBOTT FARMA,$43.999,51%,$21.560
428,FROVATRIPTAN,DOLIPRAN 2.5mg X6COM.,RECALCINE,$11.999,25%,$8.999
429,FUROSEMIDA,FUROSEMIDA (B) 40mg X12COM.,LABORATORIO CHILE,$1.299,70%,$390
430,GABA + GABOB + ACETILGUTAMINA + VIT.B6,MEMOREX X60CAP.,RECALCINE,$32.999,65%,$11.550
431,GABA + GABOB + BGM + VIT.B6,GAMALATE B6 30GRAG,ANDROMACO FARMA,$23.399,31%,$16.145
432,GABA + GABOB + BGM + VIT.B6,GAMALATE B6 60GRAG.,ANDROMACO FARMA,$35.699,40%,$21.419
433,GABA + GABOB + BGM + VIT.B6,GAMALATE B6 JBE.80ML.,ANDROMACO FARMA,$28.199,45%,$15.509
434,GEMFIBROZILO,GEMFIBROZILO (B) 300mg X30COM.REC.,LABORATORIO CHILE,$4.199,43%,$2.393
435,GEMFIBROZILO,GEMFIBROZILO 600mg X20COM.,LABORATORIO CHILE,$4.599,64%,$1.656
436,GENTAMICINA OFTALMICA COLIRIO,GENTAMICINA 0.3% SOF.X5ml,OPKO,$2.699,70%,$810
437,GENTAMICINA OFTALMICA UNGUENTO,GENTAMICINA 0.3% UNG.OF.X3.5g,ETHON PHARMACEUTICALS SPA,$6.699,49%,$3.416
438,GENTAMICINA SISTEMICA,GENTAMICINA 80mg X5AMP.,BIOSANO,$3.499,38%,$2.169
439,GINKGO BILOBA,GINKGO MAX 80mg X120CAP.,GARDEN HOUSE,$15.399,25%,$11.549
440,GINKGO BILOBA,GINKGO MAX 80mg X30CAP.,GARDEN HOUSE,$5.999,25%,$4.499
441,GINSENG + GINKGO,MENTANIA X30CAP.BLANDAS,SAVAL S.A.,$13.699,11%,$12.192
442,GLIBENCLAMIDA,GLIBENCLAMIDA (B) 5mg X60COM.,LABORATORIO CHILE,$1.199,83%,$204
443,GLUCOSA + SODIO + POTASIO + CLORURO + CI,SALES DE REHIDRATACION 60 X8SOB.,OPKO,$6.999,65%,$2.450
444,GLUCOSA + SODIO + POTASIO + CLORURO + CI,SALES DE REHIDRATACION 90 X4SOB.,OPKO,$6.999,67%,$2.310
445,GLUCOSA INYECTABLE,GLUCOSA 5% X500ml,HOSPIFARMA,$1.699,50%,$850
446,GLUCOSAMINA + CONDROITINA,ARTRIDOL DUO FTE.SOB.X30,LABORATORIO CHILE,$35.499,34%,$23.429
447,GLUCOSAMINA + CONDROITINA,ARTRIDOL DUO X60CAP.BLANDAS,LABORATORIO CHILE,$19.299,35%,$12.544
448,GLUCOSAMINA + CONDROITINA,HIPERFLEX UD 4.7g X35SOB.,RECALCINE,$42.699,53%,$20.069
449,GLUCOSAMINA + CONDROITINA,FINARTRIT COMP.X60,GARDEN HOUSE,$14.599,25%,$10.949
450,GLUCOSAMINA KCL + CONDROITINA SULFATO,HIPERFLEX K FTE.X60COM.,RECALCINE,$32.499,25%,$24.374
451,GOSERELINA,ZOLADEX 10.8mg X1IMPLANTE,ASTRA ZENECA DE CHILE LTDA.,$276.099,52%,$132.528
452,HALOPERIDOL,HALOPERIDOL 1mg X30COM.,SYNTHON,$4.999,48%,$2.599
453,HALOPERIDOL,HALOPERIDOL 5mg X20COM.,SYNTHON,$6.999,49%,$3.569
454,HEDERA HELIX,ABRILAR 35mg/5ml JBE.X100ml,PHARMA INVESTI,$4.499,81%,$855
455,HEDERA HELIX,AEROMED JARABE 100 ml.,MEDIPHARM,$4.099,25%,$3.074
456,HEDERA HELIX,HIEDRIX 35mg/5ml JBE.X100ml,LABORATORIO CHILE,$3.899,70%,$1.170
457,HEPARINA,FRAGMIN 10000UI/4ml X1JP.,PFIZER,$12.499,60%,$5.000
458,HEPARINA,FRAGMIN 2500UI/0.2ml XJP.,PFIZER,$8.599,83%,$1.462
459,HIDROCLOROTIAZIDA,HIDROCLOROTIAZIDA (B) 50mg X20COM.,LABORATORIO CHILE,$1.699,65%,$595
460,HIDROCLOROTIAZIDA + TRIAMTERENO,UREN 24C,LABORATORIO CHILE,$4.699,35%,$3.054
461,HIDROCORTISONA,HIDROCORTISONA 20mg X20COM.,LABORATORIO CHILE,$6.099,51%,$2.989
462,HIDROCORTISONA DERMICA,PROCTORAN CR.30g,FAES FARMA CHILE,$12.799,27%,$9.343
463,HIDROCORTISONA DERMICA,PANDEL CR.15g,ANDROMACO FARMA,$23.499,30%,$16.449
464,HIDROCORTISONA SUCCINATO SODICO,SOLU CORTEF 100mg X1F-A,PFIZER,$11.899,55%,$5.355
465,HIDROXICARBAMIDA,HIDROXICARBAMIDA 500mg X100COM.,BPH S.A,$70.899,57%,$30.487
466,HIDROXICLOROQUINA,"PLAQUINOL (R) 200mg X30TAB,",AVENTIS,$48.899,76%,$11.736
467,HORMONA FOLICULO ESTIMULANTE,GONAL F INYECTOR 300UI/0.75ml X1F-A,MERCK SA CHILE,$169.199,28%,$121.823
468,IBANDRONATO + CALCIO + VIT D,IBAMES CD CAPS.X30,ANDROMACO FARMA,$29.399,30%,$20.579
