,Laboratorio,Descripción Medicamento,Descuento,Precio referencial sin convenio 03/07/2018,Precio referencial redondeado El Botiquín 03/07/2018
290,MEDIPHARM,CLODAVAN CREMA x 30 grs.,25%,$ 7.999,$ 5.999
291,MEDIPHARM,CLODAVAN LOCION CAPILAR 30 ml.,25%,$ 8.999,$ 6.749
292,MEDIPHARM,CLOTRIMIN SOLUCION TOPICA 20 ml.,25%,$ 4.799,$ 3.599
293,MEDIPHARM,CLOTRIMIN-B CREMA x 15 grs.,25%,$ 8.999,$ 6.749
294,MEDIPHARM,CORTIGRIP DIA/NOCHE x 15 comprimidos,25%,$ 3.399,$ 2.549
295,MEDIPHARM,CORTIGRIP x 10 comprimidos,25%,$ 3.599,$ 2.699
296,MEDIPHARM,DEUCOALER 30 comprimidos,25%,$ 5.999,$ 4.499
297,MEDIPHARM,DEUCODOL SUSPENSION x 120 ml,40%,$ 3.999,$ 2.399
298,MEDIPHARM,DIRTOP 100 mg. x 5 comprimidos Rec.,34%,$ 11.899,$ 7.853
299,MEDIPHARM,DIRTOP 50 mg. x 1 comprimido BE,15%,$ 1.399,$ 1.189
300,MEDIPHARM,DIRTOP 50 mg. x 10 comprimidos BE,59%,$ 11.799,$ 4.838
301,MEDIPHARM,DIRTOP 50 mg. x 20 comprimidos Rec. BE,58%,$ 13.199,$ 5.544
302,MEDIPHARM,DIRTOP 50 mg. x 5 comprimidos,65%,$ 5.990,$ 2.097
303,MEDIPHARM,DOFITEX 5mg. 30 comprimidos Rec.,25%,$ 8.199,$ 6.149
304,MEDIPHARM,DONEGAL 10 Mg (I) B/E X 30 COM.REC.,38%,$ 5.599,$ 3.471
305,MEDIPHARM,FINDALER 10 mg B/E -I- x 30 COMPRIMIDOS RECUBIERTOS,62%,$ 5.999,$ 2.280
306,MEDIPHARM,FINDALER-D x 20 cápsulas,25%,$ 9.999,$ 7.499
307,MEDIPHARM,FINDER SH. X 100ML,25%,$ 11.999,$ 8.999
308,MEDIPHARM,GASTRODINE 20 mg. x 28 comprimidos,25%,$ 15.299,$ 11.474
309,MEDIPHARM,GESIDOL 500 MG BE X 24 COMPRIMIDOS,29%,$ 1.943,$ 1.380
310,MEDIPHARM,GESIPROCT X 30 GR.,25%,$ 10.399,$ 7.799
311,MEDIPHARM,GLIDANIL 500mg. BE x 30 compr.,46%,$ 2.999,$ 1.619
312,MEDIPHARM,GLIDANIL 850 MG. 30 comprimidos (BE),60%,$ 3.899,$ 1.560
313,MEDIPHARM,LANGASTROL 30mg. 30 Capsulas,25%,$ 9.099,$ 6.824
314,MEDIPHARM,LIRACOL x 20 comprimidos,25%,$ 3.799,$ 2.849
315,MEDIPHARM,"LOSOPIL 7,5 mg. x 30 comprimidos",25%,$ 5.099,$ 3.824
316,MEDIPHARM,LUVAT 100mg. 30 comprimidos,25%,$ 18.999,$ 14.249
317,MEDIPHARM,MEDAZOL GEL 30 grs.,25%,$ 7.399,$ 5.549
318,MEDIPHARM,MEDITOINA 135 mg. x 30 comprimidos,25%,$ 13.599,$ 10.199
319,MEDIPHARM,NUMOSOL ADULTO JARABE x 100 ml,25%,$ 4.499,$ 3.374
320,MEDIPHARM,OFF-TEN 25mg. x 30 comprimidos,25%,$ 10.499,$ 7.874
321,MEDIPHARM,PAZBRONQ ADULTO JARABE X 100 ML.,42%,$ 3.999,$ 2.319
322,MEDIPHARM,PEMAR x 10 comprimidos,25%,$ 1.299,$ 974
323,MEDIPHARM,PIROFLAM 100 mg. 10 cápsulas L.P.,25%,$ 4.499,$ 3.374
324,MEDIPHARM,PIROFLAM 50 mg. x 5 Suposiorio Adulto,25%,$ 3.899,$ 2.924
325,MEDIPHARM,PIROFLAM GEL x 30 grs.,25%,$ 4.299,$ 3.224
326,MEDIPHARM,PLESSIR 3mg. 30 Comprimidos Rec.,25%,$ 8.899,$ 6.674
327,MEDIPHARM,PLU-TOS JARABE 100 ML,25%,$ 4.599,$ 3.449
328,MEDIPHARM,PROCION 20 mg. x 20 comprimidos,25%,$ 7.199,$ 5.399
329,MEDIPHARM,PROCION 20 mg/5ml SUSPENSION 60 ml.,25%,$ 7.099,$ 5.324
330,MEDIPHARM,RADIGEN 1 mg. FRASCO 30 ml.,25%,$ 14.799,$ 11.099
331,MEDIPHARM,REPOSIL 10mg. 30 Comprimidos Rec.,58%,$ 15.799,$ 6.636
332,MEDIPHARM,SALVACOLL 2MG X 6 COMPRIMIDOS,70%,$ 2.799,$ 840
333,MEDIPHARM,SENTIDOL 50 mg. x 30 comprimidos,25%,$ 14.899,$ 11.174
334,MEDIPHARM,SENTIDOL 75 mg. x 30 comprimidos,25%,$ 16.699,$ 12.524
335,MEDIPHARM,SENTIDOL 75 mg. x 30 comprimidos L.P.,25%,$ 18.499,$ 13.874
336,MEDIPHARM,TENSIVEL-D Comprimidos Rec.,25%,$ 15.099,$ 11.324
337,MEDIPHARM,VESNIDAN x 30 comprimidos,25%,$ 15.099,$ 11.324
338,MEDIPHARM,VESNIDAN x 60 comprimidos,25%,$ 25.299,$ 18.974
339,MEDIPHARM,VIPLAN FORTE GOTAS x 15 ml,25%,$ 4.899,$ 3.674
340,MEDIPHARM,VIPLAN GOTAS x 20 ml.,25%,$ 6.099,$ 4.574
341,MEDIPHARM,VITABRAL 30 capsulas,25%,$ 10.299,$ 7.724
342,MEDIPHARM,VITABRAL X 60 CAPSULAS BLANDAS,25%,$ 19.988,$ 14.991
343,MEDIPHARM,ZALEDOR 100mg. GOTAS 10 ml.,67%,$ 8.999,$ 2.970
344,MEDIPHARM,ZALEDOR XR 100mg. 10 comprimidos,25%,$ 22.299,$ 16.724
345,MEDIPHARM,ZALEDOR XR 50mg. 20 comprimidos,25%,$ 14.999,$ 11.249
346,MEDIPHARM,ZALEDOR-P 30 Comprimidos Rec.,68%,$ 11.299,$ 3.616
347,LABORATORIO CHILE,ALFADOXIN 4MG 30C,35%,$ 11.099,$ 7.214
348,LABORATORIO CHILE,AMPLEX 10 MG/ 160 MG 30 CR,35%,$ 25.499,$ 16.574
349,LABORATORIO CHILE,AMPLEX 5 MG/ 160 MG 30 CR,35%,$ 26.599,$ 17.289
350,LABORATORIO CHILE,AMPLEX 5 MG/ 80 MG 30 CR,35%,$ 21.699,$ 14.104
351,LABORATORIO CHILE,DOOX 5 MG 30 COMP,35%,$ 19.999,$ 12.999
352,LABORATORIO CHILE,GRIFODILZEM 60MG 60C,35%,$ 17.999,$ 11.699
353,LABORATORIO CHILE,HIPOGLUCIN 1000 LP 30 C,35%,$ 16.499,$ 10.724
354,LABORATORIO CHILE,HIPOGLUCIN 1000 LP 60 C,35%,$ 25.999,$ 16.899
355,LABORATORIO CHILE,HIPOGLUCIN 1GR 30C,35%,$ 16.299,$ 10.594
356,LABORATORIO CHILE,HIPOGLUCIN 500 MG 30 C LP,35%,$ 7.499,$ 4.874
357,LABORATORIO CHILE,HIPOGLUCIN 500 MG 60 C LP,35%,$ 13.399,$ 8.709
358,LABORATORIO CHILE,HIPOGLUCIN 750 LP 30 C,35%,$ 12.399,$ 8.059
359,LABORATORIO CHILE,HIPOGLUCIN 750 LP 60 C,35%,$ 23.499,$ 15.274
360,LABORATORIO CHILE,HIPOGLUCIN 850MG 30CR,35%,$ 7.499,$ 4.874
361,LABORATORIO CHILE,HIPOGLUCIN 850MG 60 CR,35%,$ 15.699,$ 10.204
362,LABORATORIO CHILE,HIPOGLUCIN DA 500MG/2.5MG 30C,35%,$ 8.499,$ 5.524
363,LABORATORIO CHILE,HIPOGLUCIN DA 500MG/5MG 30C,35%,$ 9.599,$ 6.239
364,LABORATORIO CHILE,LIPOX 10 MG 30 CR Z BE,35%,$ 10.399,$ 6.759
365,LABORATORIO CHILE,LIPOX 20 MG 30 CR Z BE,35%,$ 20.199,$ 13.129
366,LABORATORIO CHILE,LIPOX 40 MG 30 CR Z BE,35%,$ 33.999,$ 22.099
367,LABORATORIO CHILE,LIPOX 80 MG 30 CR Z BE,35%,$ 35.799,$ 23.269
368,LABORATORIO CHILE,LODIPRES 12.5MG 30C,35%,$ 18.099,$ 11.764
369,LABORATORIO CHILE,LODIPRES 25MG 30C,35%,$ 17.099,$ 11.114
370,LABORATORIO CHILE,LODIPRES 6.25 MG 30 C,35%,$ 9.999,$ 6.499
371,LABORATORIO CHILE,ROSVEL 10 MG 30 CR,35%,$ 16.899,$ 10.984
372,LABORATORIO CHILE,ROSVEL 10 MG 60 CR,35%,$ 28.499,$ 18.524
373,LABORATORIO CHILE,ROSVEL 20 MG 30 CR,35%,$ 31.199,$ 20.279
374,LABORATORIO CHILE,SIMPERTEN 100MG 30CR,35%,$ 15.999,$ 10.399
375,LABORATORIO CHILE,SIMPERTEN 50MG 30CR,35%,$ 14.799,$ 9.619
376,LABORATORIO CHILE,SIMPERTEN D 100/25 30CR,35%,$ 27.999,$ 18.199
377,LABORATORIO CHILE,SIMPERTEN D 30C AA,35%,$ 23.999,$ 15.599
378,LABORATORIO CHILE,TONOTENSIL 10MG 30C,35%,$ 19.999,$ 12.999
379,LABORATORIO CHILE,TONOTENSIL 20MG 30C,35%,$ 26.799,$ 17.419
380,LABORATORIO CHILE,TONOTENSIL D 30C,35%,$ 20.999,$ 13.649
381,LABORATORIO CHILE,UREN 24C,35%,$ 4.099,$ 2.664
382,LABORATORIO CHILE,UREN 48C,35%,$ 7.399,$ 4.809
383,LABORATORIO CHILE,VALAPLEX 160MG 30CR,35%,$ 16.999,$ 11.049
384,LABORATORIO CHILE,VALAPLEX 320MG 30CR,35%,$ 18.999,$ 12.349
385,LABORATORIO CHILE,VALAPLEX 80MG 30CR,35%,$ 15.999,$ 10.399
386,LABORATORIO CHILE,VALAPLEX D 160/12.5MG 30CR,35%,$ 20.099,$ 13.064
387,LABORATORIO CHILE,VALAPLEX D 80/12.5MG 30CR,35%,$ 16.899,$ 10.984
388,LABORATORIO CHILE,VALAPLEX D FTE 160/25MG 30CR,35%,$ 20.499,$ 13.324
389,LABORATORIO CHILE,ARGIUM 200 MG X 10 CAPSULAS,35%,$ 9.999,$ 6.499
390,LABORATORIO CHILE,ARGIUM 200 MG X 30 CAPSULAS,35%,$ 23.999,$ 15.599
391,LABORATORIO CHILE,GRIFOCLOBAM 10MG 20C,35%,$ 21.099,$ 13.714
392,LABORATORIO CHILE,MORELIN 30CR,35%,$ 17.699,$ 11.504
393,LABORATORIO CHILE,ALIVAX 150 MG 30 CAPSULAS,35%,$ 22.199,$ 14.429
394,LABORATORIO CHILE,ALIVAX 75MG X 30 COMP BE,35%,$ 12.599,$ 8.189
395,LABORATORIO CHILE,ASICOT 100MG 30CR,35%,$ 25.799,$ 16.769
396,LABORATORIO CHILE,ASICOT 200MG 30CR,35%,$ 45.999,$ 29.899
397,LABORATORIO CHILE,ASICOT 25MG 30CR,35%,$ 21.399,$ 13.909
398,LABORATORIO CHILE,AUSENTRON 25MG 30CR,35%,$ 24.199,$ 15.729
399,LABORATORIO CHILE,AUSENTRON 75MG 30C,35%,$ 37.299,$ 24.244
400,LABORATORIO CHILE,ECTIBAN 10MG 30CR,35%,$ 15.299,$ 9.944
401,LABORATORIO CHILE,ECTIBAN 20 MG 30 CR,35%,$ 35.799,$ 23.269
402,LABORATORIO CHILE,ECTIEN XR 150 MG X 30 CAPSULAS,35%,$ 36.999,$ 24.049
403,LABORATORIO CHILE,ECTIEN XR 37.5 MG X 30 CAPSULAS,35%,$ 14.499,$ 9.424
404,LABORATORIO CHILE,ECTIEN XR 75 MG X 30 CAPSULAS,35%,$ 19.999,$ 12.999
405,LABORATORIO CHILE,EMERGEN 100MG 30C,35%,$ 34.999,$ 22.749
406,LABORATORIO CHILE,EMERGEN 50MG 30CR,35%,$ 23.999,$ 15.599
407,LABORATORIO CHILE,GRIFOPARKIN 30C,35%,$ 15.199,$ 9.879
408,LABORATORIO CHILE,INTAXEL 1 MG 30 C,35%,$ 30.999,$ 20.149
409,LABORATORIO CHILE,POSIVYL 20MG 30C,35%,$ 36.699,$ 23.854
410,LABORATORIO CHILE,SINCRIS 5 MG X 30 CR BE,35%,$ 24.299,$ 15.794
411,LABORATORIO CHILE,SOSTAC 20MG 30C,35%,$ 15.999,$ 10.399
412,LABORATORIO CHILE,SOSTAC 20MG 60C,35%,$ 16.899,$ 10.984
413,LABORATORIO CHILE,ZOPINOM 3 MG 30 CR,35%,$ 6.399,$ 4.159
414,PHARMAVITA S.A.,DAKSOL (B) 100mg X28COM.,20%,$ 35.699,$ 28.559
415,PHARMAVITA S.A.,DAKSOL (B) 25mg X28COM.,20%,$ 10.299,$ 8.239
416,PHARMAVITA S.A.,DAKSOL (B) 50mg X28COM.,20%,$ 19.599,$ 15.679
417,PHARMAVITA S.A.,RESTAURAL (B) 10mg X30COM.,20%,$ 18.599,$ 14.879
418,PHARMAVITA S.A.,RESTAURAL (B) 20mg X30COM.,20%,$ 35.299,$ 28.239
419,PHARMAVITA S.A.,RUBIFEN (B) 10mg X30COM.,20%,$ 21.799,$ 17.439
420,PHARMAVITA S.A.,RUBIFEN SR (B) 20mg X30COM.,20%,$ 31.999,$ 25.599
421,PHARMAVITA S.A.,SERONEX (B) 100mg X30COM.REC.,20%,$ 22.099,$ 17.679
422,PHARMAVITA S.A.,SERONEX (B) 50mg X30COM.REC.,20%,$ 17.199,$ 13.759
423,PHARMAVITA S.A.,SUBELAN XR (B) 150mg X30CAP.PROL.,20%,$ 44.999,$ 35.999
424,PHARMAVITA S.A.,SUBELAN XR (B) 37.5mg X30CAP.PROL.,20%,$ 26.099,$ 20.879
425,PHARMAVITA S.A.,SUBELAN XR (B) 75mg X30CAP.PROL.,20%,$ 30.999,$ 24.799
426,PHARMAVITA S.A.,UPTOYOU (B) 10mg X30COM.REC.,20%,$ 19.999,$ 15.999
427,EXELTIS CHILE,DANIELE (B) X28COM.REC,20%,$ 11.699,$ 9.359
428,EXELTIS CHILE,CERCIORA T (B) 0.75mg X2COM.,20%,$ 13.699,$ 10.959
429,EXELTIS CHILE,LADEE 20 (B) X28COM.REC.,20%,$ 14.799,$ 11.839
430,EXELTIS CHILE,LADEE (B) X28COM.REC.,20%,$ 14.899,$ 11.919
431,EXELTIS CHILE,VIORA 20 X28COM.REC.,20%,$ 14.099,$ 11.279
432,EXELTIS CHILE,VIORA (B) X21COM.REC.,20%,$ 15.799,$ 12.639
433,EXELTIS CHILE,VIORA CD (B) X28COM.REC.,20%,$ 15.999,$ 12.799
434,EXELTIS CHILE,DALGIET (B) X28COM.,20%,$ 17.399,$ 13.919
435,EXELTIS CHILE,GESTEL 200mg X30CAP.BLANDAS,20%,$ 20.999,$ 16.799
436,EXELTIS CHILE,GESTEL 100mg X30CAP.BLANDAS,20%,$ 17.499,$ 13.999
437,ANDROMACO FARMA,DEATEN 40MG. FCO. 30 COMP.,40%,$ 51.999,$ 31.199
438,ANDROMACO FARMA,DEATEN 80MG. CAJA 15 COMP.,40%,$ 41.599,$ 24.959
439,ANDROMACO FARMA,ELEMIGROL 40MG. CAJA 4COMP. REC.,40%,$ 16.799,$ 10.079
440,SILESIA,ESZOP 3 MG 30 COMP. REC,40%,$ 17.799,$ 10.679
441,ANDROMACO FARMA,EVIMAL 10 MG x 30 COMP,40%,$ 72.099,$ 43.259
442,ANDROMACO FARMA,GAMALATE B6 30GRAG,40%,$ 20.599,$ 12.359
443,ANDROMACO FARMA,GAMALATE B6 60GRAG.,40%,$ 33.299,$ 19.979
444,ANDROMACO FARMA,GAMALATE B6 JBE.80ML.,40%,$ 24.999,$ 14.999
445,ANDROMACO FARMA,METRANS XR 20MG. CAJA 30 COMP.REC. LP,40%,$ 35.699,$ 21.419
446,ANDROMACO FARMA,MONDRIAN 150MG X 30,40%,$ 24.199,$ 14.519
447,ANDROMACO FARMA,NEUROPRON FT 20mg COM.X30,40%,$ 50.999,$ 30.599
448,ANDROMACO FARMA,NITEXOL 30MG/30COMP.,40%,$ 13.599,$ 8.159
449,ANDROMACO FARMA,NITEXOL 60MG/30COMP.,40%,$ 17.499,$ 10.499
450,ANDROMACO FARMA,NOPTIC 2MGx30COMPR.,40%,$ 9.899,$ 5.939
451,ANDROMACO FARMA,NOPTIC 3MGx30COMPR.,40%,$ 11.699,$ 7.019
452,ANDROMACO FARMA,NORSIC 100MGX30COMP.REC,40%,$ 55.099,$ 33.059
453,ANDROMACO FARMA,NORSIC 25MG.30COMP.,40%,$ 25.799,$ 15.479
454,ANDROMACO FARMA,PREGALEX 150MG/30COMP,40%,$ 37.899,$ 22.739
455,ANDROMACO FARMA,PREGALEX 75MG/30COMP.,40%,$ 19.899,$ 11.939
456,SILESIA,RIZE.10MG.30CP.,40%,$ 22.299,$ 13.379
457,SILESIA,RIZE.5MG.30CP.,40%,$ 15.699,$ 9.419
458,ANDROMACO FARMA,SERTAC 100MG.30COMP.RC.,40%,$ 22.999,$ 13.799
459,ANDROMACO FARMA,SERTAC 50MG.30COMP.REC.,40%,$ 19.499,$ 11.699
460,ANDROMACO FARMA,SPIRON 1MG.30COMP.,40%,$ 28.899,$ 17.339
461,ANDROMACO FARMA,SPIRON 2MG.30COMP.,40%,$ 38.599,$ 23.159
462,ANDROMACO FARMA,SPIRON 3MG.30COMP.,40%,$ 31.699,$ 19.019
463,ANDROMACO FARMA,SPIRON FT 3MG. 30COMP.TRISECTADOS,40%,$ 31.599,$ 18.959
464,ANDROMACO FARMA,TRADOX 100MG.30COMP.,40%,$ 33.999,$ 20.399
465,ANDROMACO FARMA,TRADOX 25MG.30COMP.,40%,$ 21.199,$ 12.719
466,ANDROMACO FARMA,TRADOX 50MG.30COMP.,40%,$ 26.799,$ 16.079
467,ANDROMACO FARMA,TRADOX FT 200MG/30COMP.,40%,$ 67.899,$ 40.739
468,ANDROMACO FARMA,TRAVIATA 20MG.30.COMP.,40%,$ 40.599,$ 24.359
469,GRUNENTHAL,MICROSER COMP.16MG.X30 VTA,40%,$ 40.999,$ 24.599
470,GRUNENTHAL,MICROSER COMP.24MG.X30 VTA (BE),40%,$ 40.199,$ 24.119
471,GRUNENTHAL,MICROSER COMP.8MG.X30 VTA,40%,$ 35.399,$ 21.239
472,GRUNENTHAL,MICROSER COMP.8MG.X60 VTA,40%,$ 42.099,$ 25.259
473,ANDROMACO FARMA,ARILEX FT TRISECTADO X 30,40%,$ 62.599,$ 37.559
474,ANDROMACO FARMA,ARVIGIL 200 MG X 30 COM,40%,$ 32.999,$ 19.799
475,GRUNENTHAL,ZALDIAR X20COM.REC.,50%,$ 21.999,$ 11.000
476,GRUNENTHAL,TRAMAL 100mg/ml GTAS.X10ml,50%,$ 19.999,$ 10.000
477,ANDROMACO FARMA,COXDOS (B) 200mg X10CAP.,20%,$ 12.399,$ 9.919
478,ANDROMACO FARMA,DEZARTAL (B) 30mg X20COM.,50%,$ 62.199,$ 31.100
479,ANDROMACO FARMA,MINIGEST X21COM.REC.,50%,$ 10.899,$ 5.450
480,ANDROMACO FARMA,MINIESTREL X21COM.REC.,50%,$ 12.999,$ 6.500
481,SILESIA,TINELLE X28COM.REC.,50%,$ 15.099,$ 7.550
482,SILESIA,ANULETTE 20 CD X28COM.,50%,$ 11.899,$ 5.950
483,SILESIA,CAREZA X28COM.REC.,50%,$ 17.699,$ 8.850
484,SILESIA,MIDALET 20 X21COM.REC.,50%,$ 14.799,$ 7.400
485,SILESIA,NEOLETTE X28COM.REC.,50%,$ 15.599,$ 7.800
486,SILESIA,MICROGEN X21COM.REC.,50%,$ 15.899,$ 7.950
487,SILESIA,ANULETTE CD X28COM.,50%,$ 6.399,$ 3.200
488,SILESIA,POEM 2.5mg X28COM.,50%,$ 17.499,$ 8.750
489,SILESIA,MICROGEN 20 CD X28 COM.REC.,50%,$ 11.699,$ 5.850
490,SILESIA,SERENATA 20 X28COM.REC,50%,$ 18.999,$ 9.500
491,ANDROMACO FARMA,LACTAFEM 75mcg X28COM.REC.,50%,$ 15.299,$ 7.650
492,LABORATORIO CHILE,MADOZIDE (B) 200/50 X30COM.,35%,$ 17.099,$ 11.114
493,LABORATORIO CHILE,ARTRIDOL DUO X60CAP.BLANDAS,35%,$ 18.199,$ 11.829
494,LABORATORIO CHILE,TRITTICO AC 150mg X20COM.PROL.,35%,$ 47.399,$ 30.809
495,LABORATORIO CHILE,TRITTICO 100mg X20COM.,35%,$ 30.399,$ 19.759
496,LABORATORIO CHILE,TRITTICO 25mg X20CAP.,35%,$ 21.999,$ 14.299
497,LABORATORIO CHILE,ALIVAX (B) 75mg X30CAP.,35%,$ 13.099,$ 8.514
498,LABORATORIO CHILE,DOPABEN (B) 10mg X30COM.REC.,35%,$ 60.999,$ 39.649
499,LABORATORIO CHILE,EPRAL 40mg X30CAP.,35%,$ 25.699,$ 16.704
500,FERRING,PENTASA 1g X28SUP.,20%,$ 112.999,$ 90.399
501,FERRING,PENTASA 2g X30SOB.,20%,$ 84.899,$ 67.919
502,FERRING,PENTASA 500mg X100COM.,20%,$ 81.499,$ 65.199
503,FERRING,PENTASA 1g X50SOB.,20%,$ 89.399,$ 71.519
504,GARDEN HOUSE,GINKGO MAX 80mg X120CAP.,25%,$ 13.999,$ 10.499
505,GARDEN HOUSE,GINKGO MAX 80mg X30CAP.,25%,$ 5.199,$ 3.899
506,GARDEN HOUSE,FINARTRIT FORTE X60COM.,25%,$ 21.999,$ 16.499
507,GALENICUM HEALTH CHILE SPA,IRBEVITAE (B) 150mg X28COM.REC,20%,$ 22.999,$ 18.399
508,GALENICUM HEALTH CHILE SPA,IRBEVITAE (B) 300mg X28COM.REC,20%,$ 22.999,$ 18.399
509,GALENICUM HEALTH CHILE SPA,VALVITAE PLUS (B) 160/12.5 X28COM.REC.,30%,$ 15.399,$ 10.779
510,GALENICUM HEALTH CHILE SPA,VALVITAE PLUS (B) 160/25 X28COM.REC.,30%,$ 16.499,$ 11.549
511,GALENICUM HEALTH CHILE SPA,VALVITAE PLUS (B) 80/12.5 X28COM.REC.,30%,$ 14.999,$ 10.499
512,JANSSEN,INVOKANA 300mg X30COM.,25%,$ 40.999,$ 30.749
513,JANSSEN,INVOKANA 100mg X30COM.,25%,$ 33.999,$ 25.499
514,ITF (EX LABOMED),SULPILAN 50mg X30CAP.,30%,$ 14.499,$ 10.149
515,MINTLAB,SOLUNA (B) X28COM.,30%,$ 8.999,$ 6.299
516,MINTLAB,SOLUNA E (B) X21COM.,30%,$ 9.299,$ 6.509
517,MINTLAB,LADYGEX 20 (B) COM.X28,30%,$ 9.899,$ 6.929
518,MINTLAB,LADYGEX (B) X28COM.,30%,$ 8.799,$ 6.159
519,MINTLAB,SOLUNA E-20 (B) X21COM.,30%,$ 8.499,$ 5.949
520,PASTEUR,ALDROX 70mg X10COM.REC.,20%,$ 12.599,$ 10.079
521,PASTEUR,IBANOX (B) 150mg X1COM.REC.,20%,$ 21.599,$ 17.279
522,PASTEUR,MANHAE X30CAP.,20%,$ 17.599,$ 14.079
523,PASTEUR,VITDE 800 X30COM.,20%,$ 11.301,$ 9.041
524,PASTEUR,VITDE GTAS.X10ml,20%,$ 15.999,$ 12.799
525,TECNOFARMA LTDA.,EUTEBROL 10mg X30COM.,30%,$ 36.999,$ 25.899
526,TECNOFARMA LTDA.,DIVARIL (B) 30mg X30COM.REC.,30%,$ 40.899,$ 28.629
527,TECNOFARMA LTDA.,TOPICTAL (B) 100mg X28COM.REC.,30%,$ 61.299,$ 42.909
528,TECNOFARMA LTDA.,TOPICTAL 25mg X28COM.REC.,30%,$ 21.499,$ 15.049
529,TECNOFARMA LTDA.,TOPICTAL 50mg X28COM.REC.,30%,$ 37.899,$ 26.529
530,TECNOFARMA LTDA.,EUTEBROL 20mg X30COM.,30%,$ 53.099,$ 37.169
531,TECNOFARMA LTDA.,EUTEBROL 10mg X60COM.REC.,30%,$ 49.999,$ 34.999
532,MERCK SA CHILE,GONAL F 75UI X1AMP.,40%,$ 39.099,$ 23.459
533,MERCK SA CHILE,GONAL F INYECTOR 300UI/0.75ml X1F-A,28%,$ 153.499,$ 110.519
534,MERCK SA CHILE,OVIDREL 250mcg X1F-A,15%,$ 54.999,$ 46.749
535,LUNDBECK,LEXAPRO (R) 15mg X28COM.REC.,20%,$ 55.899,$ 44.719
536,LUNDBECK,LEXAPRO (R) 10mg X14COM.REC.,20%,$ 21.099,$ 16.879
537,LUNDBECK,LEXAPRO (R) 10mg X28COM.REC.,20%,$ 36.999,$ 29.599
538,LUNDBECK,LEXAPRO (R) 20mg X28COM.REC.,20%,$ 54.699,$ 43.759
539,LUNDBECK,EBIXA 20mg X28COM.REC.,25%,$ 87.199,$ 65.399
540,LUNDBECK,EBIXA (R) 10mg X28COM.REC.,25%,$ 63.899,$ 47.924
541,LUNDBECK,EBIXA (R) 10mg X56COM.REC.,25%,$ 90.899,$ 68.174
542,LUNDBECK,BRINTELLIX 10mg X28COM.,5%,$ 48.399,$ 45.979
543,LUNDBECK,BRINTELLIX 10mg X14COM.,5%,$ 23.199,$ 22.039
544,PFIZER,CAPSURE (B) 200mg X10CAP.,20%,$ 13.299,$ 10.639
545,PFIZER,CAPSURE (B) 200mg X30CAP.,20%,$ 25.299,$ 20.239
546,NOVARTIS CHILE S.A.,EXELON (R) 1.5mg X28CAP.,30%,$ 73.499,$ 51.449
547,NOVARTIS CHILE S.A.,EXELON (R) 3mg X28CAP.,30%,$ 70.399,$ 49.279
548,NOVARTIS CHILE S.A.,EXELON (R) 4.5mg X28CAP.,30%,$ 69.399,$ 48.579
549,NOVARTIS CHILE S.A.,EXELON (R) 6mg X28CAP.,30%,$ 69.399,$ 48.579
550,NOVARTIS CHILE S.A.,TAREG (R) 160mg X28COM.REC.,30%,$ 35.399,$ 24.779
551,NOVARTIS CHILE S.A.,TAREG D 80/12.5 X28COM.REC.,30%,$ 41.899,$ 29.329
552,NOVARTIS CHILE S.A.,TAREG D 160/12.5 X28COM.REC.,30%,$ 44.999,$ 31.499
553,NOVARTIS CHILE S.A.,TAREG D 160/25 X28COM.REC.,30%,$ 36.299,$ 25.409
554,NOVARTIS CHILE S.A.,TAREG (R) 160mg X56COM.REC.,30%,$ 56.899,$ 39.829
555,NOVARTIS CHILE S.A.,TAREG (R) 80mg X56COM.REC.,30%,$ 59.099,$ 41.369
556,NOVARTIS CHILE S.A.,TAREG D 80/12.5 X56COM.REC,30%,$ 65.299,$ 45.709
557,NOVARTIS CHILE S.A.,TAREG D 160/12.5 X56COM.REC.,30%,$ 64.199,$ 44.939
558,NOVARTIS CHILE S.A.,TAREG D 160/25 X56COM.REC.,30%,$ 54.899,$ 38.429
559,NOVARTIS CHILE S.A.,TAREG D 320/25 X28COM.REC.,30%,$ 35.099,$ 24.569
560,NOVARTIS CHILE S.A.,TAREG D 320/12.5 X56COM.REC.,30%,$ 56.999,$ 39.899
561,NOVARTIS CHILE S.A.,TAREG D 320/12.5 X28COM.REC.,30%,$ 35.699,$ 24.989
562,NOVARTIS CHILE S.A.,EXFORGE 10/160 X56COM.REC.,20%,$ 61.599,$ 49.279
563,NOVARTIS CHILE S.A.,EXFORGE 5/160 X28COM.REC.,20%,$ 39.799,$ 31.839
564,NOVARTIS CHILE S.A.,EXFORGE 10/160 X28COM.REC.,20%,$ 38.899,$ 31.119
565,NOVARTIS CHILE S.A.,EXFORGE 5/80 X56COM.REC.,20%,$ 56.399,$ 45.119
566,NOVARTIS CHILE S.A.,EXFORGE 10/320 X28COM.REC.,20%,$ 39.099,$ 31.279
567,NOVARTIS CHILE S.A.,EXFORGE 5/320 X28COM.REC.,20%,$ 38.299,$ 30.639
568,NOVARTIS CHILE S.A.,EXFORGE 5/320 X56COM.REC.,20%,$ 58.199,$ 46.559
569,NOVARTIS CHILE S.A.,EXELON 5 X30PCHE.,30%,$ 113.499,$ 79.449
570,NOVARTIS CHILE S.A.,EXELON 10 X30PCHE.,30%,$ 127.699,$ 89.389
