,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio septiembre 2020,Descuento,Precio referencial con convenio septiembre 2020
233,CITALOPRAM,CITALOPRAM (B) 20mg X30COM.REC.,LABORATORIO CHILE,$4.399,43%,$2.507
234,CLARITROMICINA,(B) CLARIMAX 500mg COMP.X14,ANDROMACO FARMA,$25.999,30%,$18.199
235,CLARITROMICINA,(B) CLARIMAX 500mg COMP.X20,ANDROMACO FARMA,$26.499,30%,$18.549
236,CLARITROMICINA,CLARIMAX 125mg 80ml,ANDROMACO FARMA,$11.999,28%,$8.639
237,CLARITROMICINA,CLARIMAX 250mg SOE 80ml,ANDROMACO FARMA,$22.499,82%,$4.050
238,CLARITROMICINA,CLARITROMICINA (B) 500mg X14COM.,ANDROMACO FARMA,$5.399,66%,$1.836
239,CLARITROMICINA,PRECLAR 250mg/5ml S.O.X80ml,LABORATORIO CHILE,$17.699,81%,$3.363
240,CLARITROMICINA,CLATIC 500mg X14COM.REC.,PASTEUR,$16.999,30%,$11.899
241,CLARITROMICINA,CLATIC 125mg/5ml S.O.X80ml,PASTEUR,$12.999,30%,$9.099
242,CLIDINIO BROMURO + CLORDIAZEPOXIDO,LEROGIN X30GRA.,RECALCINE,$22.599,50%,$11.300
243,CLIDINIO BROMURO + CLORDIAZEPOXIDO,LIBRAXIN X30COM.,DEUTSCHE PHARMA S.A.,$17.199,78%,$3.784
244,CLIDINIO BROMURO + CLORDIAZEPOXIDO,TENSOLIV COMP.X30,LABORATORIO CHILE,$12.199,30%,$8.539
245,CLINDAMICINA,DALACIN C 300mg X16CAP.,PFIZER,$43.299,34%,$28.577
246,CLINDAMICINA USO LOCAL,CLUVAX 100mg X3CAP.VAG.,RECALCINE,$13.999,50%,$7.000
247,CLINDAMICINA USO LOCAL,CLUVAX 100mg X7CAP.VAG.,RECALCINE,$23.499,50%,$11.750
248,CLINDAMICINA USO LOCAL,DIVANON 100mg X7OV.,TECNOFARMA LTDA.,$21.699,25%,$16.274
249,CLOBAZAM,GRIFOCLOBAM 10MG 20C,LABORATORIO CHILE,$22.599,35%,$14.689
250,CLOBETASOL,CLODAVAN CREMA x 30 grs.,MEDIPHARM,$7.999,43%,$4.559
251,CLOBETASOL,CLODAVAN LOCION CAPILAR 30 ml.,MEDIPHARM,$8.999,25%,$6.749
252,CLOBUTINOL,CLOVAL 40mg X20COM.,SAVAL S.A.,$12.999,15%,$11.049
253,CLOFEDIANOL + BROMHEXINA,PLU-TOS JARABE 100 ML,MEDIPHARM,$4.599,32%,$3.127
254,CLOFEDIANOL + BROMHEXINA,BRONTAL (B) AD.JBE.X100ml,SANITAS S.A.,$8.499,32%,$5.779
255,CLOMIPRAMINA,ANAFRANIL (R) 25mg X20GRA.,NOVARTIS CHILE S.A.,$26.499,73%,$7.155
256,CLOMIPRAMINA,ANAFRANIL 75mg X20GRA.,NOVARTIS CHILE S.A.,$57.499,81%,$10.925
257,CLONAZEPAM,(R) RAVOTRIL 2mg COMP.X30,ROCHE,$14.999,15%,$12.749
258,CLONAZEPAM,ACEPRAN 2.5mg GTAS.10ml,ANDROMACO FARMA,$13.399,23%,$10.317
259,CLONAZEPAM,CLONAZEPAM (B) 0.5mg X30COM.,LABORATORIO CHILE,$3.599,85%,$540
260,CLONAZEPAM,CLONAZEPAM (B) 2mg X30COM.,LABORATORIO CHILE,$5.599,85%,$840
261,CLONAZEPAM,ROPSIL 0.5 MG X 30 COMPRIMIDOS,MEDIPHARM,$3.199,45%,$1.759
262,CLONAZEPAM,ROPSIL 2 MG X 30 COMPRIMIDOS,MEDIPHARM,$5.999,61%,$2.340
263,CLONAZEPAM,VALPAX (B) 2mg X30COM.,RECALCINE,$16.499,94%,$990
264,CLONAZEPAM,RAVOTRIL 2.5mg/ml GTAS.X10ml,ROCHE,$15.999,30%,$11.199
265,CLONIXINATO DE LISINA,CLONIXINATO LISINA 125mg X10COM.,ByB FARMACEUTICA,$2.499,67%,$825
266,CLONIXINATO DE LISINA,COLMAX 125mg COMP.X10,ANDROMACO FARMA,$3.499,58%,$1.470
267,CLONIXINATO DE LISINA + VITAMINAS B1-B6-B12,NEFERSIL-B COMP.X10,PHARMA INVESTI,$9.999,25%,$7.499
268,CLOPIDROGEL,FLUYET (B) 75mg X30COM.,EXELTIS CHILE,$19.999,79%,$4.200
269,CLOPIDROGEL,(B) CLOPIDOGREL 75mg COMP.X30,LABORATORIO CHILE,$12.999,25%,$9.749
270,CLORANFENICOL + BETAMETASONA + BENZOCAINA + BENCETONIO CLORURO,OTANDROL SOL.OT.5ml,ANDROMACO FARMA,$6.499,20%,$5.199
271,CLORANFENICOL OFTALMICO COLIRIO,CLORANFENICOL 0.5% SOF.X10ml,OPKO,$2.299,67%,$759
272,CLORANFENICOL OFTALMICO UNGUENTO,CLORANFENICOL 1% UNG.OFT.X3.5g,HOSPIFARMA,$3.799,89%,$418
273,CLORFENAMINA,CLORFENAMINA (B) 4mg X20COM.,LABORATORIO CHILE,$799,83%,$136
274,CLORFENAMINA,PRODEL 2mg/5ml JBE.X120ml,PASTEUR,$5.399,83%,$918
275,CLORFENAMINA + PSEUDOEFEDRINA,NASTIFRIN GTAS.X15ml,LABORATORIO CHILE,$8.499,49%,$4.334
276,CLORFENAMINA + PSEUDOEFEDRINA,RINOVEN GOTAS X 15 ML,MEDIPHARM,$3.099,30%,$2.169
277,CLORFENAMINA + PSEUDOEFEDRINA,NASTIZOL (B) GTAS.X15ml,BAGO,$15.799,30%,$11.059
278,CLORHEXIDINA USO DENTAL,CLORHEXIDINA 0.12% SOL.X150ml,RECETARIO,$4.499,51%,$2.205
279,CLORHEXIDINA USO DENTAL,PERIO AID TRATAMIENTO COLU.X150ml,DENTAID S.A.,$6.199,65%,$2.170
280,CLORPROMAZINA,LARGACTIL 100mg X20COM.REC.,AVENTIS,$11.399,74%,$2.964
281,CLOTIAZEPAM,PLANIDEN ODT 10mg X30COM.,RECALCINE,$14.999,54%,$6.900
282,CLOTIAZEPAM,PLANIDEN ODT 5mg X30COM.,RECALCINE,$7.999,39%,$4.879
283,CLOTIAZEPAM,RIZE.10MG.30CP.,SILESIA,$23.699,40%,$14.219
284,CLOTIAZEPAM,RIZE.5MG.30CP.,SILESIA,$16.299,40%,$9.779
285,CLOTRIMAZOL,CLOTRIMAZOL 1% CR.X20g,LABORATORIO CHILE,$1.599,86%,$224
286,CLOTRIMAZOL,CLOTRIMIN CREMA X 20 G,MEDIPHARM,$5.699,54%,$2.622
287,CLOTRIMAZOL,CLOTRIMIN SOLUCION TOPICA 20 ml.,MEDIPHARM,$4.799,52%,$2.304
288,CLOTRIMAZOL,FUNGOS 1% SOL.X20ml,PASTEUR,$5.299,52%,$2.544
289,CLOTRIMAZOL + BETAMETASONA,CLOTRIMIN-B CREMA x 15 grs.,MEDIPHARM,$9.999,70%,$3.000
290,CLOTRIMAZOL OVULOS,ARNELA 500mg OVUL.X2,ANDROMACO FARMA,$20.999,30%,$14.699
291,CLOTRIMAZOL OVULOS,CLOTRIMAZOL 100mg X6OVULO,LABORATORIO CHILE,$2.499,60%,$1.000
292,CLOTRIMAZOL OVULOS,CLOTRIMIN OVULOS VAGINALES X 1 OVULO,MEDIPHARM,$6.499,81%,$1.235
293,CLOXACILINA,CLOXACILINA 500mg X12CAP.,ANDROMACO FARMA,$1.799,55%,$810
294,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,ELITOS ET FTE.JBE.120ml,ANDROMACO FARMA,$16.999,30%,$11.899
295,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,ELITOS ET JBE.120ml,ANDROMACO FARMA,$16.999,30%,$11.899
296,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,EXTOSEN JBE.X100ml,SANITAS S.A.,$6.299,86%,$882
297,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,FLEMEX J.A.T.FTE.JBE.X120ml,RECALCINE,$14.499,25%,$10.874
298,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,FLEMEX JAT JBE.X120ml,RECALCINE,$13.499,25%,$10.124
299,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,DEUCOTOS JBE.X120ml,MEDIPHARM,$10.999,25%,$8.249
300,CODEINA + PSEUDOEFEDRINA + CLORFENAMINA,TUSIGEN (B) JBE.X120ml,BAGO,$16.999,30%,$11.899
301,COLECALCIFEROL,ACUODE 50.000UI PVO.SOL.X2SOB.,RECALCINE,$15.599,33%,$10.451
302,COLECALCIFEROL,DVIDA GTAS.10ml,ANDROMACO FARMA,$17.999,35%,$11.699
303,COLECALCIFEROL,DVIDA MAX PVO.1g,ANDROMACO FARMA,$22.499,42%,$13.049
304,COLECALCIFEROL,VITDE 800 X30COM.,PASTEUR,$12.395,20%,$9.916
305,COLECALCIFEROL,VITDE GTAS.X10ml,PASTEUR,$14.999,20%,$11.999
306,COLECALCIFEROL,INFORVIT D3 800UI X30ML,PRATER,$15.799,35%,$10.269
307,COMPLEJO DE HIERRO POLIMALTOSADO,MALTOFER 100mg BEB.X10,ANDROMACO FARMA,$20.499,25%,$15.374
308,COMPLEJO DE HIERRO POLIMALTOSADO,MALTOFER 50mg GTAS.30ml,ANDROMACO FARMA,$19.499,51%,$9.555
309,COMPLEJO DE HIERRO POLIMALTOSADO,FERIUM 50mg/ml GTAS.X30ml,PASTEUR,$12.599,55%,$5.670
310,COTRIMOXAZOL,COTRIMOXAZOL FTE.X10COM.,ANDROMACO FARMA,$1.299,47%,$688
311,D HIPOGLOS,D HIPOGLOS 100g,ANDROMACO FARMA,$6.899,20%,$5.519
312,D HIPOGLOS,D HIPOGLOS 60g,ANDROMACO FARMA,$5.499,20%,$4.399
313,D HIPOGLOS,D HIPOGLOS EXTREME 60g,ANDROMACO FARMA,$6.299,20%,$5.039
314,DABIGATRAN ETEXILATO,PRADAXA 150mg X30CAP.,BOEHRINGER INGELHEIM,$50.999,27%,$37.229
315,DAPAGLIFLOZIN,FORXIGA 10mg X28COM.,ASTRA ZENECA DE CHILE LTDA.,$42.999,36%,$27.519
316,DEFLAZACORT,(B) DEZARTAL 6mg COMP.X30,ANDROMACO FARMA,$31.499,29%,$22.364
317,DEFLAZACORT,DEZARTAL (B) 30mg X20COM.,ANDROMACO FARMA,$59.999,50%,$30.000
318,DEFLAZACORT,DISFLAX (B) 6mg X20COMP.,FAES FARMA CHILE,$20.099,30%,$14.069
319,DELTAMETRINA + PIPERONILO BUTOXIDO,LAUNOL SH.X120ml,LABORATORIO CHILE,$7.399,41%,$4.365
320,DELTAMETRINA + PIPERONILO BUTOXIDO,LAUNOL SH.X60ml,LABORATORIO CHILE,$6.399,51%,$3.136
321,DESLORATADINA,DESLORATADINA 2.5mg/5ml JBE.X60ml,ByB FARMACEUTICA,$4.499,57%,$1.935
322,DESLORATADINA,DESPEX (B) 5mg X30COM.REC.,LABORATORIO CHILE,$9.999,46%,$5.399
323,DESLORATADINA,NEOLARMAX 2.5mg JBE.75ml,ANDROMACO FARMA,$10.599,30%,$7.419
324,DESLORATADINA,NEO ALLEDRYL (B) 5mg X30COM.REC.,PRATER,$8.299,46%,$4.481
325,DESMOPRESINA,DDAVP 0.1mg X30COM.,FERRING,$39.099,7%,$36.362
326,DESOGESTREL,ARLETTE 28 X28COM.REC.,RECALCINE,$14.499,25%,$10.874
327,DESOGESTREL,LACTAFEM 75mcg X28COM.REC.,ANDROMACO FARMA,$16.999,50%,$8.500
328,DESOGESTREL + ETINILESTRADIOL,CICLIDON 20 CD X28COM.REC.,RECALCINE,$14.999,47%,$7.949
329,DESOGESTREL + ETINILESTRADIOL,SOLUNA E-20 (B) X21COM.,MINTLAB,$9.299,30%,$6.509
330,DESVENLAFAXINA,PRISTIQ 50mg X28COM.PROL.,PFIZER,$62.399,33%,$41.807
331,DEXCLORFENIRAMINA + BETAMETASONA,DEUCOALER 30 comprimidos,MEDIPHARM,$6.499,25%,$4.874
332,DEXCLORFENIRAMINA + BETAMETASONA,PLEXUS JBE.X120ml,RECALCINE,$12.599,25%,$9.449
333,DEXCLORFENIRAMINA + BETAMETASONA,PLEXUS X30COM.,RECALCINE,$11.999,25%,$8.999
334,DEXCLORFENIRAMINA + BETAMETASONA,CLOFEXAN X30COM.,BAGO,$16.499,25%,$12.374
335,DIACEREINA,ARTRIZONA 50mg CAPS.X30,ANDROMACO FARMA,$42.299,30%,$29.609
336,DIAZEPAM,DIAZEPAM (B) 10mg X20COM.,LABORATORIO CHILE,$999,46%,$539
337,DIAZEPAM + CLORMEZANONA,CALMOSEDAN X30COM.,RECALCINE,$15.499,41%,$9.144
338,DIAZEPAM + CLORMEZANONA,SEDILIT X30COM.,SANITAS S.A.,$9.399,41%,$5.545
339,DICLOFENACO,DICLOFENACO 50mg X10COM.,ANDROMACO FARMA,$799,93%,$56
340,DICLOFENACO,DICLOFENACO 75mg AMP.X5,BIOSANO,$2.799,55%,$1.260
341,DICLOFENACO,DICLOFENACO PED.12.5mg X5SUP.,LABORATORIO CHILE,$1.399,63%,$518
342,DICLOFENACO TOPICO,DEFLAMAT 1% GEL 60g,ANDROMACO FARMA,$9.599,30%,$6.719
343,DICLOFENACO TOPICO,PIROFLAM GEL x 30 grs.,MEDIPHARM,$5.799,25%,$4.349
344,DIENOGEST,DALGIET (B) X28COM.,EXELTIS CHILE,$20.199,20%,$16.159
345,DIENOGEST,VALERIX COMP.X30,SILESIA,$18.999,20%,$15.199
346,DIFENIDOL,VERTIUM 25mg COMP.X40,SAVAL S.A.,$18.299,44%,$10.247
347,DIGOXINA,DIGOXINA (B) 0.25mg X30COM.,LABORATORIO CHILE,$2.499,57%,$1.075
348,DIHEXAZIN,VITERNUM VITAM.JBE.X125ml,ITF (EX LABOMED),$20.499,46%,$11.069
349,DILTIAZEM,GRIFODILZEM 60mg COMP.X60,LABORATORIO CHILE,$18.999,35%,$12.349
350,DIMENHIDRINATO,MAREAMIN 100mg COMP.X20,EUROFARMA CHILE S.A.,$10.499,30%,$7.349
351,DIOSMINA (FLAVONOIDES RUTACEAS),VENARTEL 500mg COMP.X60,ANDROMACO FARMA,$50.899,30%,$35.629
352,DIOSMINA (FLAVONOIDES RUTACEAS),VESNIDAN x 30 comprimidos,MEDIPHARM,$15.499,65%,$5.425
353,DIOSMINA (FLAVONOIDES RUTACEAS),VESNIDAN x 60 comprimidos,MEDIPHARM,$28.599,25%,$21.449
354,DIOSMINA + HESPERIDINA,VEDIPAL X30COM.,TECNOFARMA LTDA.,$26.799,25%,$20.099
355,DIPIRONA,DIPIRONA 1g/2ml X5AMP.,BIOSANO,$2.199,39%,$1.341
356,DIPIRONA,DIPIRONA 300mg X20COM.,ByB FARMACEUTICA,$1.399,70%,$420
357,DISULFIRAM,ANTABUS 500mg X24COM.,FARMOQUIMICA DEL PACIFICO,$30.499,50%,$15.250
358,DOMPERIDONA,DOMPERIDONA (B) 10mg X20COM.,LABORATORIO CHILE,$1.299,70%,$390
359,DOMPERIDONA,RESTOL 10mg/ml GTAS.X20ml,LABORATORIO CHILE,$2.899,58%,$1.218
360,DONEPECILO,DAZOLIN ODT 10mg X30COM.DISP.,RECALCINE,$81.999,48%,$42.639
361,DONEPECILO,DAZOLIN ODT 5mg X30COM.DISP.,RECALCINE,$74.999,76%,$18.000
362,DONEPECILO,DOPABEN (B) 10mg X30COM.REC.,LABORATORIO CHILE,$64.599,35%,$41.989
363,DONEPECILO,EVIMAL 10 MG x 30 COMP,ANDROMACO FARMA,$77.199,30%,$54.039
364,DONEPECILO,EVOCAZ CD 10mg X30COM.DISP.,SAVAL S.A.,$45.799,35%,$29.769
365,DOXAZOSINA,ALFADOXIN 4MG 30C,LABORATORIO CHILE,$11.999,65%,$4.200
366,DOXILAMINA + PIRIDOXINA,PLURIAMIN X30COM.PROL.,RECALCINE,$19.999,41%,$11.799
367,DULOXETINA CLORHIDRATO,DUCETEN 30mg X30CAP.,RECALCINE,$20.499,35%,$13.324
368,DULOXETINA CLORHIDRATO,DUCETEN 60mg X30CAP.,RECALCINE,$23.499,35%,$15.274
369,DULOXETINA CLORHIDRATO,NITEXOL 30mg CAPS.X30,ANDROMACO FARMA,$14.999,30%,$10.499
370,DULOXETINA CLORHIDRATO,NITEXOL 60mg CAPS.X30,ANDROMACO FARMA,$20.499,40%,$12.299
371,DULOXETINA CLORHIDRATO,CYMBALTA 30mg X7CAP.,ELI LILLY,$15.599,35%,$10.139
372,DULOXETINA CLORHIDRATO,DOUPEX 60mg X30CAP.,SANITAS S.A.,$14.999,35%,$9.749
373,DUTASTERIDA,AVODART 0.5mg X30CAP.BLANDAS,GLAXO,$54.999,67%,$18.150
374,DUTASTERIDA + TAMSULOSINA,DUODART 0.5mg X30CAP.,GLAXO,$44.499,53%,$20.915
375,ELETRIPTAN,ELEMIGROL 40MG. CAJA 4COMP. REC.,ANDROMACO FARMA,$16.999,35%,$11.049
376,ELETRIPTAN,RELPAX 40mg X2COM.REC.,PFIZER,$16.699,40%,$10.019
377,EMPAGLIFLOZINA,JARDIANCE 10mg X30COM.REC,BOEHRINGER INGELHEIM,$39.699,24%,$30.171
378,ENALAPRIL,ENALAPRIL 10mg X20COM.,ANDROMACO FARMA,$899,86%,$126
379,ENALAPRIL,ENALAPRIL 5mg X20COM.,HOSPIFARMA,$1.399,30%,$979
380,ENALAPRIL + HIDROCLOROTIAZIDA,ENALTEN-D 10/25 COMP.X30,SAVAL S.A.,$24.399,25%,$18.299
381,ERGOTAMINA + CAFEINA + CLORFENAMINA + DIPIRONA,CINABEL COMP.X10,ANDROMACO FARMA,$4.799,20%,$3.839
382,ERGOTAMINA + CAFEINA + CLORFENAMINA + DIPIRONA,MIGRAGESIC X10COM.,ANDROMACO FARMA,$2.899,20%,$2.319
383,ESCITALOPRAM,ESC (BE) 10mg COM.X30,EUROFARMA CHILE S.A.,$13.899,51%,$6.811
384,ESCITALOPRAM,ESC(BE) 20mg COM.X30,EUROFARMA CHILE S.A.,$18.999,43%,$10.829
385,ESCITALOPRAM,(B) ESCITALOPRAM 10mg COMP.X30,LABORATORIO CHILE,$10.299,30%,$7.209
386,ESCITALOPRAM,ECITALEX FT 10mg COMP.X30,ANDROMACO FARMA,$11.999,30%,$8.399
387,ESCITALOPRAM,ECTIBAN 10MG 30CR,LABORATORIO CHILE,$15.999,33%,$10.719
388,ESCITALOPRAM,(B) ECTIBAN 20mg COMP.X30,LABORATORIO CHILE,$39.999,35%,$25.999
389,ESCITALOPRAM,IPRAN (B) 10mg X30COM.REC.,RECALCINE,$27.499,35%,$17.874
390,ESCITALOPRAM,IPRAN (B) 20mg X30COM.REC.,RECALCINE,$48.999,35%,$31.849
391,ESCITALOPRAM,LEXAPRO (R) 10mg X28COM.REC.,LUNDBECK,$41.099,13%,$35.756
392,ESCITALOPRAM,LEXAPRO (R) 15mg X28COM.REC.,LUNDBECK,$65.399,20%,$52.319
393,ESCITALOPRAM,LEXAPRO (R) 20mg X28COM.REC.,LUNDBECK,$62.199,17%,$51.625
394,ESCITALOPRAM,REPOSIL 10mg. 30 Comprimidos Rec.,MEDIPHARM,$15.999,58%,$6.720
395,ESOMEPRAZOL,(R) NEXIUM 20mg COMP.X28,ASTRA ZENECA DE CHILE LTDA.,$27.399,20%,$21.919
396,ESOMEPRAZOL,EMEZOL 40mg CAPS.X30,ANDROMACO FARMA,$25.299,30%,$17.709
397,ESOMEPRAZOL,ESOMEPRAZOL (B) 20mg 30COM.REC,OPKO,$5.399,30%,$3.779
398,ESOMEPRAZOL,ESOMEPRAZOL (B) 40mg CAP.X30,OPKO,$4.699,30%,$3.289
399,ESPIRONOLACTONA,ESPIRONOLACTONA 25mg X20COM.,ANDROMACO FARMA,$2.099,75%,$525
400,ESTRADIOL,CYCLOBIOL 1mg COMP.X30,SILESIA,$10.299,20%,$8.239
401,ESTRADIOL,GINODERM 0.06% GEL X80g,RECALCINE,$25.799,68%,$8.256
402,ESTRADIOL,HORMOGEL PUMP 0.1% GEL TRANS. 35g,SILESIA,$15.599,22%,$12.167
403,ESTRADIOL,PRIMAQUIN 1mg X30COM.REC.,RECALCINE,$15.999,25%,$11.999
404,ESTRADIOL,PRIMAQUIN 2mg X30COM.REC.,RECALCINE,$17.999,51%,$8.820
405,ESTRADIOL,VAGIFEM 10mcg COMP.VAG.X18,SILESIA,$39.999,20%,$31.999
406,ESTRADIOL + DROSPIRENONA,CLINOMAT X30COM.REC.,RECALCINE,$22.499,25%,$16.874
407,ESTRADIOL + NORETISTERONA,ACTIVELLE COMP.X28,SILESIA,$30.999,20%,$24.799
408,ESTRADIOL + TRIMEGESTONA,TOTELLE CICLICO 1mg GRAG.X28,PFIZER,$34.899,20%,$27.919
409,ESTRIOL,VACIDOX 0.5mg X15OV.,RECALCINE,$27.299,25%,$20.474
410,ESZOPICLONA,ESZOP 3 MG 30 COMP. REC,SILESIA,$19.799,40%,$11.879
411,ESZOPICLONA,NOPTIC 2MGx30COMPR.,ANDROMACO FARMA,$10.299,40%,$6.179
412,ESZOPICLONA,NOPTIC 3MGx30COMPR.,ANDROMACO FARMA,$12.999,32%,$8.839
413,ESZOPICLONA,PLESSIR 3mg. 30 Comprimidos Rec.,MEDIPHARM,$8.999,25%,$6.749
414,ESZOPICLONA,VALNOC 2mg X30COM.REC.,RECALCINE,$9.499,17%,$7.884
415,ESZOPICLONA,VALNOC 3mg X30COM.REC.,RECALCINE,$11.999,25%,$8.999
416,ESZOPICLONA,ZOPINOM 3 MG 30 CR,LABORATORIO CHILE,$6.399,33%,$4.287
417,ESZOPICLONA,NOVO INSOMNIUM 2mg X30COM.REC.,GADORPHARMA SPA,$10.999,25%,$8.249
418,ESZOPICLONA,NOVO INSOMNIUM 3mg X30COM.REC.,GADORPHARMA SPA,$11.799,25%,$8.849
419,ETINILESTRADIOL + CLORMADINONA,SERENATA 20 X28COM.REC,SILESIA,$20.499,50%,$10.250
420,ETINILESTRADIOL + CLORMADINONA,VIORA CD (B) X28COM.REC.,EXELTIS CHILE,$16.499,20%,$13.199
421,ETINILESTRADIOL + DIENOGEST,ACOTOL X28COM.REC.,RECALCINE,$15.599,25%,$11.699
422,ETINILESTRADIOL + DIENOGEST,DANIELE (B) X28COM.REC,EXELTIS CHILE,$12.499,20%,$9.999
423,ETINILESTRADIOL + DIENOGEST,TINELLE X28COM.REC.,SILESIA,$16.699,50%,$8.350
424,ETINILESTRADIOL + DROSPIRENONA,FEMELLE 20 X28COM.REC.,RECALCINE,$16.099,25%,$12.074
425,ETINILESTRADIOL + DROSPIRENONA,FEMELLE X28COM.REC.,RECALCINE,$17.999,78%,$3.960
426,ETINILESTRADIOL + DROSPIRENONA,LADEE (B) X28COM.REC.,EXELTIS CHILE,$15.299,20%,$12.239
427,ETINILESTRADIOL + GESTODENO,CICLOMEX 15 X28COM.REC.,RECALCINE,$13.999,25%,$10.499
428,ETINILESTRADIOL + GESTODENO,CICLOMEX 20 CD X28COM.REC.,RECALCINE,$13.499,25%,$10.124
429,ETINILESTRADIOL + GESTODENO,CICLOMEX 20 X21COM.REC.,RECALCINE,$14.499,20%,$11.599
430,ETINILESTRADIOL + GESTODENO,CICLOMEX CD X28COM.REC.,RECALCINE,$15.499,25%,$11.624
431,ETINILESTRADIOL + GESTODENO,MICROGEN 20 CD X28 COM.REC.,SILESIA,$12.599,50%,$6.300
432,FAMOTIDINA,FAMOTIDINA 40mg X10COM.,LABORATORIO CHILE,$999,70%,$300
433,FENOBARBITAL,FENOBARBITAL 100mg X10COM.,BPH S.A,$7.999,21%,$6.319
434,FENOFIBRATO DE COLINA,TRILIPIX 135mg X30CAP.PROL.,ABBOTT FARMA,$22.499,17%,$18.674
435,FENOTEROL + IPRATROPIO BROMURO,BERODUAL SOL.NEBULIZAR X20ml,BOEHRINGER INGELHEIM,$25.799,38%,$15.995
436,FIERRO (HIDROXIDO FERRICO - SACAROSA),CHELTIN 100mg/5ml X1AMP.,PHARMA INVESTI,$22.099,16%,$18.563
437,FIERRO GLUCONATO SODICO + AC. FOLICO,CHELTIN FC X30COM.REC.,PHARMA INVESTI,$16.299,20%,$13.039
438,FIERRO PIROFOSFATO + ACIDO FOLICO,HEMOFOLIC 30CAP.,EXELTIS CHILE,$16.999,20%,$13.599
439,FIERRO POLIMALTOS + AC. FOLICO + VIT B12,MALTOFER FOL PLUS COMP.X30,ANDROMACO FARMA,$23.099,30%,$16.169
440,FIERRO SULFATO,FERRIGOT 25mg/ml GTAS.X30ml,PASTEUR,$6.199,88%,$744
441,FIERRO SULFATO,SULFATO FERROSO 200mg X20COM.,LABORATORIO CHILE,$1.799,67%,$594
442,FINASTERIDE BAJAS DOSIS,APEPLUS (B) 1mg X30COM.,RECALCINE,$26.499,35%,$17.224
443,FINASTERIDE BAJAS DOSIS,APEPLUS (B) 1mg X90COM.,RECALCINE,$78.999,25%,$59.249
444,FINASTERIDE BAJAS DOSIS,FOLIPIL (B) 1mg X30COM.REC.,PHARMA INVESTI,$20.499,35%,$13.324
445,FLUCLOXACILINA,FLUCLOXACILINA 250mg/5ml S.O.X60ml,ANDROMACO FARMA,$4.899,56%,$2.156
446,FLUCONAZOL,FLUCONAZOL 150mg X4CAP.,LABORATORIO CHILE,$7.099,62%,$2.698
447,FLUCONAZOL,FLUCTIN (B) 150mg X4CAP.,RECALCINE,$22.899,91%,$2.061
448,FLUOXETINA,FLUOXETINA (B) 20mg X20COM.,LABORATORIO CHILE,$1.499,70%,$450
449,FLUOXETINA,SOSTAC 20MG 30C,LABORATORIO CHILE,$15.999,35%,$10.399
450,FLUOXETINA,SOSTAC 20MG 60C,LABORATORIO CHILE,$17.999,29%,$12.779
451,FLUTICASONA,BREXOVENT LF 125mcg INH.X120DS.,ETEX FARMACEUTICA LTDA.,$27.499,70%,$8.250
452,FLUTICASONA,FLIXOTIDE LF 125mcg INH.X120DS.,GLAXO,$50.499,63%,$18.685
453,FLUTICASONA,FLUSONA 125mcg INH.X120DS.,RECALCINE,$29.999,83%,$5.100
454,FLUTICASONA NASAL,"ALENYS 27,5mcg SUSP.NAS.X120DS.",ETEX FARMACEUTICA LTDA.,$18.499,63%,$6.845
455,FLUTICASONA NASAL,FLIXONASE 50mcg INH.X120DS.,GLAXO,$40.799,92%,$3.264
456,FLUTICASONA NASAL,NEBULEX 50mcg SOL.NAS.X120DS.,LABORATORIO CHILE,$17.899,41%,$10.560
457,FLUVOXAMINA,LUVOX 100mg X30COM.,ABBOTT FARMA,$43.999,51%,$21.560
458,FROVATRIPTAN,DOLIPRAN 2.5mg X6COM.,RECALCINE,$11.999,25%,$8.999
459,FUROSEMIDA,FUROSEMIDA (B) 40mg X12COM.,LABORATORIO CHILE,$1.299,70%,$390
460,GABA + GABOB + ACETILGUTAMINA + VIT.B6,MEMOREX X60CAP.,RECALCINE,$32.999,65%,$11.550
461,GABA + GABOB + BGM + VIT.B6,GAMALATE B6 30GRAG,ANDROMACO FARMA,$22.699,31%,$15.662
462,GABA + GABOB + BGM + VIT.B6,GAMALATE B6 60GRAG.,ANDROMACO FARMA,$34.599,40%,$20.759
463,GABA + GABOB + BGM + VIT.B6,GAMALATE B6 JBE.80ML.,ANDROMACO FARMA,$27.699,45%,$15.234
464,GEMFIBROZILO,GEMFIBROZILO (B) 300mg X30COM.REC.,LABORATORIO CHILE,$4.199,43%,$2.393
465,GEMFIBROZILO,GEMFIBROZILO 600mg X20COM.,LABORATORIO CHILE,$4.599,64%,$1.656
466,GENTAMICINA OFTALMICA COLIRIO,GENTAMICINA 0.3% SOF.X5ml,OPKO,$2.699,70%,$810
467,GENTAMICINA OFTALMICA UNGUENTO,GENTAMICINA 0.3% UNG.OF.X3.5g,ETHON PHARMACEUTICALS SPA,$6.699,49%,$3.416
