,Laboratorio,Medicamento / Insumo,Precio Referencia Retail 09/2017,Descuento Botiquín Las Condes,Precio referencial Botiquín de Las Condes
315,LABORATORIO CHILE,HIPOGLUCIN 850MG 30CR,$6.799,35%,$4.419
316,LABORATORIO CHILE,HIPOGLUCIN 850MG 60 CR,$15.099,35%,$9.814
317,LABORATORIO CHILE,HIPOGLUCIN DA 500MG/2.5MG 30C,$7.199,35%,$4.679
318,LABORATORIO CHILE,HIPOGLUCIN DA 500MG/5MG 30C,$8.499,35%,$5.524
319,PASTEUR,IBANOX (B) 150mg X1COM.REC.,$20.999,20%,$16.799
320,OPKO,IBUPROFENO (B) 400mg X20COM.,$1.099,69%,$338
321,CHILE,IMIPRAMINA 25mg X40COM.,$1.799,64%,$655
322,LABORATORIO CHILE,INTAXEL 1 MG 30 C,$28.999,35%,$18.849
323,JANSSEN,INVOKANA 100mg X30COM.,$33.999,25%,$25.499
324,JANSSEN,INVOKANA 300mg X30COM.,$40.799,25%,$30.599
325,RECALCINE,IPRAN (B) 10mg X30COM.REC.,$25.999,35%,$16.899
326,RECALCINE,IPRAN (B) 20mg X30COM.REC.,$44.299,35%,$28.794
327,RAFFO,IRAZEM 10mg X30COM.,$35.999,23%,$27.800
328,GALENICUM HEALTH CHILE SPA,IRBEVITAE (B) 150mg X28COM.REC,$21.999,20%,$17.599
329,GALENICUM HEALTH CHILE SPA,IRBEVITAE (B) 300mg X28COM.REC,$21.999,20%,$17.599
330,ANDROMACO,ISOSORBIDE 10mg X60COM.,$3.999,92%,$308
331,GEMFAR,KETOPROFENO 100mg/2ml X6AMP.,$5.299,92%,$407
332,ANDROMACO,KILNITS 1% SH.X100ml,$7.199,63%,$2.700
333,RECALCINE,KOPODEX (B) 1000mg X30COM.REC.,$46.399,35%,$30.159
334,RECALCINE,KOPODEX (B) 500mg X30COM.REC.,$23.799,35%,$15.469
335,RECALCINE,KOPODEX (B) 500mg X60COM.REC.,$45.399,35%,$29.509
336,RECALCINE,KOPODEX 100mg/ml S.O.X120ml,$18.599,35%,$12.089
337,RECALCINE,KOPODEX XR 500mg X30COM.,$25.299,35%,$16.444
338,ANDROMACO FARMA,LACTAFEM 75mcg X28COM.REC.,$13.499,50%,$6.750
339,LABORATORIO CHILE,LACTIL 1g X6SOB.,$10.099,30%,$7.069
340,LABORATORIO CHILE,LACTIL 250mg X12CAP.,$11.999,30%,$8.399
341,Exeltis,LADEE (B) X28COM.REC.,$13.999,20%,$11.199
342,Exeltis,LADEE 20 (B) X28COM.REC.,$13.299,20%,$10.639
343,MINTLAB,LADYGEX (B) X28COM.,$9.799,30%,$6.859
344,MINTLAB,LADYGEX 20 (B) COM.X28,$9.390,30%,$6.573
345,RECALCINE,LAFIGIN (B) 25mg X30COM.,$17.099,25%,$12.824
346,RECALCINE,LAFIGIN (B) 50mg X30COM.,$31.199,25%,$23.399
347,RECALCINE,LAFIGIN 100mg X30COM.,$38.099,25%,$28.574
348,RECALCINE,LAFIGIN DT 100mg X30COM.DISP.,$31.399,25%,$23.549
349,RECALCINE,LAFIGIN DT 200mg X30COM.DISP.,$53.199,25%,$39.899
350,PHARMATECH,LAGRIMAS ARTIFICIALES SOF.X15ml,$2.499,62%,$952
351,CHILE,LAMOTRIGINA 50mg X30COM.DISP.,$6.599,84%,$1.078
352,MEDIPHARM,LANGASTROL 30mg. 30 Capsulas,$9.599,25%,$7.199
353,AVENTIS,LARGACTIL 100mg X20COM.REC.,$13.199,39%,$8.000
354,RECALCINE,LEODRIN 70 DUO X4/56COM.REC.,$21.699,25%,$16.274
355,RECALCINE,LEODRIN PLUS 5600 X5COM.,$29.299,25%,$21.974
356,RECALCINE,LEROGIN X30GRA.,$18.799,50%,$9.400
357,CHILE,LEVOTIROXINA (B) 100mcg X30COM.,$1.290,61%,$500
358,SYNTHON,LEVROX (B) 4mg/2ml X5AMP.,$5.290,91%,$490
359,LUNDBECK,LEXAPRO (R) 10mg X14COM.REC.,$20.399,20%,$16.319
360,LUNDBECK,LEXAPRO (R) 10mg X28COM.REC.,$33.599,20%,$26.879
361,LUNDBECK,LEXAPRO (R) 15mg X28COM.REC.,$48.499,20%,$38.799
362,LUNDBECK,LEXAPRO (R) 20mg X28COM.REC.,$50.399,20%,$40.319
363,CHILE,LIDOCAINA 2% 5ml X5AMP.,$1.399,94%,$79
364,RECALCINE,LINFONEX (B) 250mg X60COM.REC.,$61.999,35%,$40.299
365,RECALCINE,LINFONEX (B) 500mg X30COM.REC.,$61.999,35%,$40.299
366,LABORATORIO CHILE,LIPOX 10 MG 30 CR Z BE,$8.999,35%,$5.849
367,LABORATORIO CHILE,LIPOX 20 MG 30 CR Z BE,$18.799,35%,$12.219
368,LABORATORIO CHILE,LIPOX 40 MG 30 CR Z BE,$29.999,35%,$19.499
369,LABORATORIO CHILE,LIPOX 80 MG 30 CR Z BE,$32.999,35%,$21.449
370,MEDIPHARM,LIRACOL x 20 comprimidos,$3.999,25%,$2.999
371,SILESIA,LIREX 2.5mg X30COM.,$18.499,42%,$10.710
372,LABORATORIO CHILE,LODIPRES 12.5MG 30C,$16.399,35%,$10.659
373,LABORATORIO CHILE,LODIPRES 25MG 30C,$16.199,35%,$10.529
374,LABORATORIO CHILE,LODIPRES 6.25 MG 30 C,$8.299,35%,$5.394
375,CHILE,LOPERAMIDA 2mg X6COM.,$599,81%,$113
376,CHILE,LORATADINA (B)1 0mg X30COM.,$1.099,73%,$300
377,OPKO,LOSARTAN (B) 50mg X30COM.,$2.399,88%,$293
378,MEDIPHARM,"LOSOPIL 7,5 mg. x 30 comprimidos",$4.799,25%,$3.599
379,MEDIPHARM,LUVAT 100mg. 30 comprimidos,$19.199,25%,$14.399
380,ANDROMACO FARMA,MADOZIDE (B) 200/50 X30COM.,$15.399,35%,$10.009
381,PASTEUR,MANHAE X30CAP.,$15.999,20%,$12.799
382,RECALCINE,MARILOW X28COM.,$15.699,25%,$11.774
383,MINTLAB,MEBENDAZOL 100mg X6COM.,$899,50%,$450
384,MEDIPHARM,MEDAZOL GEL 30 grs.,$7.399,25%,$5.549
385,MEDIPHARM,MEDITOINA 135 mg. x 30 comprimidos,$12.399,25%,$9.299
386,RECALCINE,MEMOREX X60CAP.,$25.999,25%,$19.499
387,OPKO,METFORMINA (B) 850mg X60COM.REC.,$4.999,88%,$589
388,ANDROMACO FARMA,METRANS XR 20MG. CAJA 30 COMP.REC. LP,$35.999,40%,$21.599
389,CHILE,METRONIDAZOL 500mg X10OVULOS,$2.099,52%,$1.000
390,PASTEUR,METROPAST (B) 500mg X20COM.,$8.199,51%,$4.000
391,SILESIA,MICROGEN 20 CD X28 COM.REC.,$11.199,50%,$5.600
392,SILESIA,MICROGEN X21COM.REC.,$14.299,50%,$7.150
393,GRUNENTHAL,MICROSER COMP.16MG.X30 VTA,$37.199,40%,$22.319
394,GRUNENTHAL,MICROSER COMP.24MG.X30 VTA (BE),$38.199,40%,$22.919
395,GRUNENTHAL,MICROSER COMP.8MG.X30 VTA,$33.999,40%,$20.399
396,GRUNENTHAL,MICROSER COMP.8MG.X60 VTA,$39.199,40%,$23.519
397,SILESIA,MIDALET 20 X21COM.REC.,$13.099,50%,$6.550
398,RECALCINE,MIMETIX ODT 10mg X60COM.REC.,$50.499,50%,$25.250
399,RECALCINE,MIMETIX ODT 20mg X30COM.REC.,$52.599,50%,$26.300
400,PFIZER,MINIDIAB 5mg X90COM.,$37.099,67%,$12.264
401,ANDROMACO FARMA,MINIESTREL X21COM.REC.,$11.399,50%,$5.700
402,ANDROMACO FARMA,MINIGEST X21COM.REC.,$10.899,50%,$5.450
403,MEDIPHARM,MIVIT C SABOR 500mg X30COM.MAST.,$2.799,70%,$850
404,RECALCINE,MIZONASE SET,$16.199,50%,$8.100
405,ANDROMACO FARMA,MONDRIAN 150MG X 30,$23.199,40%,$13.919
406,LABORATORIO CHILE,MORELIN 30CR,$16.799,35%,$10.919
407,CHILE,MORFINA 10mg X3AMP.,$10.190,38%,$6.355
408,RAFFO S.A.,MUPAX 2% UNG.X7.5g,$9.999,15%,$8.499
409,PHARMA INVESTI,NEBAPUL (B) 10mg X30COM.,$10.999,61%,$4.284
410,SILESIA,NEOLETTE X28COM.REC.,$14.199,50%,$7.100
411,RECALCINE,NEORESOTYL 150mg X30COM.,$38.199,25%,$28.649
412,RECALCINE,NEORESOTYL 50mg X30COM.,$27.699,25%,$20.774
413,RECALCINE,NEUROCAM X10COM.REC.,$18.999,25%,$14.249
414,ANDROMACO FARMA,NEUROPRON FT 20mg COM.X30,$48.999,40%,$29.399
415,CHILE,NIFEDIPINO RET.20mg X30COM.REC.,$2.099,80%,$425
416,CHILE,NISTATINA 100000UI UNG.X15g,$1.999,61%,$789
417,CHILE,NISTATINA 100000UI X12OVULOS,$3.099,60%,$1.238
418,CHILE,NISTATINA 500000UI X12COM.,$3.899,66%,$1.309
419,ANDROMACO FARMA,NITEXOL 30MG/30COMP.,$13.699,40%,$8.219
420,ANDROMACO FARMA,NITEXOL 60MG/30COMP.,$16.599,40%,$9.959
421,CHILE,NITRENDIPINO 20mg X20COM.,$1.099,81%,$207
422,CHILE,NITROFURANTOINA 100mg X10COM.,$1.399,30%,$980
423,CHILE,NITROGLICERINA 0.6mg X30COM.,$4.999,44%,$2.800
424,BOEHRINGER,NOCTILAN 0.25mg X20COM.,$16.199,32%,$11.000
425,RECALCINE,NOCTURA X1AMP.,$1.390,29%,$990
426,ANDROMACO FARMA,NOPTIC 2MGx30COMPR.,$9.699,40%,$5.819
427,ANDROMACO FARMA,NOPTIC 3MGx30COMPR.,$11.399,40%,$6.839
428,ANDROMACO FARMA,NORSIC 100MGX30COMP.REC,$55.999,40%,$33.599
429,ANDROMACO FARMA,NORSIC 25MG.30COMP.,$24.499,40%,$14.699
430,RECALCINE,NORVETAL 20 CD X28COM.REC.,$9.999,25%,$7.499
431,RECALCINE,NORVETAL CD X28COM.REC.,$5.999,50%,$3.000
432,MEDIPHARM,NUMOSOL ADULTO JARABE x 100 ml,$3.899,25%,$2.924
433,MEDIPHARM,OFF-TEN 25mg. x 30 comprimidos,$11.199,25%,$8.399
434,OPKO,OMEPRAZOL (B) 20mg X30CAP.,$1.199,65%,$425
435,RECALCINE,ORALAFI 7.5mg X15COM.PROL.,$15.199,25%,$11.399
436,MERCK SA CHILE,OVIDREL 250mcg X1F-A,$55.090,15%,$46.827
437,RECALCINE,OXICODAL 300mg X30COM.,$19.599,25%,$14.699
438,RECALCINE,OXICODAL 600mg X30COM.,$31.999,25%,$23.999
439,SANITAS,PAMAX (B) 20mg X30COM.REC.,$18.999,94%,$1.214
440,OPKO,PARACETAMOL (B) 500mg X16COM.,$999,82%,$179
441,CHILE,PARACETAMOL 100mg/ml GTAS.X15ml,$1.399,77%,$324
442,CHILE,PARACETAMOL PED.125mg X5SUP.,$1.299,62%,$500
443,MED CELL,PASTA LASSAR X50g,$1.489,61%,$580
444,MEDIPHARM,PAZBRONQ ADULTO JARABE X 100 ML.,$3.999,42%,$2.306
445,MEDIPHARM,PEMAR x 10 comprimidos,$1.299,25%,$974
446,OPKO,PENICILINA G BENZ 1200000UI X1F-A,$1.299,76%,$309
447,OPKO,PENICILINA G SOD 1000000UI X1F-A,$799,55%,$360
448,FERRING,PENTASA 1g X28SUP.,$111.999,20%,$89.599
449,FERRING,PENTASA 1g X50SOB.,$91.599,20%,$73.279
450,FERRING,PENTASA 2g X30SOB.,$84.890,20%,$67.912
451,FERRING,PENTASA 500mg X100COM.,$81.490,20%,$65.192
452,RECALCINE,PIPLEX (B) 20mg X30CAP.BLANDAS,$49.999,35%,$32.499
453,MEDIPHARM,PIROFLAM 100 mg. 10 cápsulas L.P.,$4.199,25%,$3.149
454,MEDIPHARM,PIROFLAM 50 mg. x 5 Suposiorio Adulto,$3.899,25%,$2.924
455,MEDIPHARM,PIROFLAM GEL x 30 grs.,$3.997,25%,$2.998
456,RECALCINE,PLANIDEN ODT 10mg X30COM.,$14.099,25%,$10.574
457,RECALCINE,PLANIDEN ODT 5mg X30COM.,$7.399,25%,$5.549
458,MEDIPHARM,PLESSIR 3mg. 30 Comprimidos Rec.,$8.399,25%,$6.299
459,RECALCINE,PLURIAMIN X30COM.PROL.,$17.599,50%,$8.800
460,RAFFO S.A.,PLUSGIN (B) 150mg X10CAP.,$22.699,15%,$19.294
461,RAFFO S.A.,PLUSGIN (B) 150mg X1CAP.,$3.999,15%,$3.399
462,RAFFO S.A.,PLUSGIN (B) 150mg X2CAP.,$6.099,15%,$5.184
463,RAFFO S.A.,PLUSGIN (B) 150mg X4CAP.,$10.699,15%,$9.094
464,RAFFO S.A.,PLUSGIN 150mg X10COM.,$32.190,15%,$27.362
465,RAFFO S.A.,PLUSGIN 150mg X1COM.,$6.099,15%,$5.184
466,RAFFO S.A.,PLUSGIN 150mg X2COM.,$10.290,15%,$8.747
467,RAFFO S.A.,PLUSGIN 150mg X4COM.,$10.999,15%,$9.349
468,MEDIPHARM,PLU-TOS JARABE 100 ML,$4.599,25%,$3.449
469,SILESIA,POEM 2.5mg X28COM.,$15.499,50%,$7.750
470,ANDROMACO,POLIVITAMINICAS X30COM.REC.,$2.090,63%,$770
471,ANDROMACO,POLIVITAMINICO JBE.X100ml,$2.090,57%,$900
472,LABORATORIO CHILE,POSIVYL 20MG 30C,$34.799,35%,$22.619
473,CHILE,PRECLAR 250mg/5ml S.O.X80ml,$15.399,81%,$2.975
474,CHILE,PREDNISONA (B) 5mg X20COM.,$1.099,70%,$327
475,ANDROMACO FARMA,PREGALEX 150MG/30COMP,$35.999,40%,$21.599
476,ANDROMACO FARMA,PREGALEX 75MG/30COMP.,$19.699,40%,$11.819
477,RECALCINE,PREGOBIN (B) 150mg X30CAP.,$41.599,25%,$31.199
478,RECALCINE,PREGOBIN (B) 75mg X30CAP.,$21.999,25%,$16.499
479,RECALCINE,PRENAMIN NATAL VITAM/OMEGA X60CAP.,$17.199,25%,$12.899
480,RECALCINE,PRIMAQUIN 1mg X30COM.REC.,$14.099,25%,$10.574
481,RECALCINE,PRIMAQUIN 2mg X30COM.REC.,$15.499,51%,$7.565
482,RECALCINE,PRIMAQUIN 2mg X30COM.REC.,$15.499,25%,$11.624
483,MEDIPHARM,PROCION 20 mg. x 20 comprimidos,$7.199,25%,$5.399
484,MEDIPHARM,PROCION 20 mg/5ml SUSPENSION 60 ml.,$7.199,25%,$5.399
485,PASTEUR,PRODEL 2mg/5ml JBE.X120ml,$4.599,83%,$795
486,RECALCINE,PROGENDO 100mg X30CAP.BLANDAS,$18.399,25%,$13.799
487,RECALCINE,PROGENDO 200mg X30CAP.BLANDAS,$21.999,25%,$16.499
488,RECALCINE,PROGENDO 400mg X30CAP.BLANDAS,$31.399,25%,$23.549
489,CHILE,PROPANOLOL 10mg X20COM.,$799,75%,$199
490,CHILE,PROPANOLOL 40mg X20COM.,$799,72%,$228
491,RECALCINE,PROSTALL 0.4mg X30COM.PROL.,$18.999,25%,$14.249
492,ANDROMACO,QUETIAPINA (B) 100mg X30COM.REC,$20.899,90%,$2.035
493,RECALCINE,QUETIDIN (B) 100mg X30COM.REC.,$39.999,35%,$25.999
494,RECALCINE,QUETIDIN (B) 200mg X30COM.REC.,$63.299,35%,$41.144
495,RECALCINE,QUETIDIN (B) 25mg X30COM.REC.,$23.699,35%,$15.404
496,RECALCINE,QUETIDIN (B) 300mg X30COM.REC.,$80.499,35%,$52.324
497,RECALCINE,QUETIDIN XR 150mg X30COM.,$42.999,35%,$27.949
498,RECALCINE,QUETIDIN XR 200mg X30COM.REC.,$51.499,35%,$33.474
499,RECALCINE,QUETIDIN XR 300mg X30COM.REC.,$69.999,35%,$45.499
500,RECALCINE,QUETIDIN XR 400mg X30COM.REC.,$76.399,35%,$49.659
501,RECALCINE,QUETIDIN XR 50mg X30COM.REC.,$36.799,35%,$23.919
502,MEDIPHARM,RADIGEN 1 mg. FRASCO 30 ml.,$13.999,25%,$10.499
503,NOVARTIS CHILE S.A.,RASILEZ 150mg X28COM.REC.,$31.599,20%,$25.279
504,NOVARTIS CHILE S.A.,RASILEZ 300mg X28COM.REC.,$40.099,20%,$32.079
505,NOVARTIS CHILE S.A.,RASILEZ D 300/12.5 X28COM.REC.,$41.499,20%,$33.199
506,RECALCINE,RECAXIN (B) 150mg X1COM.REC.,$25.999,25%,$19.499
507,RECALCINE,RECAXIN DUO X1/60COM.REC.,$27.999,25%,$20.999
508,MEDIPHARM,REPOSIL 10mg. 30 Comprimidos Rec.,$14.299,58%,$5.993
509,pharmavita,RESTAURAL (B) 10mg X30COM.,$15.799,20%,$12.639
510,pharmavita,RESTAURAL (B) 20mg X30COM.,$34.499,20%,$27.599
511,RECALCINE,RITMOCOR 150mg X20COM.,$24.099,35%,$15.664
512,RECALCINE,RITMOCOR 300mg X20COM.,$36.999,35%,$24.049
513,SILESIA,RIZE.10MG.30CP.,$21.399,40%,$12.839
514,SILESIA,RIZE.5MG.30CP.,$15.099,40%,$9.059
515,LABORATORIO CHILE,ROSVEL 10 MG 30 CR,$15.499,35%,$10.074
516,LABORATORIO CHILE,ROSVEL 10 MG 60 CR,$26.399,35%,$17.159
517,LABORATORIO CHILE,ROSVEL 20 MG 30 CR,$29.999,35%,$19.499
518,pharmavita,RUBIFEN (B) 10mg X30COM.,$19.499,20%,$15.599
519,pharmavita,RUBIFEN SR (B) 20mg X30COM.,$31.999,20%,$25.599
520,PASTEUR,SAE AD.X6SUP.,$11.399,58%,$4.800
521,PASTEUR,SAE PED.X6SUP.,$8.199,63%,$3.035
522,VALMA,SALES HIDRATANTES TRO 60 X10SOB.,$7.999,60%,$3.200
523,MEDIPHARM,SALVACOLL 2MG X 6 COMPRIMIDOS,$2.799,70%,$835
524,SANITAS,SANIGERMIN 1% JB.X90g,$1.299,41%,$770
525,RECALCINE,SENEXON SR 150mg X30COM.PROL.,$58.699,25%,$44.024
526,RECALCINE,SENEXON SR 75mg X30COM.PROL.,$31.999,25%,$23.999
527,MEDIPHARM,SENTIDOL 50 mg. x 30 comprimidos,$14.899,25%,$11.174
528,MEDIPHARM,SENTIDOL 75 mg. x 30 comprimidos,$16.099,25%,$12.074
529,MEDIPHARM,SENTIDOL 75 mg. x 30 comprimidos L.P.,$17.699,25%,$13.274
530,SILESIA,SERENATA 20 X28COM.REC,$16.799,50%,$8.400
531,RECALCINE,SERETRAN 20mg X30COM.,$33.999,25%,$25.499
532,RECALCINE,SERETRAN 40mg X30COM.REC.,$46.399,25%,$34.799
533,pharmavita,SERONEX (B) 100mg X30COM.REC.,$19.999,20%,$15.999
534,pharmavita,SERONEX (B) 50mg X30COM.REC.,$16.099,20%,$12.879
535,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL (R) 100mg X30COM.,$60.699,25%,$45.524
536,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL (R) 200mg X30COM.,$84.499,25%,$63.374
537,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL (R) 25mg X30COM.,$34.999,25%,$26.249
538,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL (R) 300mg X30COM.,$123.499,25%,$92.624
539,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL XR (R) 200mg X30COM.PROL,$81.699,25%,$61.274
540,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL XR (R) 300mg X30COM.PROL,$92.499,25%,$69.374
541,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL XR (R) 400mg X30COM.PROL.,$102.999,25%,$77.249
542,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL XR (R) 50mg X30COM.PROL.,$60.599,25%,$45.449
543,ASTRA ZENECA DE CHILE LTDA.,SEROQUEL XR 150mg X30COM.PROL.,$71.499,25%,$53.624
544,ANDROMACO FARMA,SERTAC 100MG.30COMP.RC.,$21.999,40%,$13.199
545,ANDROMACO FARMA,SERTAC 50MG.30COMP.REC.,$18.999,40%,$11.399
546,OPKO,SERTRALINA (B) 50mg X30COM.,$2.999,85%,$452
547,LABORATORIO CHILE,SIMPERTEN 100MG 30CR,$15.199,35%,$9.879
548,LABORATORIO CHILE,SIMPERTEN 50MG 30CR,$13.999,35%,$9.099
549,LABORATORIO CHILE,SIMPERTEN D 100/25 30CR,$26.199,35%,$17.029
550,LABORATORIO CHILE,SIMPERTEN D 30C AA,$23.199,35%,$15.079
551,RECALCINE,SINCOM 2mg X30COM.REC.,$23.099,25%,$17.324
552,RECALCINE,SINCOM 4mg X30COM.REC.,$33.999,25%,$25.499
553,CHILE,SINCRIS (B) 10mg X30COM.REC.,$33.699,91%,$2.916
554,LABORATORIO CHILE,SINCRIS 10 MG X 30 CR BE,$33.699,35%,$21.904
555,LABORATORIO CHILE,SINCRIS 5 MG X 30 CR BE,$22.999,35%,$14.949
556,PFIZER,SOLU CORTEF 100mg X1F-A,$10.390,55%,$4.700
557,MINTLAB,SOLUNA (B) X28COM.,$9.499,30%,$6.649
558,MINTLAB,SOLUNA E (B) X21COM.,$10.499,30%,$7.349
559,MINTLAB,SOLUNA E-20 (B) X21COM.,$9.099,30%,$6.369
560,LABORATORIO CHILE,SOSTAC 20MG 30C,$14.999,35%,$9.749
561,LABORATORIO CHILE,SOSTAC 20MG 60C,$15.699,35%,$10.204
562,ANDROMACO FARMA,SPIRON 1MG.30COMP.,$27.399,40%,$16.439
563,ANDROMACO FARMA,SPIRON 1MG.SOL.30ML. (GOTAS),$23.299,40%,$13.979
564,ANDROMACO,SPIRON 1mg/ml GTAS.X30ml,$23.299,70%,$6.902
565,ANDROMACO FARMA,SPIRON 2MG.30COMP.,$31.499,40%,$18.899
566,ANDROMACO FARMA,SPIRON 3MG.30COMP.,$28.599,40%,$17.159
567,ANDROMACO FARMA,SPIRON FT 3MG. 30COMP.TRISECTADOS,$31.999,40%,$19.199
568,pharmavita,SUBELAN XR (B) 150mg X30CAP.PROL.,$43.199,20%,$34.559
569,pharmavita,SUBELAN XR (B) 37.5mg X30CAP.PROL.,$23.999,20%,$19.199
570,pharmavita,SUBELAN XR (B) 75mg X30CAP.PROL.,$28.999,20%,$23.199
571,CHILE,SULFATO FERROSO 200mg X20COM.,$1.499,67%,$500
572,ITF (EX LABOMED),SULPILAN 50mg X30CAP.,$13.699,30%,$9.589
573,BAGO,T4-BAGO (B) 50mcg X50COM.FLEXIDOSIS,$6.999,61%,$2.713
574,NOVARTIS CHILE S.A.,TAREG (R) 160mg X28COM.REC.,$34.699,30%,$24.289
575,NOVARTIS CHILE S.A.,TAREG (R) 160mg X56COM.REC.,$55.699,30%,$38.989
576,NOVARTIS CHILE S.A.,TAREG (R) 320mg X28COM.REC.,$33.499,30%,$23.449
577,NOVARTIS CHILE S.A.,TAREG (R) 80mg X28COM.REC.,$35.299,30%,$24.709
578,NOVARTIS CHILE S.A.,TAREG (R) 80mg X56COM.REC.,$56.099,30%,$39.269
579,NOVARTIS CHILE S.A.,TAREG D 160/12.5 X28COM.REC.,$40.599,30%,$28.419
580,NOVARTIS CHILE S.A.,TAREG D 160/12.5 X56COM.REC.,$59.499,30%,$41.649
581,NOVARTIS CHILE S.A.,TAREG D 160/25 X28COM.REC.,$35.499,30%,$24.849
582,NOVARTIS CHILE S.A.,TAREG D 160/25 X56COM.REC.,$53.799,30%,$37.659
583,NOVARTIS CHILE S.A.,TAREG D 320/12.5 X28COM.REC.,$35.399,30%,$24.779
584,NOVARTIS CHILE S.A.,TAREG D 320/12.5 X56COM.REC.,$53.299,30%,$37.309
585,NOVARTIS CHILE S.A.,TAREG D 320/25 X28COM.REC.,$34.399,30%,$24.079
586,NOVARTIS CHILE S.A.,TAREG D 80/12.5 X28COM.REC.,$40.399,30%,$28.279
587,NOVARTIS CHILE S.A.,TAREG D 80/12.5 X56COM.REC,$60.799,30%,$42.559
588,MEDIPHARM,TENSIVEL-D Comprimidos Rec.,$15.099,25%,$11.324
589,RECALCINE,TENSODOX (B) 10mg X10COM.REC.,$12.999,25%,$9.749
590,RECALCINE,TENSODOX (B) 10mg X20COM.REC.,$12.851,25%,$9.638
591,RECALCINE,TENSODOX (B) 5mg X20COM.REC.,$8.999,25%,$6.749
592,RECALCINE,TENSODOX XR 10mg X20COM.PROL.,$7.499,25%,$5.624
593,CHILE,TETRACICLINA 250mg X16CAP.,$1.599,63%,$599
594,SILESIA,TINELLE X28COM.REC.,$14.799,50%,$7.400
595,RECALCINE,"TINOX 2,5mg X30COM.",$23.199,25%,$17.399
596,LABORATORIO CHILE,TONARIL 2MG 100C,$19.499,35%,$12.674
597,CHILE,TONARIL 2mg X100COM.,$19.499,80%,$3.873
598,LABORATORIO CHILE,TONOTENSIL 10MG 30C,$18.899,35%,$12.284
599,LABORATORIO CHILE,TONOTENSIL 20MG 30C,$24.399,35%,$15.859
600,LABORATORIO CHILE,TONOTENSIL D 30C,$18.699,35%,$12.154
601,TECNOFARMA LTDA.,TOPICTAL (B) 100mg X28COM.REC.,$59.999,30%,$41.999
602,TECNOFARMA LTDA.,TOPICTAL 25mg X28COM.REC.,$20.599,30%,$14.419
603,TECNOFARMA LTDA.,TOPICTAL 50mg X28COM.REC.,$36.399,30%,$25.479
604,RECALCINE,TOPREL 100mg X30COM.REC.,$63.999,25%,$47.999
605,RECALCINE,TOPREL 25mg X30COM.REC.,$23.199,25%,$17.399
606,RECALCINE,TOPREL 50mg X30COM.REC.,$38.199,25%,$28.649
607,ANDROMACO FARMA,TRADOX 100MG.30COMP.,$34.999,40%,$20.999
608,ANDROMACO FARMA,TRADOX 25MG.30COMP.,$19.299,40%,$11.579
609,ANDROMACO FARMA,TRADOX 50MG.30COMP.,$26.999,40%,$16.199
610,ANDROMACO FARMA,TRADOX FT 200MG/30COMP.,$60.499,40%,$36.299
611,GRUNENTHAL,TRAMAL 100mg/ml GTAS.X10ml,$18.999,50%,$9.500
612,ANDROMACO FARMA,TRAVIATA 20MG.30.COMP.,$41.499,40%,$24.899
613,ANDROMACO FARMA,TRITTICO 100mg X20COM.,$29.199,35%,$18.979
614,ANDROMACO FARMA,TRITTICO 25mg X20CAP.,$20.999,35%,$13.649
615,ANDROMACO FARMA,TRITTICO AC 150mg X20COM.PROL.,$44.999,35%,$29.249
616,MEDIPHARM,TRONSALAN 100 mg. x 20 comprimidos,$12.299,25%,$9.224
617,MEDIPHARM,TRONSALAN 100mg X20COM.REC.,$12.299,61%,$4.760
618,RECALCINE,ULCRATEX 20mg X30CAP.,$19.999,35%,$12.999
619,RECALCINE,ULCRATEX 40mg X30CAP.,$35.699,35%,$23.204
620,RECALCINE,ULCRATEX HP TRITERAPIA X14DOSIS,$33.599,50%,$16.800
621,NOVARTIS CHILE S.A.,ULTIBRO BREEZHALER X30CAP.,$59.399,25%,$44.549
622,pharmavita,UPTOYOU (B) 10mg X30COM.REC.,$18.999,20%,$15.199
623,LABORATORIO CHILE,UREN 24C,$3.499,35%,$2.274
624,LABORATORIO CHILE,UREN 48C,$6.699,35%,$4.354
625,RECALCINE,VACIDOX 0.1% CR.VAG.X30g,$19.699,25%,$14.774
626,RECALCINE,VACIDOX 0.1% CR.VAG.X30g,$19.699,50%,$9.850
627,RECALCINE,VACIDOX 0.5mg X15OV.,$24.999,25%,$18.749
628,LABORATORIO CHILE,VALAPLEX 160MG 30CR,$16.999,35%,$11.049
629,LABORATORIO CHILE,VALAPLEX 320MG 30CR,$18.999,35%,$12.349
630,LABORATORIO CHILE,VALAPLEX 80MG 30CR,$15.999,35%,$10.399
631,LABORATORIO CHILE,VALAPLEX D 160/12.5MG 30CR,$18.099,35%,$11.764
632,LABORATORIO CHILE,VALAPLEX D 80/12.5MG 30CR,$16.799,35%,$10.919
633,LABORATORIO CHILE,VALAPLEX D FTE 160/25MG 30CR,$18.599,35%,$12.089
634,RECALCINE,VALNOC 2mg X30COM.REC.,$9.299,25%,$6.974
