,Descripción Medicamento,Laboratorio,Descuento,Precio referencial sin convenio 06/05/2019,Precio referencial con Descuento
280,ATENOLOL (B) 50mg X20COM.,GENERICOS,66%,$ 899,$ 306
281,ATENOLOL (B) 50mg X20COM.,LABORATORIO CHILE,66%,$ 899,$ 306
282,ATENOLOL (B) 50mg X20COM.,GENEXX,66%,$ 899,$ 306
283,ATENOLOL (B) 50mg X20COM.,MINTLAB,66%,$ 899,$ 306
284,ATENOLOL (B) 50mg X20COM.,RECALCINE,66%,$ 899,$ 306
285,ATENOLOL (B) 50mg X20COM.,SANITAS S.A.,66%,$ 899,$ 306
286,ATENOLOL (B) 50mg X20COM.,ANDROMACO FARMA,66%,$ 899,$ 306
287,ATORVASTATINA (B) 10mg X30COM.,GENERICOS,81%,$ 2.499,$ 475
288,ATORVASTATINA (B) 10mg X30COM.,LABORATORIO CHILE,81%,$ 2.499,$ 475
289,ATORVASTATINA (B) 10mg X30COM.,MINTLAB,81%,$ 2.499,$ 475
290,ATORVASTATINA (B) 10mg X30COM.,SYNTHON,81%,$ 2.499,$ 475
291,ATORVASTATINA (B) 10mg X30COM.,ANDROMACO FARMA,81%,$ 2.499,$ 475
292,ATORVASTATINA (B) 20mg X30COM.,GENERICOS,80%,$ 3.299,$ 660
293,ATORVASTATINA (B) 20mg X30COM.,OPKO,80%,$ 3.299,$ 660
294,ATORVASTATINA (B) 20mg X30COM.,MINTLAB,80%,$ 3.299,$ 660
295,ATORVASTATINA (B) 20mg X30COM.,SYNTHON,80%,$ 3.299,$ 660
296,ATORVASTATINA (B) 20mg X30COM.,SANITAS S.A.,80%,$ 3.299,$ 660
297,ATORVASTATINA (B) 20mg X30COM.,ANDROMACO FARMA,80%,$ 3.299,$ 660
298,ATORVASTATINA (B) 20mg X30COM.,LABORATORIO CHILE,80%,$ 3.299,$ 660
299,ATORVASTATINA (B) 20mg X30COM.,ASCEND LABORATORIES SPA,80%,$ 3.299,$ 660
300,ATROPINA 1% SOF.X10ml,SAVAL S.A.,55%,$ 11.299,$ 5.085
301,ATROPINA 1% SOF.X10ml,GENERICOS,55%,$ 11.299,$ 5.085
302,ATROVENT 0.025% NEB.X20ml,BOEHRINGER INGELHEIM,68%,$ 17.799,$ 5.696
303,ATROVENT 0.03% SOL.NAS.X15ml,CHC SANOFI OTC,56%,$ 14.999,$ 6.600
304,AUGMENTIN BID PED.S.O.X70ml,GLAXO,86%,$ 19.299,$ 2.702
305,AURITUSS 25/125 AER.INH.X120DS.,RECALCINE,20%,$ 30.299,$ 24.239
306,AURITUSS 25/250 AER.INH.X120DS.,RECALCINE,20%,$ 33.499,$ 26.799
307,AUSENTRON 25MG 30CR,LABORATORIO CHILE,35%,$ 25.499,$ 16.574
308,AUSENTRON 75MG 30C,LABORATORIO CHILE,65%,$ 39.299,$ 13.755
309,AVODART 0.5mg X30CAP.BLANDAS,GLAXO,67%,$ 52.499,$ 17.325
310,AZATIOPRINA 50mg COMP.X100,BESTPHARMA,25%,$ 24.699,$ 18.524
311,AZATIOPRINA 50mg COMP.X100,HOSPIFARMA,25%,$ 35.399,$ 26.549
312,AZATIOPRINA 50mg COMP.X100,GENERICOS,25%,$ 37.199,$ 27.899
313,AZATIOPRINA 50mg X100COM.,MINTLAB,25%,$ 37.199,$ 27.899
314,AZITROMICINA (B) 500mg X6COM.,ANDROMACO FARMA,61%,$ 2.499,$ 975
315,AZITROMICINA (B) 500mg X6COM.,LABORATORIO CHILE,61%,$ 2.499,$ 975
316,AZITROMICINA (B) 500mg X6COM.,MINTLAB,61%,$ 2.499,$ 975
317,AZITROMICINA (B) 500mg X6COM.,GENERICOS,61%,$ 2.499,$ 975
318,AZITROMICINA 200mg/5ml S.O.X15ml,SANITAS S.A.,69%,$ 5.799,$ 1.798
319,AZITROMICINA 200mg/5ml S.O.X15ml,LABORATORIO CHILE,69%,$ 5.799,$ 1.798
320,AZITROMICINA 200mg/5ml S.O.X15ml,GENERICOS,69%,$ 5.799,$ 1.798
321,AZITROMICINA 500mg X6COM.,SANITAS S.A.,61%,$ 2.499,$ 975
322,AZYMOL 10mg X30COM.,RECALCINE,25%,$ 48.399,$ 36.299
323,AZYMOL 15mg X30COM.,RECALCINE,86%,$ 72.499,$ 10.150
324,AZYMOL 5mg X30COM.,RECALCINE,25%,$ 36.399,$ 27.299
325,BD JER.INS.50UI DESEC.BOL.X10,HOFFMAN ACCESORIOS MEDICOS,28%,$ 1.999,$ 1.439
326,BERODUAL SOL.NEBULIZAR X20ml,BOEHRINGER INGELHEIM,67%,$ 24.799,$ 8.184
327,BETALOC ZOK 25mg X30COM.PROL.,ASTRA ZENECA DE CHILE LTDA.,66%,$ 22.099,$ 7.514
328,BETALOC ZOK 50mg COMP.X30,ASTRA ZENECA DE CHILE LTDA.,61%,$ 26.699,$ 10.413
329,BETAMETASONA 0.05% CR.X15g,GENERICOS,76%,$ 1.099,$ 264
330,BETAMETASONA 0.05% CR.X15g,ANDROMACO FARMA,76%,$ 1.099,$ 264
331,BETAMETASONA 0.05% CR.X15g,LABORATORIO CHILE,76%,$ 1.099,$ 264
332,BETAMETASONA 0.05% CR.X15g,MINTLAB,76%,$ 1.099,$ 264
333,BETAMETASONA 0.05% CR.X15g,BAGO,76%,$ 1.099,$ 264
334,BETAMETASONA 0.05% CR.X15g,HOSPIFARMA,76%,$ 1.099,$ 264
335,BETAMETASONA 0.05% CR.X15g,RECALCINE,76%,$ 1.099,$ 264
336,BETAMETASONA 0.05% CR.X15g,SANITAS S.A.,76%,$ 1.099,$ 264
337,BETAMETASONA 0.05% CR.X15g,EUROFARMA CHILE S.A.,76%,$ 1.099,$ 264
338,BETAPLEX (B) 12.5mg X30COM.,RECALCINE,25%,$ 16.999,$ 12.749
339,BETAPLEX (B) 25mg X30COM.,RECALCINE,25%,$ 22.899,$ 17.174
340,"BETAPLEX (B) 6,25mg X30COM.",RECALCINE,67%,$ 9.199,$ 3.036
341,BETASERC (R) 16mg X30COM.,ABBOTT CHILE,53%,$ 31.499,$ 14.805
342,BETASERC (R) 24mg X30COM.,ABBOTT CHILE,39%,$ 37.099,$ 22.630
343,BETAVOL 5+2mg/ml AMP.X1,EUROFARMA CHILE S.A.,30%,$ 12.999,$ 9.099
344,BETINA (B) 16mg X30COM.,EUROFARMA CHILE S.A.,30%,$ 26.799,$ 18.759
345,BETINA (B) 24mg X30COM.,EUROFARMA CHILE S.A.,30%,$ 33.599,$ 23.519
346,BILATEN 16 mg. x 30 comprimidos,MEDIPHARM,29%,$ 18.299,$ 12.992
347,BILATEN 8 MG X 15 COMPR.,MEDIPHARM,35%,$ 11.999,$ 7.799
348,BILATEN-D 16/12.5 mg. x 30 comprimidos,MEDIPHARM,27%,$ 18.999,$ 13.869
349,BIOCORD ACTIVE x 30 FLUIDCAPS,MEDIPHARM,25%,$ 5.299,$ 3.974
350,BION 3 X30COM.REC.,MERCK SA CHILE CONSUMO,27%,$ 9.203,$ 6.718
351,BIOPSOL 0.25mg X30COM.,RECALCINE,92%,$ 13.999,$ 1.120
352,BIOPSOL 1mg X30COM.,RECALCINE,96%,$ 47.999,$ 1.920
353,BISOPRIL 1.25 COMP.X30,EUROFARMA CHILE S.A.,30%,$ 6.299,$ 4.409
354,BISOPRIL 2.5 COMP.X30,EUROFARMA CHILE S.A.,60%,$ 13.099,$ 5.240
355,BISOPRIL 5mg COMP.X30,EUROFARMA CHILE S.A.,30%,$ 15.899,$ 11.129
356,BLEPHAGEL DUO GEL 40g,THEA PHARMA SPA,30%,$ 22.999,$ 16.099
357,BREVEX X20COM.REC.,BAGO,12%,$ 11.199,$ 9.855
358,BREXOTIDE LF 125/25 INH.X120DS.,ETEX FARMACEUTICA LTDA.,96%,$ 50.399,$ 2.016
359,BREXOTIDE LF 250/25 INH.X120DS.,ETEX FARMACEUTICA LTDA.,95%,$ 54.499,$ 2.725
360,BREXOVENT LF 125mcg INH.X120DS.,ETEX FARMACEUTICA LTDA.,70%,$ 31.999,$ 9.600
361,BRILINTA 90mg X30COM.REC.,ASTRA ZENECA DE CHILE LTDA.,56%,$ 41.399,$ 18.216
362,BRINTELLIX 10mg X14COM.,LUNDBECK,5%,$ 24.699,$ 23.464
363,BRINTELLIX 10mg X28COM.,LUNDBECK,5%,$ 52.499,$ 49.874
364,BROMAZEPAM 3mg X30COM.,LABORATORIO CHILE,76%,$ 1.499,$ 360
365,BROMEX SF 25/250 AER.X120DS.,LABORATORIO CHILE,32%,$ 35.999,$ 24.479
366,BROMHEXINA PED.4mg/5ml JBE.X100ml,ANDROMACO FARMA,59%,$ 1.499,$ 615
367,BROMHEXINA PED.4mg/5ml JBE.X100ml,MINTLAB,59%,$ 1.499,$ 615
368,BROMHEXINA PED.4mg/5ml JBE.X100ml,OPKO,59%,$ 1.499,$ 615
369,BROMHEXINA PED.4mg/5ml JBE.X100ml,LABORATORIO CHILE,59%,$ 1.499,$ 615
370,BROMHEXINA PED.4mg/5ml JBE.X100ml,RECALCINE,59%,$ 1.499,$ 615
371,BROMHEXINA PED.4mg/5ml JBE.X100ml,GENERICOS,59%,$ 1.499,$ 615
372,BROMURO IPRATR 0.25mg 20ml,GENERICOS,76%,$ 9.699,$ 2.328
373,BROMURO IPRATROPIO 0.25mg/ml SOL.X20ml,BPH S.A,76%,$ 9.699,$ 2.328
374,BRONDILAT (B) 10mg X30COM.REC.,RECALCINE,93%,$ 54.999,$ 3.850
375,BRONDILAT 4mg X30COM.REC.,RECALCINE,25%,$ 36.299,$ 27.224
376,BRONDILAT 5mg X30COM.REC.,RECALCINE,25%,$ 35.399,$ 26.549
377,BRONDILAT PED.4mg GRAN.X40SOB.,RECALCINE,51%,$ 31.099,$ 15.239
378,BROPIL LF 100mcg INH.X200DS.,RECALCINE,20%,$ 8.099,$ 6.479
379,BURTEN 10mg X10COM.SUBL.,LABORATORIO CHILE,20%,$ 11.599,$ 9.279
380,BURTEN 10mg X20COM.SUBL.,LABORATORIO CHILE,20%,$ 20.099,$ 16.079
381,BUTRINO 150mg COM.X30,EUROFARMA CHILE S.A.,30%,$ 19.199,$ 13.439
382,BUTRINO 150mg COM.X60,EUROFARMA CHILE S.A.,30%,$ 27.799,$ 19.459
383,CALCEFOR D X30CAP.,LABORATORIO CHILE,63%,$ 9.299,$ 3.441
384,CALCEFOR D X60CAP.,LABORATORIO CHILE,93%,$ 10.599,$ 742
385,CALCIO 320MG + VIT. D3 125 UI x 60 compr.,MEDIPHARM,32%,$ 7.999,$ 5.439
386,CALCIO 500MG +VIT. D 400 UI x 30 compr.,MEDIPHARM,32%,$ 6.499,$ 4.419
387,CALDAR-D FORTE x 30 cápsulas,MEDIPHARM,32%,$ 6.799,$ 4.623
388,CALEOBROL 0.5mcg X30CAP.,RECALCINE,56%,$ 44.999,$ 19.800
389,CALMOSEDAN X30COM.,RECALCINE,41%,$ 15.199,$ 8.967
390,CALMURID 1% CR.X15g,PHARMA INVESTI,91%,$ 14.199,$ 1.278
391,CAPRIMIDA D FTE.X30CAP.,RECALCINE,25%,$ 11.399,$ 8.549
392,CAPSURE (B) 200mg X10CAP.,PFIZER,85%,$ 14.799,$ 2.220
393,CAPSURE (B) 200mg X30CAP.,PFIZER,88%,$ 30.199,$ 3.624
394,CAPTOPRIL 25mg X30COM.,GENERICOS,85%,$ 4.199,$ 630
395,CAPTOPRIL 25mg X30COM.,CHEMOPHARMA S.A.,85%,$ 4.199,$ 630
396,CAPTOPRIL 25mg X30COM.,MINTLAB,85%,$ 4.199,$ 630
397,CAPTOPRIL 25mg X30COM.,GENEXX,85%,$ 4.199,$ 630
398,CAPTOPRIL 25mg X30COM.,RECALCINE,85%,$ 4.199,$ 630
399,CAPTOPRIL 25mg X30COM.,SANITAS S.A.,85%,$ 4.199,$ 630
400,CARBAMAZEPINA (B) 200mg X20COM.,GENERICOS,80%,$ 2.199,$ 440
401,CARBAMAZEPINA (B) 200mg X20COM.,LABORATORIO CHILE,80%,$ 2.199,$ 440
402,CARBAMAZEPINA (B) 200mg X20COM.,MINTLAB,80%,$ 2.199,$ 440
403,CARBAMAZEPINA (B) 200mg X20COM.,PASTEUR,80%,$ 2.199,$ 440
404,CARBAMAZEPINA (B) 200mg X20COM.,RECALCINE,80%,$ 2.199,$ 440
405,CARBAMAZEPINA (B) 200mg X20COM.,SANITAS S.A.,80%,$ 2.199,$ 440
406,CARBAMAZEPINA (B) 200mg X20COM.,ANDROMACO FARMA,80%,$ 2.199,$ 440
407,CARBORON 300mg X50COM.,PHARMA INVESTI,92%,$ 18.399,$ 1.472
408,CARDIOPLUS 20mg X30COM.REC.,RECALCINE,25%,$ 18.699,$ 14.024
409,CARDIOPLUS 40mg X30COM.REC.,RECALCINE,35%,$ 18.999,$ 12.349
410,CARDIOPLUS D 20/12.5 X30COM.REC.,RECALCINE,25%,$ 23.199,$ 17.399
411,CARDIOPLUS D 40/12.5 X30COM.REC.,RECALCINE,25%,$ 23.199,$ 17.399
412,CAREZA X28COM.REC.,SILESIA,50%,$ 17.399,$ 8.700
413,CARMELOSA 0.5% SOF.X15ml,HOSPIFARMA,73%,$ 3.499,$ 945
414,CARMELOSA 0.5% SOF.X15ml,GENERICOS,73%,$ 3.499,$ 945
415,CARVEDILOL (B) 12.5mg X30COM.,GENERICOS,83%,$ 5.499,$ 935
416,CARVEDILOL (B) 12.5mg X30COM.,LABORATORIO CHILE,83%,$ 5.299,$ 901
417,CARVEDILOL (B) 25mg X30COM.,GENERICOS,78%,$ 5.099,$ 1.122
418,CARVEDILOL (B) 25mg X30COM.,LABORATORIO CHILE,78%,$ 5.099,$ 1.122
419,CARVEDILOL (B) 25mg X30COM.,OPKO,78%,$ 5.099,$ 1.122
420,CARVEDILOL (B) 25mg X30COM.,GENEXX,78%,$ 5.099,$ 1.122
421,CARVEDILOL (B) 25mg X30COM.,MINTLAB,78%,$ 5.099,$ 1.122
422,CEFADROXILO (B) 500mg X8CAP.,GENERICOS,36%,$ 1.999,$ 1.279
423,CEFADROXILO (B) 500mg X8CAP.,ANDROMACO FARMA,36%,$ 1.999,$ 1.279
424,CEFADROXILO (B) 500mg X8CAP.,MINTLAB,36%,$ 1.999,$ 1.279
425,CEFADROXILO (B) 500mg X8CAP.,RECALCINE,36%,$ 1.999,$ 1.279
426,CEFADROXILO 250mg/5ml JBE.X60ml,GENERICOS,58%,$ 2.899,$ 1.218
427,CEFADROXILO 250mg/5ml JBE.X60ml,MINTLAB,58%,$ 2.899,$ 1.218
428,CEFADROXILO 250mg/5ml JBE.X60ml,ANDROMACO FARMA,58%,$ 2.899,$ 1.218
429,CERCIORA T (B) 0.75mg X2COM.,EXELTIS CHILE,20%,$ 13.399,$ 10.719
430,CEREVAX (B) 500mg X14COM.REC.,RECALCINE,68%,$ 38.499,$ 12.320
431,CIBLEX (B) 15mg X30COM.REC.,RECALCINE,25%,$ 22.099,$ 16.574
432,CIBLEX (B) 30mg X30COM.REC.,RECALCINE,88%,$ 49.099,$ 5.892
433,CICLIDON 20 CD X28COM.REC.,RECALCINE,47%,$ 14.399,$ 7.631
434,CICLIDON X21COM.REC.,RECALCINE,25%,$ 21.799,$ 16.349
435,CICLOBENZAPRINA (B) 10mg X20COM.,GENERICOS,83%,$ 2.199,$ 374
436,CICLOBENZAPRINA (B) 10mg X20COM.,LABORATORIO CHILE,83%,$ 2.199,$ 374
437,CICLOBENZAPRINA (B) 10mg X20COM.,GENEXX,83%,$ 2.199,$ 374
438,CICLOBENZAPRINA (B) 10mg X20COM.,MINTLAB,83%,$ 2.199,$ 374
439,CICLOBENZAPRINA (B) 10mg X20COM.,ANDROMACO FARMA,83%,$ 2.199,$ 374
440,CICLOMEX 15 X28COM.REC.,RECALCINE,25%,$ 12.999,$ 9.749
441,CICLOMEX 20 CD X28COM.REC.,RECALCINE,25%,$ 12.999,$ 9.749
442,CICLOMEX 20 X21COM.REC.,RECALCINE,20%,$ 13.999,$ 11.199
443,CICLOMEX CD X28COM.REC.,RECALCINE,25%,$ 14.799,$ 11.099
444,CICLOMEX X21COM.REC.,RECALCINE,20%,$ 17.499,$ 13.999
445,CIDIMUS (B) 0.5mg X50CAP.,NOVARTIS CHILE S.A.,43%,$ 54.999,$ 31.349
446,CIMAL (B) 20mg X30COM.REC.,RECALCINE,20%,$ 33.999,$ 27.199
447,CINABEL COMP.X10,ANDROMACO FARMA,20%,$ 4.199,$ 3.359
448,CIPROFLOXACINO (B) 500mg X6COM.,GENERICOS,60%,$ 999,$ 400
449,CIPROFLOXACINO (B) 500mg X6COM.,LABORATORIO CHILE,60%,$ 999,$ 400
450,CIPROFLOXACINO (B) 500mg X6COM.,OPKO,60%,$ 999,$ 400
451,CIPROFLOXACINO (B) 500mg X6COM.,GENEXX,60%,$ 999,$ 400
452,CIPROFLOXACINO (B) 500mg X6COM.,MINTLAB,60%,$ 999,$ 400
453,CIPROFLOXACINO (B) 500mg X6COM.,RECALCINE,60%,$ 999,$ 400
454,CIPROFLOXACINO (B) 500mg X6COM.,SANITAS S.A.,60%,$ 999,$ 400
455,CIPROFLOXACINO (B) 500mg X6COM.,ANDROMACO FARMA,60%,$ 999,$ 400
456,CIPROVAL 0.3% SOF.X5ml,SAVAL S.A.,41%,$ 21.199,$ 12.507
457,CITALOPRAM (B) 20mg X30COM.REC.,GENERICOS,66%,$ 7.399,$ 2.516
458,CITALOPRAM (B) 20mg X30COM.REC.,MINTLAB,66%,$ 7.399,$ 2.516
459,CITALOPRAM (B) 20mg X30COM.REC.,PHARMA INVESTI,66%,$ 7.399,$ 2.516
460,CITALOPRAM (B) 20mg X30COM.REC.,HOSPIFARMA,66%,$ 7.399,$ 2.516
461,CITALOPRAM (B) 20mg X30COM.REC.,ANDROMACO FARMA,66%,$ 7.399,$ 2.516
462,CLARIMAX 125mg 80ml,ANDROMACO FARMA,30%,$ 11.999,$ 8.399
463,CLARIMAX 250mg SOE 80ml,ANDROMACO FARMA,82%,$ 22.099,$ 3.978
464,CLARITROMICINA (B) 500mg X14COM.,GENERICOS,66%,$ 5.399,$ 1.836
465,CLARITROMICINA (B) 500mg X14COM.,LABORATORIO CHILE,66%,$ 5.399,$ 1.836
466,CLARITROMICINA (B) 500mg X14COM.,MINTLAB,66%,$ 5.399,$ 1.836
467,CLARITROMICINA (B) 500mg X14COM.,SANITAS S.A.,66%,$ 5.399,$ 1.836
468,CLARITROMICINA (B) 500mg X14COM.,ANDROMACO FARMA,66%,$ 5.399,$ 1.836
469,CLINOMAT X30COM.REC.,RECALCINE,25%,$ 22.299,$ 16.724
470,CLODAVAN CREMA x 30 grs.,MEDIPHARM,43%,$ 7.699,$ 4.388
471,CLODAVAN LOCION CAPILAR 30 ml.,MEDIPHARM,25%,$ 8.999,$ 6.749
472,CLONAZEPAM (B) 0.5mg X30COM.,LABORATORIO CHILE,85%,$ 4.599,$ 690
473,CLONAZEPAM (B) 2mg X30COM.,LABORATORIO CHILE,85%,$ 5.099,$ 765
474,CLONIXINATO LISINA 125mg X10COM.,GENERICOS,67%,$ 2.699,$ 891
475,CLONIXINATO LISINA 125mg X10COM.,MINTLAB,67%,$ 2.699,$ 891
476,CLORANFENICOL 0.5% SOF.X10ml,GENERICOS,67%,$ 2.599,$ 858
477,CLORANFENICOL 0.5% SOF.X10ml,OPKO,67%,$ 2.599,$ 858
478,CLORANFENICOL 0.5% SOF.X10ml,LABORATORIO CHILE,67%,$ 2.599,$ 858
479,CLORANFENICOL 0.5% SOF.X10ml,SAVAL S.A.,67%,$ 2.599,$ 858
480,CLORANFENICOL 0.5% SOF.X10ml,HOSPIFARMA,67%,$ 2.599,$ 858
481,CLORANFENICOL 1% UNG.OFT.X3.5g,GENERICOS,89%,$ 4.799,$ 528
482,CLORANFENICOL 1% UNG.OFT.X3.5g,HOSPIFARMA,89%,$ 4.599,$ 506
483,CLORANFENICOL 1% UNG.OFT.X3.5g,SAVAL S.A.,89%,$ 4.799,$ 528
484,CLORFENAMINA (B) 4mg X20COM.,GENERICOS,83%,$ 699,$ 119
485,CLORFENAMINA (B) 4mg X20COM.,LABORATORIO CHILE,83%,$ 699,$ 119
486,CLORFENAMINA (B) 4mg X20COM.,MINTLAB,83%,$ 699,$ 119
487,CLORFENAMINA (B) 4mg X20COM.,PASTEUR,83%,$ 699,$ 119
488,CLORFENAMINA (B) 4mg X20COM.,RECALCINE,83%,$ 699,$ 119
489,CLORFENAMINA (B) 4mg X20COM.,ANDROMACO FARMA,83%,$ 699,$ 119
490,CLORHEXIDINA 0.12% SOL.X150ml,MED CELL RECETARIO,51%,$ 4.499,$ 2.205
491,CLORPROMAZINA 25mg X50COM.,GENERICOS,39%,$ 990,$ 604
492,CLORPROMAZINA 25mg X50COM.,PASTEUR,39%,$ 990,$ 604
493,CLORPROMAZINA 25mg X50COM.,ANDROMACO FARMA,39%,$ 990,$ 604
494,CLORPROMAZINA 25mg X50COM.,LABORATORIO CHILE,39%,$ 990,$ 604
495,CLORURO SODIO 0.9% 20ml X5AMP.,GENERICOS,95%,$ 2.199,$ 110
496,CLORURO SODIO 0.9% 20ml X5AMP.,SANDERSON S.A.,95%,$ 2.399,$ 120
497,CLORURO SODIO 0.9% 5ml X5AMP.,GENERICOS,87%,$ 1.699,$ 221
498,CLORURO SODIO 0.9% 5ml X5AMP.,SANDERSON S.A.,87%,$ 1.799,$ 234
499,CLORURO SODIO 0.9% X250ml,GENERICOS,74%,$ 1.099,$ 286
500,CLORURO SODIO 0.9% X250ml,SANDERSON S.A.,74%,$ 1.099,$ 286
501,CLORURO SODIO 0.9% X500ml,GENERICOS,82%,$ 1.599,$ 288
502,CLORURO SODIO 0.9% X500ml,HOSPIFARMA,82%,$ 1.699,$ 306
503,CLORURO SODIO 0.9% X500ml,SANDERSON S.A.,82%,$ 1.599,$ 288
504,CLORURO SODIO 10% 20ml X5AMP.,GENERICOS,94%,$ 1.599,$ 96
505,CLORURO SODIO 10% 20ml X5AMP.,SANDERSON S.A.,94%,$ 1.699,$ 102
506,CLOTRIMAZOL 1% CR.X20g,GENERICOS,86%,$ 1.399,$ 196
507,CLOTRIMAZOL 1% CR.X20g,OPKO,86%,$ 1.499,$ 210
508,CLOTRIMAZOL 1% CR.X20g,MINTLAB,86%,$ 1.399,$ 196
509,CLOTRIMAZOL 1% CR.X20g,PASTEUR,86%,$ 1.399,$ 196
510,CLOTRIMAZOL 1% CR.X20g,ANDROMACO FARMA,86%,$ 1.499,$ 210
511,CLOTRIMAZOL 1% CR.X20g,LABORATORIO CHILE,86%,$ 1.499,$ 210
512,CLOTRIMAZOL 1% CR.X20g,BAGO,86%,$ 1.399,$ 196
513,CLOTRIMAZOL 1% CR.X20g,EUROFARMA CHILE S.A.,86%,$ 1.299,$ 182
514,CLOTRIMAZOL 100mg X6OVULO,PASTEUR,60%,$ 2.499,$ 1.000
515,CLOTRIMAZOL 100mg X6OVULO,LABORATORIO CHILE,60%,$ 2.499,$ 1.000
516,CLOTRIMAZOL 100mg X6OVULO,GENERICOS,60%,$ 2.499,$ 1.000
517,CLOTRIMIN CREMA X 20 G,MEDIPHARM,54%,$ 4.799,$ 2.208
518,CLOTRIMIN OVULOS VAGINALES X 1 OVULO,MEDIPHARM,81%,$ 6.499,$ 1.235
519,CLOTRIMIN SOLUCION TOPICA 20 ml.,MEDIPHARM,52%,$ 4.799,$ 2.304
520,CLOTRIMIN-B CREMA x 15 grs.,MEDIPHARM,72%,$ 9.499,$ 2.660
521,CLOVAL 40mg X20COM.,SAVAL S.A.,21%,$ 11.499,$ 9.084
522,CLOXACILINA 500mg X12CAP.,GENERICOS,55%,$ 1.799,$ 810
523,CLOXACILINA 500mg X12CAP.,ANDROMACO FARMA,55%,$ 1.799,$ 810
524,CLOXACILINA 500mg X12CAP.,MINTLAB,55%,$ 1.799,$ 810
525,CLOXACILINA 500mg X12CAP.,RECALCINE,55%,$ 1.799,$ 810
526,CLOXACILINA 500mg X12CAP.,LABORATORIO CHILE,55%,$ 1.799,$ 810
527,CLUVAX 100mg X3CAP.VAG.,RECALCINE,50%,$ 13.999,$ 7.000
528,CLUVAX 100mg X7CAP.VAG.,RECALCINE,50%,$ 22.499,$ 11.250
529,CODIPZONA 100mg X30COM.,RECALCINE,75%,$ 23.999,$ 6.000
530,COLMAX 125mg COMP.X10,ANDROMACO FARMA,58%,$ 3.199,$ 1.344
531,CONCOR 10mg X28COM.REC.,MERCK SA CHILE,39%,$ 32.099,$ 19.580
532,"CONCOR 2,5mg COMP.X28",MERCK SA CHILE,30%,$ 25.999,$ 18.199
533,CONCOR 5mg COMP.X28,MERCK SA CHILE,20%,$ 31.999,$ 25.599
534,CONCOR AM 5 5mg COMP.X30,MERCK SA CHILE,36%,$ 30.199,$ 19.327
535,CONGESTEX GTAS.X15ml,RECALCINE,25%,$ 13.199,$ 9.899
536,CONGESTEX JBE.X120ml,RECALCINE,25%,$ 10.199,$ 7.649
537,CONGESTEX X10CAP.,RECALCINE,25%,$ 9.699,$ 7.274
538,CONTRALMOR X6SUP.,LABORATORIO CHILE,53%,$ 12.999,$ 6.110
539,CONTUMAX PVO.X15SOB.,TECNOFARMA LTDA.,68%,$ 18.099,$ 5.792
540,CORDIAX 40mg X30COM.,RECALCINE,25%,$ 22.499,$ 16.874
541,CORDIAX 80mg X30COM.,RECALCINE,25%,$ 25.999,$ 19.499
542,CORDIAX AM 40/5 X30COM.,RECALCINE,25%,$ 23.199,$ 17.399
543,CORDIAX AM 80/10 X30COM.,RECALCINE,25%,$ 23.199,$ 17.399
544,CORDIAX AM 80/5 X30COM.,RECALCINE,31%,$ 23.299,$ 16.076
545,CORDIAX D 40/12.5 X30COM.,RECALCINE,25%,$ 22.199,$ 16.649
546,CORDIAX D 80/12.5 X30COM.,RECALCINE,46%,$ 25.099,$ 13.553
547,CORODIN D FTE.COMP.REC.X30,RECALCINE,30%,$ 28.099,$ 19.669
548,CORTIGRIP DIA/NOCHE x 15 comprimidos,MEDIPHARM,25%,$ 3.399,$ 2.549
549,CORTIGRIP x 10 comprimidos,MEDIPHARM,41%,$ 3.799,$ 2.241
550,CORTIPREX (B) 20mg X20COM.REC.,LABORATORIO CHILE,20%,$ 6.999,$ 5.599
551,CORTIPREX 1mg/ml S.O.X100ml,LABORATORIO CHILE,20%,$ 11.599,$ 9.279
552,CORTIPREX 20mg/5ml S.O.X60ml,LABORATORIO CHILE,85%,$ 10.399,$ 1.560
553,COTRIMOXAZOL FTE.X10COM.,GENERICOS,55%,$ 1.299,$ 585
554,COTRIMOXAZOL FTE.X10COM.,ANDROMACO FARMA,55%,$ 1.299,$ 585
555,COTRIMOXAZOL FTE.X10COM.,MINTLAB,55%,$ 1.299,$ 585
556,COTRIMOXAZOL FTE.X10COM.,BAGO,55%,$ 1.299,$ 585
557,COTRIMOXAZOL FTE.X10COM.,RECALCINE,55%,$ 1.299,$ 585
558,COTRIMOXAZOL FTE.X10COM.,SANITAS S.A.,55%,$ 1.299,$ 585
559,COTRIMOXAZOL FTE.X10COM.,LABORATORIO CHILE,55%,$ 1.299,$ 585
560,COXDOS (B) 200mg X10CAP.,ANDROMACO FARMA,20%,$ 13.099,$ 10.479
561,CREON 10.000 X20CAP.PROL.,ABBOTT CHILE,58%,$ 24.999,$ 10.500
562,CRESADEX 10mg X30COM.REC.,RECALCINE,73%,$ 26.699,$ 7.209
563,CRESADEX 20mg X30COM.REC.,RECALCINE,66%,$ 36.899,$ 12.546
564,CRESTOR TABLETS (R) 20mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,25%,$ 53.999,$ 40.499
565,CRESTOR TABLETS (R) 40mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,25%,$ 78.399,$ 58.799
566,CUROCEF (R) 500mg X14COM.REC.,GLAXO,37%,$ 54.099,$ 34.082
